,Player,WS,WS/48
0,Quincy Acy,1.5,.086
1,Quincy Acy,0.2,.188
2,Quincy Acy,1.3,.078
3,Steven Adams,2.9,.114
4,Jeff Adrien,2.7,.134
5,Jeff Adrien,0.9,.170
6,Jeff Adrien,1.8,.121
7,Arron Afflalo,5.3,.099
8,Alexis Ajinça,2.1,.104
9,Cole Aldrich,1.2,.178
10,LaMarcus Aldridge,7.5,.144
11,Lavoy Allen,1.5,.066
12,Lavoy Allen,1.1,.053
13,Lavoy Allen,0.4,.180
14,Ray Allen*,4.1,.101
15,Tony Allen,2.7,.100
16,Al-Farouq Aminu,3.1,.072
17,Lou Amundson,0.1,.024
18,Lou Amundson,0.1,.024
19,Lou Amundson,0.0,.029
20,Chris Andersen,6.0,.205
21,Alan Anderson,1.7,.047
22,James Anderson,1.9,.039
23,Ryan Anderson,2.3,.138
24,Giannis Antetokounmpo,1.2,.031
25,Carmelo Anthony,10.7,.172
26,Joel Anthony,0.2,.044
27,Joel Anthony,0.0,.049
28,Joel Anthony,0.1,.043
29,Pero Antić,1.4,.075
30,Player,WS,WS/48
31,Trevor Ariza,8.0,.141
32,Hilton Armstrong,0.3,.162
33,Darrell Arthur,0.7,.029
34,Ömer Aşık,2.4,.121
35,D.J. Augustin,6.2,.154
36,D.J. Augustin,-0.2,-0.112
37,D.J. Augustin,6.4,.166
38,Gustavo Ayón,0.7,.078
39,Jeff Ayres,2.4,.121
40,Chris Babb,0.0,-0.008
41,Luke Babbitt,0.7,.074
42,Leandro Barbosa,0.4,.058
43,J.J. Barea,0.7,.024
44,Andrea Bargnani,1.5,.058
45,Harrison Barnes,3.2,.070
46,Matt Barnes,3.5,.097
47,Will Barton,0.6,.078
48,Brandon Bass,5.1,.107
49,Shane Battier,2.4,.078
50,Nicolas Batum,7.9,.128
51,Jerryd Bayless,2.4,.069
52,Jerryd Bayless,1.0,.077
53,Jerryd Bayless,1.4,.064
54,Aron Baynes,0.6,.055
55,Player,WS,WS/48
56,Kent Bazemore,0.2,.011
57,Kent Bazemore,-0.2,-0.034
58,Kent Bazemore,0.4,.029
59,Bradley Beal,4.0,.076
60,Michael Beasley,1.6,.092
61,Marco Belinelli,5.9,.140
62,Anthony Bennett,-0.4,-0.028
63,Patrick Beverley,4.2,.116
64,Andris Biedriņš,0.0,-0.033
65,Chauncey Billups*,-0.3,-0.042
66,Bismack Biyombo,3.2,.144
67,DeJuan Blair,3.4,.133
68,Steve Blake,1.8,.058
69,Steve Blake,0.8,.041
70,Steve Blake,1.1,.084
71,Andray Blatche,3.7,.109
72,Eric Bledsoe,4.1,.140
73,Vander Blue,-0.1,-0.214
74,Keith Bogans,0.1,.121
75,Andrew Bogut,6.5,.176
76,Matt Bonner,1.8,.123
77,Trevor Booker,4.3,.132
78,Carlos Boozer,3.4,.076
79,Chris Bosh*,8.0,.152
80,Player,WS,WS/48
81,Avery Bradley,1.8,.046
82,Elton Brand,3.6,.121
83,Corey Brewer,5.2,.095
84,Ronnie Brewer,0.0,.004
85,Ronnie Brewer,0.0,.004
86,Ronnie Brewer,0.0,.029
87,Aaron Brooks,2.2,.067
88,Aaron Brooks,1.1,.076
89,Aaron Brooks,1.0,.058
90,MarShon Brooks,0.4,.060
91,MarShon Brooks,0.0,.017
92,MarShon Brooks,0.0,.087
93,MarShon Brooks,0.3,.072
94,Lorenzo Brown,-0.3,-0.068
95,Shannon Brown,-0.3,-0.050
96,Shannon Brown,-0.2,-0.102
97,Shannon Brown,0.0,-0.013
98,Kobe Bryant*,-0.4,-0.097
99,Chase Budinger,0.9,.059
100,Reggie Bullock,0.2,.019
101,Trey Burke,0.9,.020
102,Alec Burks,3.2,.070
103,Caron Butler,1.8,.062
104,Caron Butler,0.2,.014
105,Caron Butler,1.6,.127
106,Jimmy Butler,7.1,.131
107,Rasual Butler,1.1,.138
108,Dwight Buycks,0.0,-0.009
109,Andrew Bynum,0.4,.038
110,Andrew Bynum,0.4,.036
111,Andrew Bynum,0.0,.063
112,Will Bynum,1.0,.047
113,Nick Calathes,1.5,.062
114,Player,WS,WS/48
115,José Calderón,6.3,.122
116,Kentavious Caldwell-Pope,1.8,.055
117,Isaiah Canaan,0.2,.031
118,DeMarre Carroll,5.8,.119
119,Vince Carter*,4.3,.105
120,Michael Carter-Williams,1.3,.026
121,Omri Casspi,2.4,.091
122,Mario Chalmers,4.8,.106
123,Tyson Chandler,4.9,.143
124,Wilson Chandler,3.1,.076
125,Josh Childress,0.0,-0.003
126,Dionte Christmas,0.3,.083
127,Earl Clark,0.3,.020
128,Earl Clark,0.2,.014
129,Earl Clark,0.1,.080
130,Ian Clark,-0.1,-0.025
131,Victor Claver,0.2,.047
132,Norris Cole,1.2,.029
133,Jason Collins,0.1,.017
134,Darren Collison,5.9,.136
135,Nick Collison,3.6,.128
136,Mike Conley,8.2,.161
137,Player,WS,WS/48
138,Chris Copeland,1.0,.186
139,DeMarcus Cousins,7.9,.166
140,Robert Covington,0.1,.122
141,Allen Crabbe,0.1,.037
142,Jamal Crawford,5.3,.122
143,Jordan Crawford,2.8,.073
144,Jordan Crawford,2.4,.096
145,Jordan Crawford,0.4,.033
146,Jae Crowder,2.3,.089
147,Dante Cunningham,2.9,.085
148,Jared Cunningham,0.1,.075
149,Jared Cunningham,-0.1,-0.110
150,Jared Cunningham,0.2,.145
151,Seth Curry,0.0,.131
152,Seth Curry,0.0,.006
153,Seth Curry,0.0,.187
154,Stephen Curry,13.4,.225
