,Player,WS,WS/48
0,Steven Adams,6.5,.185
1,Bam Adebayo,8.5,.168
2,LaMarcus Aldridge,4.5,.122
3,Kyle Alexander,0.0,-0.003
4,Nickeil Alexander-Walker,-0.2,-0.020
5,Grayson Allen,1.2,.082
6,Jarrett Allen,8.2,.212
7,Kadeem Allen,0.1,.053
8,Al-Farouq Aminu,0.1,.014
9,Justin Anderson,-0.1,-0.054
10,Kyle Anderson,2.5,.091
11,Ryan Anderson,0.0,-0.037
12,Giannis Antetokounmpo,11.1,.279
13,Kostas Antetokounmpo,0.1,.193
14,Thanasis Antetokounmpo,0.2,.070
15,Carmelo Anthony,1.3,.033
16,OG Anunoby,5.7,.134
17,Ryan Arcidiacono,1.4,.071
18,Trevor Ariza,2.5,.081
19,Trevor Ariza,1.1,.066
20,Trevor Ariza,1.4,.098
21,D.J. Augustin,2.9,.098
22,Player,WS,WS/48
23,Deandre Ayton,3.1,.121
24,Dwayne Bacon,-0.8,-0.053
25,Marvin Bagley III,0.4,.051
26,Lonzo Ball,2.4,.058
27,Mo Bamba,2.5,.135
28,J.J. Barea,0.7,.072
29,Harrison Barnes,4.6,.088
30,RJ Barrett,-0.5,-0.015
31,Will Barton,4.2,.106
32,Keita Bates-Diop,1.2,.078
33,Keita Bates-Diop,1.0,.077
34,Keita Bates-Diop,0.2,.084
35,Nicolas Batum,0.6,.055
36,Aron Baynes,2.1,.107
37,Kent Bazemore,0.6,.017
38,Kent Bazemore,-0.2,-0.008
39,Kent Bazemore,0.8,.065
40,Darius Bazley,1.0,.041
41,Bradley Beal,5.1,.118
42,Malik Beasley,1.2,.049
43,Malik Beasley,0.5,.030
44,Malik Beasley,0.8,.079
45,Marco Belinelli,0.8,.046
46,Jordan Bell,0.4,.070
47,Jordan Bell,0.4,.072
48,Jordan Bell,0.0,.047
49,DeAndre' Bembry,0.2,.012
50,Dragan Bender,0.3,.052
51,Dragan Bender,0.2,.105
52,Dragan Bender,0.1,.027
53,Player,WS,WS/48
54,Dāvis Bertāns,3.5,.107
55,Patrick Beverley,3.6,.128
56,Khem Birch,2.2,.112
57,Goga Bitadze,0.7,.067
58,Bismack Biyombo,2.4,.113
59,Nemanja Bjelica,5.3,.127
60,Eric Bledsoe,5.4,.157
61,Bogdan Bogdanović,3.1,.084
62,Bojan Bogdanović,4.2,.096
63,Bol Bol,0.1,.063
64,Jonah Bolden,0.0,-0.006
65,Jonah Bolden,0.0,-0.150
66,Jonah Bolden,0.0,.054
67,Marques Bolden,0.0,.282
68,Jordan Bone,-0.1,-0.117
69,Isaac Bonga,1.8,.068
70,Devin Booker,7.5,.143
71,Chris Boucher,3.8,.224
72,Brian Bowen,-0.1,-0.107
73,Ky Bowman,-0.1,-0.003
74,Avery Bradley,1.5,.062
75,Tony Bradley,3.3,.236
76,Player,WS,WS/48
77,Jarrell Brantley,0.0,-0.006
78,Ignas Brazdeikis,-0.1,-0.108
79,Corey Brewer,0.0,.064
80,Mikal Bridges,4.8,.113
81,Miles Bridges,1.6,.039
82,Oshae Brissett,0.1,.043
83,Ryan Broekhoff,0.4,.109
84,Malcolm Brogdon,4.0,.114
85,Dillon Brooks,1.2,.027
86,Bruce Brown,2.1,.062
87,Charlie Brown Jr.,0.0,-0.028
88,Jaylen Brown,4.9,.123
89,Moses Brown,0.0,-0.065
90,Sterling Brown,1.1,.070
91,Troy Brown Jr.,2.4,.065
92,Jalen Brunson,2.1,.101
93,Thomas Bryant,3.9,.164
94,Reggie Bullock,0.5,.036
95,Trey Burke,1.3,.123
96,Trey Burke,0.9,.127
97,Trey Burke,0.5,.117
98,Alec Burks,3.7,.101
99,Alec Burks,2.5,.085
100,Alec Burks,1.2,.161
101,Player,WS,WS/48
102,Deonte Burton,-0.5,-0.067
103,Jimmy Butler,9.0,.221
