,Player,WS,WS/48
0,Precious Achiuwa,1.3,.085
1,Jaylen Adams,-0.1,-0.252
2,Steven Adams,4.0,.119
3,Bam Adebayo,8.8,.197
4,LaMarcus Aldridge,1.1,.080
5,LaMarcus Aldridge,0.8,.067
6,LaMarcus Aldridge,0.4,.135
7,Ty-Shon Alexander,0.0,-0.048
8,Nickeil Alexander-Walker,0.7,.035
9,Grayson Allen,2.7,.101
10,Jarrett Allen,6.4,.166
11,Jarrett Allen,1.4,.216
12,Jarrett Allen,5.0,.155
13,Al-Farouq Aminu,0.1,.010
14,Al-Farouq Aminu,0.1,.014
15,Al-Farouq Aminu,0.0,-0.013
16,Kyle Anderson,5.6,.143
17,Giannis Antetokounmpo,10.2,.244
18,Kostas Antetokounmpo,-0.2,-0.174
19,Thanasis Antetokounmpo,0.7,.057
20,Carmelo Anthony,2.6,.073
21,Cole Anthony,0.0,-0.001
22,OG Anunoby,3.1,.104
23,Ryan Arcidiacono,0.9,.093
24,Trevor Ariza,1.6,.091
25,D.J. Augustin,2.1,.088
26,D.J. Augustin,1.2,.080
27,D.J. Augustin,0.9,.103
28,Player,WS,WS/48
29,Deni Avdija,1.2,.046
30,Deandre Ayton,8.4,.191
31,Udoka Azubuike,0.1,.119
32,Dwayne Bacon,0.5,.013
33,Marvin Bagley III,1.4,.059
34,LaMelo Ball,2.8,.093
35,Lonzo Ball,3.2,.089
36,Mo Bamba,1.8,.117
37,Desmond Bane,2.9,.093
38,Harrison Barnes,4.5,.103
39,RJ Barrett,4.1,.078
40,Will Barton,2.2,.061
41,Keita Bates-Diop,0.3,.068
42,Nicolas Batum,5.0,.132
43,Aron Baynes,1.0,.049
44,Kent Bazemore,1.8,.065
45,Darius Bazley,-0.9,-0.026
46,Bradley Beal,5.9,.132
47,Malik Beasley,1.3,.053
48,Jordan Bell,0.0,-0.008
49,Jordan Bell,0.0,-0.004
50,Jordan Bell,0.0,-0.026
51,Player,WS,WS/48
52,DeAndre' Bembry,1.2,.059
53,Dāvis Bertāns,3.1,.101
54,Patrick Beverley,2.1,.119
55,Saddiq Bey,3.3,.082
56,Tyler Bey,0.0,-0.033
57,Khem Birch,3.8,.118
58,Khem Birch,2.1,.106
59,Khem Birch,1.7,.138
60,Goga Bitadze,1.5,.129
61,Bismack Biyombo,2.3,.081
62,Nemanja Bjelica,0.9,.071
63,Nemanja Bjelica,0.5,.052
64,Nemanja Bjelica,0.4,.122
65,Eric Bledsoe,2.3,.053
66,Keljin Blevins,-0.2,-0.137
67,Bogdan Bogdanović,3.9,.142
68,Bojan Bogdanović,5.2,.113
69,Bol Bol,0.0,-0.004
