,Player,WS,WS/48
175,Spencer Dinwiddie,0.7,.052
176,Donte DiVincenzo,6.6,.135
177,Luka Dončić,12.0,.220
178,Luguentz Dort,4.6,.097
179,Ayo Dosunmu,4.1,.089
180,Jeff Dowtin,0.6,.193
181,Henri Drell,0.0,.047
182,Andre Drummond,4.9,.175
183,Chris Duarte,0.7,.047
184,David Duke Jr.,0.1,.119
185,Kris Dunn,2.0,.076
186,Kevin Durant,8.3,.142
187,Jalen Duren,4.8,.130
188,Tari Eason,1.3,.125
189,Anthony Edwards,7.5,.130
190,Player,WS,WS/48
191,Kessler Edwards,0.5,.083
192,Keon Ellis,2.3,.114
193,Joel Embiid,7.5,.275
194,Drew Eubanks,3.1,.129
195,Tosan Evbuomwan,0.5,.071
196,Tosan Evbuomwan,0.0,.016
197,Tosan Evbuomwan,0.5,.085
198,Dante Exum,2.9,.127
199,Bruno Fernando,1.5,.103
200,Dorian Finney-Smith,2.6,.065
201,Adam Flagler,0.0,-0.159
202,Malachi Flynn,0.5,.029
203,Malachi Flynn,0.2,.025
204,Malachi Flynn,0.1,.093
205,Malachi Flynn,0.2,.023
206,Simone Fontecchio,2.1,.061
207,Simone Fontecchio,1.3,.052
208,Simone Fontecchio,0.8,.083
209,Jordan Ford,0.1,.157
210,Trent Forrest,0.2,.027
211,Evan Fournier,-0.1,-0.005
212,Evan Fournier,-0.1,-0.108
213,Evan Fournier,0.0,.002
214,De'Aaron Fox,6.5,.117
215,Javon Freeman-Liberty,0.2,.029
216,Alex Fudge,0.0,-0.007
217,Alex Fudge,-0.1,-0.222
218,Alex Fudge,0.1,.108
219,Markelle Fultz,1.3,.069
220,Andrew Funk,-0.1,-0.252
221,Wenyen Gabriel,-0.2,-0.123
222,Player,WS,WS/48
223,Daniel Gafford,7.8,.205
224,Daniel Gafford,4.4,.178
225,Daniel Gafford,3.3,.257
226,Danilo Gallinari,1.3,.098
227,Danilo Gallinari,0.6,.080
228,Danilo Gallinari,0.6,.304
229,Danilo Gallinari,0.1,.025
230,Darius Garland,2.7,.067
231,Usman Garuba,0.0,-0.124
232,Luka Garza,0.4,.166
233,Kaiser Gates,-0.1,-0.558
234,Keyonte George,-0.3,-0.008
235,Paul George,7.3,.140
236,Taj Gibson,0.2,.044
237,Taj Gibson,0.1,.019
238,Taj Gibson,0.1,.149
239,Josh Giddey,4.3,.102
240,Harry Giles,0.1,.027
241,Harry Giles,0.1,.071
242,Harry Giles,-0.1,-0.162
243,Shai Gilgeous-Alexander,14.6,.275
244,Anthony Gill,0.4,.038
245,Collin Gillespie,0.4,.076
246,Jacob Gilyard,1.4,.095
247,Jacob Gilyard,1.4,.103
248,Jacob Gilyard,0.0,-0.017
249,Rudy Gobert,11.6,.216
250,Jordan Goodwin,1.2,.054
251,Jordan Goodwin,0.8,.072
