,Player,WS,WS/48
0,Precious Achiuwa,2.5,.070
1,Steven Adams,6.8,.163
2,Bam Adebayo,7.2,.188
3,Santi Aldama,0.3,.044
4,LaMarcus Aldridge,3.1,.141
5,Nickeil Alexander-Walker,0.1,.003
6,Nickeil Alexander-Walker,-0.1,-0.005
7,Nickeil Alexander-Walker,0.2,.070
8,Grayson Allen,4.2,.110
9,Jarrett Allen,8.5,.224
10,Jose Alvarado,2.1,.121
11,Justin Anderson,0.4,.054
12,Justin Anderson,0.1,.124
13,Justin Anderson,0.2,.041
14,Kyle Anderson,3.5,.113
15,Giannis Antetokounmpo,12.9,.281
16,Thanasis Antetokounmpo,0.9,.095
17,Carmelo Anthony,3.6,.097
18,Cole Anthony,1.6,.038
19,OG Anunoby,3.7,.104
20,Ryan Arcidiacono,0.1,.052
21,Trevor Ariza,0.2,.020
22,D.J. Augustin,0.8,.043
23,D.J. Augustin,0.2,.017
24,D.J. Augustin,0.6,.079
25,Deni Avdija,2.4,.058
26,Player,WS,WS/48
27,Joel Ayayi,0.0,-0.098
28,Deandre Ayton,7.3,.203
29,Udoka Azubuike,0.6,.157
30,Marvin Bagley III,2.0,.084
31,Marvin Bagley III,0.9,.067
32,Marvin Bagley III,1.1,.107
33,LaMelo Ball,5.8,.116
34,Lonzo Ball,2.2,.088
35,Mo Bamba,4.5,.118
36,Desmond Bane,7.2,.153
37,Dalano Banton,0.4,.030
38,Cat Barber,-0.1,-0.450
39,Harrison Barnes,6.0,.112
40,Scottie Barnes,6.6,.122
41,RJ Barrett,2.3,.046
42,Will Barton,3.2,.067
43,Paris Bass,0.0,-0.170
44,Charles Bassey,0.8,.220
45,Keita Bates-Diop,1.6,.080
46,Nicolas Batum,3.7,.123
47,Kent Bazemore,0.1,.006
48,Darius Bazley,1.8,.044
49,Player,WS,WS/48
50,Bradley Beal,1.4,.046
51,Malik Beasley,2.9,.069
52,Jordan Bell,0.0,.600
53,DeAndre' Bembry,2.2,.104
54,DeAndre' Bembry,2.1,.108
55,DeAndre' Bembry,0.1,.053
56,Dāvis Bertāns,0.9,.053
57,Dāvis Bertāns,0.3,.025
58,Dāvis Bertāns,0.6,.098
59,Patrick Beverley,4.1,.132
60,Saddiq Bey,4.0,.071
61,Khem Birch,2.6,.126
62,Goga Bitadze,1.9,.122
63,Bismack Biyombo,1.8,.170
64,Nemanja Bjelica,3.0,.128
65,Eric Bledsoe,1.3,.047
66,Keljin Blevins,-0.5,-0.066
67,Bogdan Bogdanović,3.7,.095
68,Bojan Bogdanović,5.2,.118
69,Bol Bol,0.1,.065
70,Leandro Bolmaro,0.0,.004
71,Isaac Bonga,0.1,.060
72,Devin Booker,7.6,.156
73,Brandon Boston Jr.,0.4,.026
74,Player,WS,WS/48
75,Chris Boucher,6.0,.169
76,James Bouknight,0.0,.001
77,Avery Bradley,1.2,.040
78,Tony Bradley,1.3,.112
79,Ignas Brazdeikis,0.5,.041
80,Mikal Bridges,8.9,.150
81,Miles Bridges,7.2,.123
82,Oshae Brissett,2.2,.069
83,Malcolm Brogdon,2.7,.106
84,Armoni Brooks,0.2,.014
85,Armoni Brooks,0.0,.002
86,Armoni Brooks,0.2,.067
87,Dillon Brooks,1.6,.087
88,Bruce Brown,4.8,.130
89,Charlie Brown Jr.,0.0,.012
90,Charlie Brown Jr.,0.0,-0.050
91,Charlie Brown Jr.,0.1,.018
92,Chaundee Brown Jr.,0.0,.002
93,Chaundee Brown Jr.,-0.1,-0.306
94,Chaundee Brown Jr.,0.1,.080
95,Greg Brown III,0.4,.029
96,Jaylen Brown,5.8,.124
97,Moses Brown,1.2,.161
98,Moses Brown,0.4,.111
99,Moses Brown,0.8,.207
100,Sterling Brown,0.8,.061
101,Troy Brown Jr.,1.4,.065
102,Jalen Brunson,7.5,.143
103,Player,WS,WS/48
104,Thomas Bryant,1.1,.118
105,Shaq Buchanan,0.0,-0.230
106,Reggie Bullock,3.2,.080
107,Trey Burke,0.0,.003
108,Alec Burks,6.1,.126
109,Jared Butler,0.4,.057
110,Jimmy Butler,9.2,.228
111,Devontae Cacok,0.5,.206
112,Kentavious Caldwell-Pope,2.8,.058
113,Facundo Campazzo,2.0,.081
114,Vlatko Čančar,0.4,.114
115,Devin Cannady,0.1,.033
116,Clint Capela,8.3,.195
117,Vernon Carey Jr.,0.1,.068
