,Player,WS,WS/48
0,Álex Abrines,0.6,.053
1,Quincy Acy,-0.1,-0.022
2,Jaylen Adams,0.1,.011
3,Steven Adams,9.1,.163
4,Bam Adebayo,6.8,.171
5,Deng Adel,-0.2,-0.054
6,DeVaughn Akoon-Purcell,0.0,-0.051
7,LaMarcus Aldridge,9.3,.167
8,Rawle Alkins,-0.1,-0.042
9,Grayson Allen,0.0,.002
10,Jarrett Allen,7.6,.175
11,Kadeem Allen,1.0,.111
12,Al-Farouq Aminu,5.8,.121
13,Justin Anderson,0.4,.043
14,Kyle Anderson,2.7,.100
15,Ryan Anderson,-0.2,-0.035
16,Ryan Anderson,-0.2,-0.039
17,Ryan Anderson,0.0,-0.009
18,Ike Anigbogu,-0.1,-0.480
19,Giannis Antetokounmpo,14.4,.292
20,Kostas Antetokounmpo,-0.1,-0.247
21,Carmelo Anthony,0.3,.048
22,Player,WS,WS/48
23,OG Anunoby,2.0,.070
24,Ryan Arcidiacono,3.7,.090
25,Trevor Ariza,2.5,.052
26,Trevor Ariza,0.6,.035
27,Trevor Ariza,1.9,.062
28,D.J. Augustin,6.9,.146
29,Deandre Ayton,5.8,.128
30,Dwayne Bacon,1.2,.073
31,Marvin Bagley III,3.6,.110
32,Ron Baker,-0.1,-0.034
33,Ron Baker,0.0,.002
34,Ron Baker,-0.1,-0.120
35,Wade Baldwin,-0.3,-0.153
36,Lonzo Ball,1.6,.052
37,Mo Bamba,1.7,.106
38,J.J. Barea,1.0,.064
39,Harrison Barnes,3.6,.068
40,Harrison Barnes,1.9,.059
41,Harrison Barnes,1.7,.084
42,Will Barton,1.2,.049
43,Keita Bates-Diop,0.3,.032
44,Nicolas Batum,3.7,.076
45,Jerryd Bayless,0.0,-0.003
46,Aron Baynes,2.3,.136
47,Kent Bazemore,0.7,.021
48,Bradley Beal,7.6,.120
49,Player,WS,WS/48
50,Malik Beasley,4.5,.115
51,Michael Beasley,0.2,.039
52,Marco Belinelli,2.5,.065
53,Jordan Bell,1.6,.096
54,DeAndre' Bembry,0.9,.022
55,Dragan Bender,0.5,.027
56,Dairis Bertāns,-0.2,-0.054
57,Dāvis Bertāns,4.0,.118
58,Patrick Beverley,4.8,.108
59,Khem Birch,2.8,.212
60,Bismack Biyombo,2.0,.125
61,Nemanja Bjelica,4.5,.122
62,Antonio Blakeney,-0.5,-0.030
63,Eric Bledsoe,8.2,.173
64,Jaron Blossomgame,0.3,.030
65,Bogdan Bogdanović,2.7,.067
66,Bojan Bogdanović,6.8,.126
67,Andrew Bogut,0.3,.111
68,Jonah Bolden,1.4,.106
69,Isaac Bonga,-0.1,-0.059
70,Player,WS,WS/48
71,Devin Booker,3.5,.076
72,Chris Boucher,0.7,.194
73,Avery Bradley,0.3,.009
74,Avery Bradley,-0.3,-0.011
75,Avery Bradley,0.7,.074
76,Tony Bradley,0.1,.130
77,Corey Brewer,1.0,.095
78,Corey Brewer,0.1,.044
79,Corey Brewer,0.8,.115
80,Mikal Bridges,2.9,.058
81,Miles Bridges,2.9,.083
82,Isaiah Briscoe,0.3,.023
83,Ryan Broekhoff,0.8,.086
84,Malcolm Brogdon,6.5,.171
85,Dillon Brooks,0.0,-0.004
86,MarShon Brooks,0.1,.018
87,Bruce Brown,1.5,.048
88,Jaylen Brown,2.9,.073
89,Lorenzo Brown,-0.1,-0.027
90,Sterling Brown,2.1,.098
91,Troy Brown Jr.,0.6,.039
92,Jalen Brunson,2.6,.077
93,Thomas Bryant,5.6,.178
94,Reggie Bullock,3.1,.078
95,Reggie Bullock,2.4,.084
96,Reggie Bullock,0.7,.061
97,Player,WS,WS/48
98,Trey Burke,1.9,.081
99,Trey Burke,0.6,.044
100,Trey Burke,1.3,.140
101,Alec Burks,1.5,.052
102,Alec Burks,0.5,.084
103,Alec Burks,0.9,.042
104,Alec Burks,0.2,.062
105,Deonte Burton,0.1,.027
106,Jimmy Butler,7.9,.173
107,Jimmy Butler,1.3,.176
108,Jimmy Butler,6.6,.172
109,Bruno Caboclo,1.5,.090
110,José Calderón,0.6,.043
111,Kentavious Caldwell-Pope,4.0,.095
112,Isaiah Canaan,0.1,.008
113,Isaiah Canaan,-0.1,-0.007
114,Isaiah Canaan,0.2,.079
115,Isaiah Canaan,0.0,.030
116,Clint Capela,10.8,.230
117,DeMarre Carroll,3.1,.088
118,Jevon Carter,0.0,-0.003
119,Vince Carter*,1.9,.070
120,Wendell Carter Jr.,1.9,.080
121,Michael Carter-Williams,0.8,.099
122,Michael Carter-Williams,0.1,.044
123,Michael Carter-Williams,0.6,.134
124,Alex Caruso,1.0,.093
125,Omri Casspi,1.3,.119
126,Willie Cauley-Stein,6.7,.146
127,Troy Caupain,0.1,.347
128,Tyler Cavanaugh,0.0,.026
129,Tyson Chandler,2.1,.114
130,Tyson Chandler,0.2,.092
131,Tyson Chandler,1.9,.117
132,Player,WS,WS/48
133,Wilson Chandler,1.5,.062
134,Wilson Chandler,1.5,.074
135,Wilson Chandler,0.0,.009
136,Joe Chealey,0.0,-0.080
137,Chris Chiozza,0.0,.023
138,Marquese Chriss,-0.2,-0.023
139,Marquese Chriss,-0.2,-0.101
140,Marquese Chriss,0.0,-0.003
141,Gary Clark,1.0,.071
142,Ian Clark,-0.1,-0.003
143,Jordan Clarkson,1.8,.039
144,John Collins,6.0,.158
145,Zach Collins,2.9,.104
146,Darren Collison,6.8,.153
147,Bonzie Colson,0.2,.085
148,Mike Conley,8.0,.164
149,Pat Connaughton,3.9,.149
150,Quinn Cook,1.8,.082
151,DeMarcus Cousins,2.4,.151
152,Robert Covington,2.5,.100
153,Robert Covington,0.7,.077
154,Robert Covington,1.8,.114
155,Allen Crabbe,0.8,.035
156,Torrey Craig,3.0,.096
157,Jamal Crawford,0.2,.006
158,Mitch Creek,0.2,.196
159,Mitch Creek,0.2,.258
160,Mitch Creek,0.0,.011
161,Player,WS,WS/48
162,Jae Crowder,4.4,.097
163,Dante Cunningham,1.9,.097
164,Seth Curry,2.4,.082
165,Stephen Curry,9.7,.199
166,Troy Daniels,0.3,.020
167,Anthony Davis,9.5,.247
168,Deyonta Davis,0.4,.145
169,Ed Davis,5.7,.191
170,Tyler Davis,0.0,-0.471
171,Dewayne Dedmon,4.0,.119
172,Sam Dekker,1.0,.064
173,Sam Dekker,0.3,.080
174,Sam Dekker,0.8,.059
175,Ángel Delgado,0.0,-0.055
