,Player,WS,WS/48
0,Quincy Acy,1.7,.063
1,Jordan Adams,0.4,.073
2,Steven Adams,4.1,.111
3,Jeff Adrien,0.4,.087
4,Arron Afflalo,2.6,.050
5,Arron Afflalo,1.8,.050
6,Arron Afflalo,0.8,.049
7,Alexis Ajinça,3.2,.159
8,Furkan Aldemir,1.4,.122
9,Cole Aldrich,2.2,.107
10,LaMarcus Aldridge,8.6,.165
11,Lavoy Allen,2.8,.127
12,Tony Allen,4.1,.119
13,Al-Farouq Aminu,3.3,.115
14,Lou Amundson,0.3,.017
15,Lou Amundson,0.0,-0.011
16,Lou Amundson,0.4,.020
17,Chris Andersen,3.6,.151
18,Alan Anderson,2.7,.075
19,Kyle Anderson,0.3,.044
20,Ryan Anderson,3.5,.100
21,Giannis Antetokounmpo,6.2,.117
22,Carmelo Anthony,2.9,.097
23,Joel Anthony,1.2,.142
24,Player,WS,WS/48
25,Pero Antić,1.5,.070
26,Trevor Ariza,6.6,.108
27,Darrell Arthur,0.9,.042
28,Ömer Aşık,5.0,.120
29,D.J. Augustin,3.4,.083
30,D.J. Augustin,2.5,.094
31,D.J. Augustin,0.9,.063
32,Jeff Ayres,1.2,.147
33,Luke Babbitt,1.6,.092
34,Cameron Bairstow,-0.1,-0.048
35,Leandro Barbosa,2.8,.137
36,J.J. Barea,2.7,.096
37,Andrea Bargnani,0.9,.058
38,Harrison Barnes,6.7,.139
39,Matt Barnes,4.3,.091
40,Earl Barron,0.0,-0.011
41,Will Barton,1.3,.063
42,Will Barton,0.0,.002
43,Will Barton,1.3,.089
44,Brandon Bass,5.3,.132
45,Nicolas Batum,5.2,.105
46,Jerryd Bayless,2.4,.066
47,Aron Baynes,3.9,.166
48,Kent Bazemore,1.6,.057
49,Player,WS,WS/48
50,Bradley Beal,3.7,.085
51,Michael Beasley,-0.1,-0.007
52,Marco Belinelli,2.9,.100
53,Jerrelle Benimon,0.0,-0.215
54,Anthony Bennett,0.3,.017
55,Patrick Beverley,3.5,.096
56,Sim Bhullar,0.0,.389
57,Bismack Biyombo,4.0,.156
58,Tarik Black,3.1,.124
59,Tarik Black,0.9,.113
60,Tarik Black,2.2,.129
61,DeJuan Blair,0.1,.033
62,Steve Blake,2.1,.066
63,Eric Bledsoe,7.0,.119
64,Vander Blue,-0.2,-0.156
65,Bojan Bogdanović,2.4,.062
66,Andrew Bogut,5.2,.159
67,Matt Bonner,2.1,.110
68,Trevor Booker,3.6,.110
69,Carlos Boozer,2.2,.062
70,Chris Bosh*,3.6,.111
71,Avery Bradley,2.5,.049
72,Player,WS,WS/48
73,Elton Brand,0.7,.070
74,Corey Brewer,3.1,.071
75,Corey Brewer,0.4,.028
76,Corey Brewer,2.7,.091
77,Aaron Brooks,3.3,.083
78,Jabari Brown,0.4,.033
79,Lorenzo Brown,0.3,.025
80,Markel Brown,0.5,.031
81,Shannon Brown,0.0,-0.016
82,Kobe Bryant*,0.2,.006
83,Chase Budinger,1.3,.049
84,Reggie Bullock,0.1,.019
85,Reggie Bullock,0.4,.074
86,Reggie Bullock,-0.3,-0.173
87,Trey Burke,2.4,.050
88,Alec Burks,1.7,.089
89,Caron Butler,2.4,.070
90,Jimmy Butler,11.2,.214
91,Rasual Butler,2.6,.084
92,Dwight Buycks,0.1,.027
93,Will Bynum,-0.2,-0.132
94,Bruno Caboclo,-0.1,-0.275
95,Nick Calathes,1.1,.065
96,José Calderón,0.9,.033
97,Player,WS,WS/48
98,Kentavious Caldwell-Pope,2.8,.052
99,Isaiah Canaan,1.4,.072
100,Isaiah Canaan,0.6,.084
101,Isaiah Canaan,0.8,.065
102,Clint Capela,0.0,.019
103,DeMarre Carroll,7.0,.154
104,Vince Carter*,1.0,.043
105,Michael Carter-Williams,0.8,.017
106,Michael Carter-Williams,-0.5,-0.017
107,Michael Carter-Williams,1.3,.080
108,Omri Casspi,2.7,.091
