,Player,WS,WS/48
203,Jeff Green,3.1,.065
204,Jeff Green,2.2,.067
205,Jeff Green,0.9,.061
206,Blake Griffin,3.8,.156
207,Jorge Gutiérrez,0.3,.201
208,P.J. Hairston,0.6,.021
209,P.J. Hairston,0.9,.044
210,P.J. Hairston,-0.3,-0.039
211,Jordan Hamilton,0.2,.030
212,Tyler Hansbrough,1.0,.134
213,Tim Hardaway Jr.,1.9,.105
214,James Harden,13.3,.204
215,Maurice Harkless,2.9,.096
216,Justin Harper,0.0,.039
217,Player,WS,WS/48
218,Montrezl Harrell,0.9,.118
219,Devin Harris,2.5,.095
220,Gary Harris,4.0,.079
221,Joe Harris,0.0,-0.032
222,Tobias Harris,6.6,.126
223,Tobias Harris,3.3,.099
224,Tobias Harris,3.3,.174
225,Aaron Harrison,0.0,-0.014
226,Udonis Haslem,0.4,.072
227,Spencer Hawes,1.9,.090
228,Chuck Hayes,0.0,-0.016
229,Gordon Hayward,8.9,.147
230,Gerald Henderson,2.0,.068
231,John Henson,2.3,.117
232,Mario Hezonja,0.9,.029
233,Roy Hibbert,2.2,.056
234,J.J. Hickson,0.8,.088
235,J.J. Hickson,0.5,.077
236,J.J. Hickson,0.3,.114
237,Nenê,2.7,.120
238,George Hill,6.2,.118
239,Jordan Hill,3.9,.124
240,Solomon Hill,2.1,.117
241,Darrun Hilliard,0.5,.066
242,Player,WS,WS/48
243,Kirk Hinrich,0.6,.044
244,Kirk Hinrich,0.6,.048
245,Kirk Hinrich,0.0,.019
246,Jrue Holiday,3.4,.089
247,Justin Holiday,0.6,.040
248,Justin Holiday,-0.1,-0.021
249,Justin Holiday,0.8,.072
250,Ryan Hollins,1.0,.100
251,Ryan Hollins,0.0,.040
252,Ryan Hollins,0.9,.107
253,Rondae Hollis-Jefferson,1.2,.094
254,Richaun Holmes,1.5,.103
255,Rodney Hood,6.0,.112
256,Al Horford,9.4,.172
257,Dwight Howard,6.6,.138
258,Marcelo Huertas,-0.1,-0.006
259,Josh Huestis,0.0,.010
260,Kris Humphries,1.6,.093
261,Kris Humphries,0.7,.073
262,Kris Humphries,0.0,.012
263,Kris Humphries,0.9,.143
264,R.J. Hunter,0.3,.045
265,Serge Ibaka,5.5,.105
266,Andre Iguodala,4.4,.122
267,Ersan İlyasova,4.4,.113
268,Ersan İlyasova,3.3,.111
269,Ersan İlyasova,1.1,.117
270,Joe Ingles,2.3,.089
271,Damien Inglis,-0.1,-0.024
272,Kyrie Irving,5.0,.143
273,Jarrett Jack,0.9,.043
274,Player,WS,WS/48
275,Reggie Jackson,6.9,.136
276,LeBron James,13.6,.242
277,Al Jefferson,2.8,.123
278,Cory Jefferson,0.1,.070
279,Richard Jefferson,2.7,.099
280,John Jenkins,0.2,.022
281,John Jenkins,-0.1,-0.033
282,John Jenkins,0.4,.059
283,Brandon Jennings,1.5,.082
284,Brandon Jennings,0.8,.094
285,Brandon Jennings,0.7,.071
286,Jonas Jerebko,2.4,.097
287,Amir Johnson,5.9,.158
288,Chris Johnson,1.1,.059
289,James Johnson,1.3,.068
290,Joe Johnson,2.7,.048
291,Joe Johnson,0.7,.018
292,Joe Johnson,2.0,.123
293,Orlando Johnson,-0.2,-0.087
294,Orlando Johnson,0.0,.026
295,Orlando Johnson,-0.2,-0.185
296,Stanley Johnson,0.6,.018
297,Tyler Johnson,2.0,.113
298,Wesley Johnson,2.6,.076
299,Nikola Jokić,6.7,.185
300,Dahntay Jones,0.1,.096
301,James Jones,1.2,.120
302,Terrence Jones,1.5,.068
303,Player,WS,WS/48
304,Tyus Jones,0.3,.027
305,DeAndre Jordan,11.5,.213
306,Cory Joseph,3.5,.082
307,Chris Kaman,0.1,.037
308,Frank Kaminsky,3.3,.093
309,Sergey Karasev,0.3,.031
310,Sasha Kaun,0.2,.096
311,Ryan Kelly,0.1,.005
312,Michael Kidd-Gilchrist,0.6,.152
313,Sean Kilpatrick,1.0,.076
314,Sean Kilpatrick,0.1,.037
315,Sean Kilpatrick,0.9,.082
316,Brandon Knight,1.7,.043
317,Kyle Korver,4.1,.082
318,Kosta Koufos,3.5,.113
319,Jeremy Lamb,2.7,.107
320,Carl Landry,2.1,.176
321,Shane Larkin,1.4,.039
322,Joffrey Lauvergne,2.3,.105
323,Zach LaVine,2.6,.054
324,Ty Lawson,0.9,.031
325,Ty Lawson,0.4,.017
326,Ty Lawson,0.5,.103
327,Courtney Lee,3.9,.080
328,Courtney Lee,2.2,.072
329,Courtney Lee,1.6,.094
330,Player,WS,WS/48
331,David Lee,3.0,.161
332,David Lee,0.9,.092
333,David Lee,2.1,.237
334,Alex Len,1.3,.035
335,Kawhi Leonard,13.7,.277
336,Meyers Leonard,2.2,.078
337,Jon Leuer,2.7,.103
338,Damian Lillard,9.2,.165
339,Jeremy Lin,3.5,.082
340,Shaun Livingston,4.6,.145
341,Kevon Looney,0.1,.192
342,Brook Lopez,6.2,.121
343,Robin Lopez,5.8,.126
344,Kevin Love,8.5,.169
345,Kyle Lowry,11.6,.196
346,Trey Lyles,2.3,.079
347,Shelvin Mack,1.3,.061
348,Shelvin Mack,0.2,.045
349,Shelvin Mack,1.2,.064
350,Ian Mahinmi,6.2,.163
351,Devyn Marble,-0.1,-0.026
352,Boban Marjanović,3.4,.325
353,Kendall Marshall,-0.5,-0.064
354,Jarell Martin,0.8,.100
355,Player,WS,WS/48
356,Kevin Martin,1.2,.054
357,Kevin Martin,0.8,.045
358,Kevin Martin,0.4,.082
359,Wesley Matthews,3.7,.067
360,O.J. Mayo,-0.1,-0.005
361,Luc Mbah a Moute,1.6,.059
362,James Michael McAdoo,0.8,.146
363,Ray McCallum,0.3,.034
364,Ray McCallum,0.5,.092
365,Ray McCallum,-0.2,-0.033
366,CJ McCollum,6.0,.104
367,T.J. McConnell,1.9,.058
368,Chris McCullough,0.3,.043
369,K.J. McDaniels,0.2,.043
370,Doug McDermott,2.8,.073
371,Mitch McGary,0.0,-0.018
372,JaVale McGee,1.1,.146
373,Ben McLemore,0.3,.010
374,Jordan McRae,0.4,.087
375,Jordan McRae,0.2,.096
376,Jordan McRae,0.2,.081
377,Josh McRoberts,0.8,.064
378,Jodie Meeks,0.1,.107
379,Salah Mejri,1.3,.156
380,Jordan Mickey,0.1,.068
381,Khris Middleton,6.1,.103
382,Player,WS,WS/48
383,C.J. Miles,3.1,.103
384,Andre Miller,1.0,.100
385,Andre Miller,0.5,.088
386,Andre Miller,0.4,.118
387,Mike Miller,0.3,.040
388,Patty Mills,4.8,.139
389,Elijah Millsap,0.1,.033
390,Paul Millsap,10.1,.183
391,Nikola Mirotić,3.9,.115
392,Nazr Mohammed,0.0,-0.009
393,Greg Monroe,7.5,.155
394,Luis Montero,-0.2,-0.238
395,E'Twaun Moore,1.8,.070
396,Eric Moreland,0.0,.012
397,Marcus Morris,5.4,.091
398,Markieff Morris,0.5,.015
399,Markieff Morris,-0.5,-0.029
400,Markieff Morris,1.1,.072
401,Anthony Morrow,1.9,.097
402,Donatas Motiejūnas,0.3,.026
403,Timofey Mozgov,3.7,.133
404,Emmanuel Mudiay,-2.1,-0.049
405,Shabazz Muhammad,2.7,.077
406,Xavier Munford,0.1,.017
407,Player,WS,WS/48
408,Mike Muscala,1.6,.136
409,Larry Nance Jr.,2.2,.083
410,Shabazz Napier,0.1,.004
411,Gary Neal,1.4,.085
412,Jameer Nelson,0.5,.024
413,Raul Neto,1.8,.058
414,Andrew Nicholson,1.6,.092
415,Joakim Noah,1.1,.079
416,Nerlens Noel,3.0,.074
417,Lucas Nogueira,0.7,.154
418,Steve Novak,0.1,.121
419,Steve Novak,0.1,.181
420,Steve Novak,0.0,.050
421,Dirk Nowitzki*,6.8,.138
422,Jusuf Nurkić,0.4,.031
423,J.J. O'Brien,0.0,-0.028
424,Johnny O'Bryant,0.3,.014
425,Kyle O'Quinn,1.6,.103
426,Jahlil Okafor,1.2,.037
427,Victor Oladipo,4.9,.099
428,Kelly Olynyk,4.1,.141
429,Kelly Oubre Jr.,0.4,.031
430,Player,WS,WS/48
431,Zaza Pachulia,6.0,.145
432,Kostas Papanikolaou,-0.1,-0.022
433,Jabari Parker,3.6,.072
434,Tony Parker*,5.8,.142
435,Chandler Parsons,4.3,.114
436,Lamar Patterson,0.2,.025
437,Patrick Patterson,3.6,.086
438,Chris Paul,12.7,.253
439,Adreian Payne,-0.5,-0.047
440,Cameron Payne,1.4,.093
441,Elfrid Payton,2.2,.050
442,Nikola Peković,-0.1,-0.022
443,Kendrick Perkins,-0.1,-0.007
444,Paul Pierce*,0.9,.033
445,Tibor Pleiß,-0.1,-0.041
446,Mason Plumlee,6.1,.140
447,Miles Plumlee,2.2,.124
448,Otto Porter Jr.,5.6,.119
449,Bobby Portis,1.5,.066
450,Kristaps Porziņģis,4.4,.102
451,Player,WS,WS/48
452,Dwight Powell,3.1,.151
453,Norman Powell,1.6,.105
454,Phil Pressey,-0.1,-0.017
455,Phil Pressey,0.0,-0.014
456,Phil Pressey,-0.1,-0.022
457,Ronnie Price,1.4,.056
458,Pablo Prigioni,1.5,.087
459,Tayshaun Prince,0.4,.014
460,Julius Randle,1.6,.035
461,Zach Randolph,4.3,.103
462,JJ Redick,6.7,.154
463,Willie Reed,1.2,.134
464,Josh Richardson,2.5,.109
465,Austin Rivers,1.9,.063
466,Andre Roberson,3.4,.105
467,Brian Roberts,1.0,.105
468,Brian Roberts,0.8,.108
469,Brian Roberts,0.3,.096
470,Glenn Robinson III,0.8,.078
471,Nate Robinson,0.0,.038
472,Thomas Robinson,0.6,.033
473,Rajon Rondo,4.6,.087
474,Derrick Rose,0.4,.009
475,Terrence Ross,3.6,.100
476,Player,WS,WS/48
477,Terry Rozier,-0.3,-0.047
478,Ricky Rubio,5.8,.119
479,Damjan Rudež,0.1,.009
480,Brandon Rush,2.0,.090
481,D'Angelo Russell,0.0,.001
482,Robert Sacre,0.3,.040
483,JaKarr Sampson,0.1,.006
484,JaKarr Sampson,-0.3,-0.021
485,JaKarr Sampson,0.4,.045
486,Dennis Schröder,2.2,.064
487,Luis Scola,3.3,.098
488,Mike Scott,3.2,.132
489,Thabo Sefolosha,4.5,.122
490,Kevin Séraphin,-0.2,-0.015
491,Ramon Sessions,3.8,.109
492,Iman Shumpert,1.7,.063
493,Jonathon Simmons,2.0,.119
494,Henry Sims,0.4,.079
495,Kyle Singler,1.1,.054
496,Donald Sloan,2.0,.071
497,Marcus Smart,2.9,.083
498,Greg Smith,0.2,.045
499,Player,WS,WS/48
500,Ish Smith,1.3,.027
501,Ish Smith,0.9,.070
502,Ish Smith,0.4,.011
503,J.R. Smith,5.5,.111
504,Jason Smith,1.8,.072
505,Josh Smith,0.0,.000
506,Josh Smith,0.3,.036
507,Josh Smith,-0.4,-0.040
508,Russ Smith,-0.1,-0.041
509,Tony Snell,0.4,.016
510,Marreese Speights,1.8,.102
511,Tiago Splitter,1.7,.144
512,Nik Stauskas,0.5,.012
513,Lance Stephenson,2.2,.076
514,Lance Stephenson,0.9,.066
515,Lance Stephenson,1.2,.086
516,Alex Stepheson,0.1,.068
517,Alex Stepheson,0.0,.113
518,Alex Stepheson,0.1,.059
519,Jarnell Stokes,0.1,.209
520,Jarnell Stokes,0.0,.163
521,Jarnell Stokes,0.1,.222
522,Amar'e Stoudemire,2.4,.150
523,Rodney Stuckey,2.0,.077
524,Jared Sullinger,4.8,.121
525,Edy Tavares,0.2,.106
526,Jeff Teague,5.9,.125
527,Mirza Teletović,3.8,.109
528,Garrett Temple,2.7,.066
529,Jason Terry,1.5,.057
530,Player,WS,WS/48
531,Isaiah Thomas,9.7,.177
532,Lance Thomas,1.7,.062
533,Hollis Thompson,1.2,.026
534,Jason Thompson,1.6,.165
535,Jason Thompson,0.6,.169
536,Jason Thompson,1.0,.163
537,Klay Thompson,8.0,.144
538,Tristan Thompson,8.7,.185
539,Marcus Thornton,1.7,.074
540,Marcus Thornton,1.3,.072
541,Marcus Thornton,0.4,.080
542,Anthony Tolliver,2.8,.100
543,Axel Toupane,0.3,.049
544,Karl-Anthony Towns,8.3,.151
545,P.J. Tucker,3.5,.066
546,Evan Turner,4.0,.085
547,Myles Turner,3.1,.109
548,Beno Udrih,0.4,.029
549,Beno Udrih,0.1,.024
550,Beno Udrih,0.4,.030
551,Jonas Valančiūnas,6.9,.211
552,Anderson Varejão,1.0,.101
553,Anderson Varejão,0.6,.089
554,Anderson Varejão,0.5,.120
555,Greivis Vásquez,-0.3,-0.033
556,Rashad Vaughn,-0.8,-0.036
557,Charlie Villanueva,0.2,.016
558,Noah Vonleh,1.2,.047
559,Player,WS,WS/48
560,Nikola Vučević,5.2,.122
561,Sasha Vujačić,1.1,.060
562,Dwyane Wade*,4.9,.105
563,Dion Waiters,2.1,.046
564,Kemba Walker,9.9,.165
565,John Wall,5.7,.098
566,T.J. Warren,2.2,.101
567,C.J. Watson,0.6,.047
568,Briante Weber,0.0,.004
569,Briante Weber,0.0,-0.007
570,Briante Weber,0.0,.634
571,Sonny Weems,-0.5,-0.053
572,Sonny Weems,-0.4,-0.043
573,Sonny Weems,-0.2,-0.104
574,David West,5.4,.184
575,Russell Westbrook,14.0,.245
576,Hassan Whiteside,10.3,.233
577,Shayne Whittington,0.0,-0.009
578,Andrew Wiggins,4.1,.069
579,C.J. Wilcox,0.3,.089
580,Alan Williams,0.2,.146
581,Deron Williams,3.7,.083
582,Derrick Williams,3.6,.120
583,Elliot Williams,0.0,-0.046
584,Player,WS,WS/48
585,Lou Williams,4.7,.119
586,Marvin Williams,7.8,.161
587,Mo Williams,1.1,.067
588,Justise Winslow,2.5,.054
589,Jeff Withey,2.3,.171
590,Christian Wood,0.3,.097
591,Metta World Peace,0.1,.008
592,Brandan Wright,0.7,.147
593,Delon Wright,0.6,.124
594,Tony Wroten,-0.8,-0.263
595,James Young,0.1,.013
596,Joe Young,-0.1,-0.009
597,Nick Young,0.1,.003
598,Thaddeus Young,4.1,.081
599,Cody Zeller,6.3,.169
600,Tyler Zeller,1.7,.114
