,Player,WS,WS/48
0,Quincy Acy,2.5,.137
1,Jordan Adams,0.0,.015
2,Steven Adams,6.5,.155
3,Arron Afflalo,2.7,.055
4,Alexis Ajinça,1.0,.058
5,Cole Aldrich,3.5,.209
6,LaMarcus Aldridge,10.1,.215
7,Cliff Alexander,0.0,.052
8,Lavoy Allen,3.7,.110
9,Tony Allen,2.4,.072
10,Al-Farouq Aminu,4.0,.082
11,Lou Amundson,-0.1,-0.014
12,Chris Andersen,1.3,.149
13,Chris Andersen,0.1,.165
14,Chris Andersen,1.1,.148
15,Alan Anderson,0.3,.078
16,James Anderson,-0.3,-0.017
17,Justin Anderson,1.1,.083
18,Kyle Anderson,3.5,.133
19,Ryan Anderson,3.9,.092
20,Giannis Antetokounmpo,7.1,.121
21,Thanasis Antetokounmpo,0.0,.291
22,Player,WS,WS/48
23,Carmelo Anthony,6.4,.121
24,Joel Anthony,0.4,.177
25,Keith Appling,-0.1,-0.199
26,Trevor Ariza,5.4,.090
27,Darrell Arthur,2.3,.072
28,Ömer Aşık,1.7,.070
29,D.J. Augustin,2.6,.106
30,D.J. Augustin,0.7,.065
31,D.J. Augustin,1.9,.139
32,Jeff Ayres,0.2,.077
33,Luke Babbitt,1.1,.064
34,Cameron Bairstow,0.0,-0.004
35,Leandro Barbosa,2.1,.092
36,J.J. Barea,2.8,.082
37,Andrea Bargnani,0.2,.013
38,Harrison Barnes,4.9,.116
39,Matt Barnes,2.6,.056
40,Will Barton,4.3,.088
41,Brandon Bass,4.1,.146
42,Nicolas Batum,5.0,.097
43,Jerryd Bayless,2.4,.075
44,Aron Baynes,4.1,.158
45,Player,WS,WS/48
46,Kent Bazemore,4.1,.094
47,Bradley Beal,2.7,.076
48,Michael Beasley,1.0,.128
49,Marco Belinelli,0.5,.014
50,Anthony Bennett,0.1,.054
51,Patrick Beverley,4.4,.102
52,Bismack Biyombo,5.9,.156
53,Nemanja Bjelica,1.9,.087
54,Tarik Black,0.7,.072
55,DeJuan Blair,-0.1,-0.015
56,Steve Blake,1.1,.053
57,Eric Bledsoe,2.5,.116
58,Bojan Bogdanović,0.9,.021
59,Andrew Bogut,5.4,.180
60,Matt Bonner,0.8,.181
61,Devin Booker,1.9,.043
62,Trevor Booker,4.3,.128
63,Chris Bosh*,6.4,.172
64,Avery Bradley,4.8,.090
65,Elton Brand,0.2,.036
66,Player,WS,WS/48
67,Corey Brewer,1.2,.035
68,Aaron Brooks,0.9,.040
69,Anthony Brown,-0.3,-0.024
70,Lorenzo Brown,-0.2,-0.157
71,Markel Brown,0.6,.031
72,Kobe Bryant*,-0.4,-0.010
73,Chase Budinger,1.4,.073
74,Chase Budinger,1.3,.084
75,Chase Budinger,0.1,.034
76,Reggie Bullock,1.2,.134
77,Trey Burke,2.1,.074
78,Alec Burks,1.5,.090
79,Caron Butler,0.3,.071
80,Jimmy Butler,9.1,.177
81,Rasual Butler,1.3,.146
82,Bruno Caboclo,-0.3,-0.283
83,José Calderón,4.0,.096
84,Kentavious Caldwell-Pope,5.3,.092
85,Isaiah Canaan,1.4,.035
86,Clint Capela,4.4,.144
87,DeMarre Carroll,1.2,.074
88,Vince Carter*,1.8,.084
89,Player,WS,WS/48
90,Michael Carter-Williams,1.2,.035
91,Omri Casspi,3.6,.092
92,Willie Cauley-Stein,3.8,.130
93,Mario Chalmers,3.8,.132
94,Mario Chalmers,0.1,.038
95,Mario Chalmers,3.7,.141
96,Tyson Chandler,3.8,.112
97,Rakeem Christmas,0.0,.343
98,Ian Clark,0.9,.075
99,Coty Clarke,0.0,.025
100,Jordan Clarkson,2.1,.039
101,Norris Cole,-0.1,-0.004
102,Darren Collison,5.2,.113
103,Nick Collison,0.8,.053
104,Mike Conley,5.3,.145
105,Pat Connaughton,-0.2,-0.076
106,Chris Copeland,-0.1,-0.017
107,Bryce Cotton,-0.1,-0.168
108,Bryce Cotton,-0.2,-0.238
109,Bryce Cotton,0.0,.221
110,DeMarcus Cousins,5.7,.122
111,Robert Covington,2.0,.050
112,Allen Crabbe,4.3,.098
113,Jamal Crawford,3.3,.076
114,Player,WS,WS/48
115,Jae Crowder,7.3,.152
116,Dante Cunningham,2.1,.052
117,Jared Cunningham,0.1,.014
118,Jared Cunningham,0.1,.018
119,Jared Cunningham,0.0,-0.012
120,Seth Curry,1.4,.097
121,Stephen Curry,17.9,.318
122,Troy Daniels,1.1,.110
123,Anthony Davis,7.2,.160
124,Ed Davis,6.7,.192
125,Branden Dawson,0.0,.069
126,Dewayne Dedmon,2.4,.162
127,Bryce Dejean-Jones,0.2,.033
128,Sam Dekker,0.0,.116
129,Matthew Dellavedova,3.8,.098
130,Luol Deng,6.4,.128
131,DeMar DeRozan,9.9,.169
132,Boris Diaw,3.8,.132
133,Gorgui Dieng,5.9,.127
134,Spencer Dinwiddie,0.1,.028
135,Toney Douglas,2.5,.094
136,Goran Dragić,4.7,.096
137,Player,WS,WS/48
138,Andre Drummond,7.4,.133
139,Jared Dudley,4.6,.105
140,Duje Dukan,0.0,-0.057
141,Tim Duncan*,5.2,.163
142,Mike Dunleavy,0.9,.063
143,Kevin Durant,14.5,.270
144,Cleanthony Early,-0.2,-0.075
145,Jarell Eddie,0.1,.046
146,Wayne Ellington,0.8,.025
147,Monta Ellis,4.3,.075
148,James Ennis III,0.9,.133
149,James Ennis III,0.0,.070
150,James Ennis III,0.1,.100
151,James Ennis III,0.8,.139
152,Tyler Ennis,0.4,.030
153,Jeremy Evans,0.6,.119
154,Tyreke Evans,1.4,.087
155,Festus Ezeli,2.7,.171
156,Kenneth Faried,5.5,.156
157,Jordan Farmar,0.4,.064
158,Derrick Favors,7.1,.173
159,Cristiano Felício,1.2,.175
160,Raymond Felton,2.7,.059
161,Player,WS,WS/48
162,Evan Fournier,5.7,.106
163,Randy Foye,0.4,.012
164,Randy Foye,0.0,-0.002
165,Randy Foye,0.4,.038
166,Tim Frazier,1.0,.062
167,Tim Frazier,-0.3,-0.051
168,Tim Frazier,1.2,.128
169,Jimmer Fredette,0.0,.000
170,Jimmer Fredette,-0.1,-0.198
171,Jimmer Fredette,0.1,.514
172,Enes Freedom,8.1,.226
173,Channing Frye,3.0,.119
174,Channing Frye,1.5,.097
175,Channing Frye,1.5,.157
176,Danilo Gallinari,6.3,.165
177,Langston Galloway,3.3,.077
178,Kevin Garnett*,1.1,.092
179,Marc Gasol,3.7,.098
180,Pau Gasol*,7.1,.149
181,Rudy Gay,3.8,.078
182,Alonzo Gee,1.9,.056
183,Paul George,9.2,.157
184,Taj Gibson,5.4,.133
185,Manu Ginóbili*,3.8,.160
186,Rudy Gobert,6.4,.160
187,Drew Gooden,0.0,-0.005
188,Archie Goodwin,0.1,.004
189,Aaron Gordon,5.4,.139
190,Player,WS,WS/48
191,Eric Gordon,2.1,.069
192,Marcin Gortat,7.3,.156
193,Andrew Goudelock,0.0,-0.033
194,Jerami Grant,2.1,.050
195,Jerian Grant,0.8,.030
196,Danny Green,4.2,.099
197,Draymond Green,11.1,.190
198,Erick Green,0.1,.121
199,Erick Green,0.0,-0.082
200,Erick Green,0.1,.162
201,Gerald Green,1.7,.052
202,JaMychal Green,2.6,.086
