,Player,WS,WS/48
0,Álex Abrines,2.1,.096
1,Quincy Acy,0.9,.082
2,Quincy Acy,-0.1,-0.133
3,Quincy Acy,1.1,.102
4,Steven Adams,6.5,.130
5,Arron Afflalo,1.4,.043
6,Alexis Ajinça,1.0,.080
7,Cole Aldrich,1.3,.116
8,LaMarcus Aldridge,7.2,.149
9,Lavoy Allen,1.7,.093
10,Tony Allen,3.1,.077
11,Al-Farouq Aminu,1.9,.051
12,Chris Andersen,0.2,.102
13,Alan Anderson,0.1,.020
14,Justin Anderson,1.9,.074
15,Justin Anderson,1.0,.067
16,Justin Anderson,0.9,.084
17,Kyle Anderson,2.7,.127
18,Ryan Anderson,5.2,.117
19,Giannis Antetokounmpo,12.4,.210
20,Carmelo Anthony,4.7,.089
21,Joel Anthony,0.4,.141
22,Trevor Ariza,6.0,.104
23,Darrell Arthur,1.1,.081
24,Player,WS,WS/48
25,Ömer Aşık,1.0,.100
26,D.J. Augustin,1.2,.038
27,Luke Babbitt,1.8,.081
28,Ron Baker,-0.1,-0.008
29,Wade Baldwin,-0.3,-0.041
30,Leandro Barbosa,0.6,.031
31,J.J. Barea,1.3,.080
32,Harrison Barnes,4.6,.078
33,Matt Barnes,2.0,.053
34,Matt Barnes,1.0,.034
35,Matt Barnes,1.0,.115
36,Will Barton,3.3,.093
37,Brandon Bass,2.2,.186
38,Nicolas Batum,4.6,.084
39,Jerryd Bayless,-0.1,-0.067
40,Aron Baynes,3.0,.123
41,Kent Bazemore,2.1,.052
42,Bradley Beal,8.5,.152
43,Malik Beasley,0.2,.057
44,Michael Beasley,1.8,.092
45,Marco Belinelli,3.2,.087
46,DeAndre' Bembry,0.3,.038
47,Player,WS,WS/48
48,Dragan Bender,-0.3,-0.029
49,Anthony Bennett,0.5,.090
50,Ben Bentil,-0.1,-0.473
51,Dāvis Bertāns,2.3,.135
52,Patrick Beverley,5.3,.123
53,Bismack Biyombo,2.9,.077
54,Nemanja Bjelica,1.5,.059
55,Tarik Black,2.4,.105
56,Eric Bledsoe,5.3,.118
57,Bojan Bogdanović,2.9,.067
58,Bojan Bogdanović,1.6,.052
59,Bojan Bogdanović,1.3,.103
60,Andrew Bogut,0.7,.055
61,Andrew Bogut,0.7,.055
62,Andrew Bogut,0.0,.020
63,Joel Bolomboy,0.2,.171
64,Devin Booker,2.0,.035
65,Trevor Booker,3.1,.086
66,Avery Bradley,3.1,.081
67,Corey Brewer,1.2,.045
68,Corey Brewer,0.9,.045
69,Corey Brewer,0.3,.047
70,Malcolm Brogdon,4.1,.100
71,Aaron Brooks,0.3,.016
72,Anthony Brown,0.0,.001
73,Anthony Brown,0.0,-0.007
74,Anthony Brown,0.0,.076
75,Bobby Brown,0.1,.040
76,Player,WS,WS/48
77,Jaylen Brown,1.5,.053
78,Nicolás Brussino,0.6,.055
79,Reggie Bullock,1.0,.101
80,Trey Burke,0.5,.036
81,Alec Burks,0.8,.056
82,Jimmy Butler,13.8,.236
83,Bruno Caboclo,0.1,.083
84,José Calderón,0.3,.023
85,José Calderón,0.0,.000
86,José Calderón,0.3,.051
87,Kentavious Caldwell-Pope,4.5,.086
88,Isaiah Canaan,0.5,.042
89,Clint Capela,5.9,.184
90,DeMarre Carroll,3.8,.097
91,Vince Carter*,4.0,.106
