,Player,WS,WS/48
0,Álex Abrines,2.2,.094
1,Quincy Acy,1.0,.036
2,Steven Adams,9.7,.187
3,Bam Adebayo,4.2,.148
4,Arron Afflalo,0.1,.009
5,Cole Aldrich,0.0,-0.013
6,LaMarcus Aldridge,10.9,.209
7,Jarrett Allen,4.2,.141
8,Kadeem Allen,-0.1,-0.038
9,Tony Allen,0.1,.017
10,Al-Farouq Aminu,4.2,.097
11,Justin Anderson,1.2,.115
12,Kyle Anderson,6.2,.151
13,Ryan Anderson,4.8,.132
14,Ike Anigbogu,0.1,.165
15,Giannis Antetokounmpo,11.9,.207
16,Carmelo Anthony,3.7,.071
17,OG Anunoby,3.0,.098
18,Ryan Arcidiacono,0.3,.040
19,Trevor Ariza,5.3,.113
20,Player,WS,WS/48
21,Darrell Arthur,0.0,-0.011
22,Jamel Artis,0.0,-0.006
23,Ömer Aşık,-0.1,-0.021
24,Ömer Aşık,0.0,.008
25,Ömer Aşık,-0.1,-0.078
26,D.J. Augustin,4.1,.110
27,Luke Babbitt,0.9,.060
28,Luke Babbitt,1.1,.094
29,Luke Babbitt,-0.2,-0.073
30,Dwayne Bacon,-0.1,-0.007
31,Ron Baker,0.5,.059
32,Wade Baldwin,0.3,.187
33,Lonzo Ball,2.0,.053
34,J.J. Barea,3.3,.098
35,Harrison Barnes,3.8,.070
36,Will Barton,6.2,.111
37,Nicolas Batum,3.5,.084
38,Jerryd Bayless,1.1,.055
39,Aron Baynes,3.0,.097
40,Kent Bazemore,2.2,.059
41,Bradley Beal,6.9,.111
42,Malik Beasley,0.3,.028
43,Michael Beasley,2.4,.069
44,Marco Belinelli,3.7,.092
45,Marco Belinelli,1.9,.075
46,Marco Belinelli,1.8,.119
47,Player,WS,WS/48
48,Jordan Bell,2.9,.174
49,DeAndre' Bembry,-0.4,-0.040
50,Dragan Bender,0.1,.001
51,Dāvis Bertāns,3.1,.135
52,Patrick Beverley,0.4,.056
53,Khem Birch,1.8,.150
54,Jabari Bird,0.2,.098
55,Bismack Biyombo,2.9,.094
56,Nemanja Bjelica,2.8,.097
57,Tarik Black,1.5,.136
58,Antonio Blakeney,0.0,-0.006
59,Eric Bledsoe,5.6,.116
60,Eric Bledsoe,0.0,-0.028
61,Eric Bledsoe,5.7,.121
62,Vander Blue,-0.1,-0.103
63,Bogdan Bogdanović,2.9,.064
64,Bojan Bogdanović,5.4,.105
65,Andrew Bogut,0.4,.094
66,Joel Bolomboy,0.1,.079
67,Devin Booker,2.4,.063
68,Trevor Booker,2.9,.121
69,Trevor Booker,0.6,.072
70,Trevor Booker,1.7,.163
