,Player,WS,WS/48
0,Precious Achiuwa,2.2,.093
1,Steven Adams,3.4,.144
2,Bam Adebayo,7.4,.137
3,Ochai Agbaji,1.3,.053
4,Santi Aldama,4.6,.130
5,Nickeil Alexander-Walker,1.1,.062
6,Nickeil Alexander-Walker,0.8,.074
7,Nickeil Alexander-Walker,0.3,.044
8,Grayson Allen,5.1,.123
9,Jarrett Allen,9.5,.205
10,Jose Alvarado,1.8,.066
11,Kyle Anderson,5.1,.125
12,Giannis Antetokounmpo,8.6,.204
13,Thanasis Antetokounmpo,0.1,.022
14,Cole Anthony,3.7,.116
15,OG Anunoby,4.7,.094
16,Ryan Arcidiacono,-0.2,-0.043
17,Ryan Arcidiacono,0.0,-0.012
18,Ryan Arcidiacono,-0.1,-0.049
19,Deni Avdija,2.3,.054
20,Deandre Ayton,6.2,.147
21,Udoka Azubuike,1.0,.134
22,Marvin Bagley III,2.0,.095
23,Patrick Baldwin Jr.,0.1,.029
24,Player,WS,WS/48
25,LaMelo Ball,1.8,.068
26,Mo Bamba,2.2,.139
27,Mo Bamba,2.1,.150
28,Mo Bamba,0.1,.054
29,Paolo Banchero,2.4,.047
30,Desmond Bane,5.8,.151
31,Dalano Banton,0.4,.064
32,Dominick Barlow,0.7,.082
33,Harrison Barnes,6.5,.118
34,Scottie Barnes,5.0,.090
35,RJ Barrett,2.2,.043
36,Will Barton,0.4,.021
37,Will Barton,0.2,.013
38,Will Barton,0.2,.051
39,Charles Bassey,1.3,.122
40,Keita Bates-Diop,2.7,.089
41,Nicolas Batum,3.6,.101
42,Darius Bazley,1.0,.078
43,Darius Bazley,0.9,.079
44,Darius Bazley,0.1,.066
45,Bradley Beal,3.4,.099
46,Malik Beasley,1.4,.032
47,Malik Beasley,1.2,.040
48,Malik Beasley,0.2,.012
49,MarJon Beauchamp,0.4,.027
50,Dāvis Bertāns,0.9,.090
51,Patrick Beverley,3.0,.079
52,Patrick Beverley,1.8,.071
53,Patrick Beverley,1.2,.096
54,Saddiq Bey,3.9,.087
55,Saddiq Bey,2.3,.074
56,Saddiq Bey,1.6,.119
57,Player,WS,WS/48
58,Khem Birch,0.2,.072
59,Goga Bitadze,1.3,.141
60,Goga Bitadze,0.4,.087
61,Goga Bitadze,1.0,.184
62,Bismack Biyombo,1.9,.102
63,Buddy Boeheim,-0.2,-0.091
64,Bogdan Bogdanović,2.8,.088
65,Bojan Bogdanović,3.5,.090
66,Bol Bol,2.3,.072
67,Leandro Bolmaro,-0.3,-0.231
68,Devin Booker,6.0,.157
69,Brandon Boston Jr.,0.2,.040
70,Chris Boucher,5.0,.156
71,James Bouknight,-0.4,-0.040
72,Jamaree Bouyea,0.0,.013
73,Jamaree Bouyea,0.0,.029
74,Jamaree Bouyea,0.0,-0.150
75,Tony Bradley,0.2,.220
76,Malaki Branham,-0.1,-0.004
77,Jarrell Brantley,0.1,.160
78,Christian Braun,1.9,.079
79,Mikal Bridges,7.5,.121
80,Mikal Bridges,4.9,.116
81,Mikal Bridges,2.5,.133
82,Oshae Brissett,1.1,.050
83,Malcolm Brogdon,5.8,.161
84,Player,WS,WS/48
85,Dillon Brooks,1.6,.034
86,Bruce Brown,4.3,.090
87,Greg Brown III,-0.1,-0.074
88,Jaylen Brown,5.0,.100
89,Kendall Brown,0.1,.071
90,Moses Brown,1.1,.179
