slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
abdelal01,Alaa Abdelnaby,POWER FORWARD,23,PORTLAND TRAIL BLAZERS,71,1,934,178,361,0,0,76,101,81,179,30,25,16,66,132,432
abdulma02,Mahmoud Abdul-Rauf,POINT GUARD,22,DENVER NUGGETS,81,11,1538,356,845,31,94,94,108,22,92,192,44,4,117,130,837
acresma01,Mark Acres,CENTER,29,ORLANDO MAGIC,68,6,926,78,151,1,3,51,67,97,155,22,25,15,33,140,208
adamsmi01,Michael Adams,POINT GUARD,29,WASHINGTON BULLETS,78,78,2795,485,1233,125,386,313,360,58,252,594,145,9,212,162,1408
addisra01,Rafael Addison,SMALL FORWARD,27,NEW JERSEY NETS,76,8,1175,187,432,14,49,56,76,65,100,68,28,28,46,109,444
aguirma01,Mark Aguirre,SMALL FORWARD,32,DETROIT PISTONS,75,12,1582,339,787,15,71,158,230,67,169,126,51,11,105,171,851
aingeda01,Danny Ainge,SHOOTING GUARD,32,PORTLAND TRAIL BLAZERS,81,6,1595,299,676,78,230,108,131,40,108,202,73,13,70,148,784
alexavi01,Victor Alexander,CENTER,22,GOLDEN STATE WARRIORS,80,28,1350,243,459,0,1,103,149,106,230,32,45,62,91,176,589
andergr01,Greg Anderson,POWER FORWARD,27,DENVER NUGGETS,82,82,2793,389,854,0,4,167,268,337,604,78,88,65,201,263,945
anderke01,Kenny Anderson,POINT GUARD,21,NEW JERSEY NETS,64,13,1086,187,480,3,13,73,98,38,89,203,67,9,97,68,450
anderni01,Nick Anderson,SHOOTING GUARD,24,ORLANDO MAGIC,60,59,2203,482,1042,30,85,202,303,98,286,163,97,33,126,132,1196
anderro01,Ron Anderson,SMALL FORWARD,33,PHILADELPHIA 76ERS,82,11,2432,469,1008,42,127,143,163,96,182,135,86,11,109,128,1123
anderwi01,Willie Anderson,SHOOTING GUARD,25,SAN ANTONIO SPURS,57,55,1889,312,685,13,56,107,138,62,238,302,54,51,140,151,744
anslemi01,Michael Ansley,SMALL FORWARD,24,PHILADELPHIA 76ERS,8,0,32,5,11,0,0,5,6,2,2,2,0,0,3,6,15
anslemi01,Michael Ansley,SMALL FORWARD,24,CHARLOTTE HORNETS,2,0,13,3,7,0,0,0,0,0,2,0,0,0,0,1,6
anthogr01,Greg Anthony,POINT GUARD,24,NEW YORK KNICKS,82,1,1510,161,435,8,55,117,158,33,103,314,59,9,98,170,447
armstbj01,B.J. Armstrong,POINT GUARD,24,CHICAGO BULLS,82,3,1875,335,697,35,87,104,129,19,126,266,46,5,94,88,809
askewvi01,Vincent Askew,SHOOTING GUARD,25,GOLDEN STATE WARRIORS,80,10,1496,193,379,1,10,111,160,89,144,188,47,23,84,128,498
askinke01,Keith Askins,SMALL FORWARD,24,MIAMI HEAT,59,4,843,84,205,25,73,26,37,65,77,38,40,15,47,109,219
augmost01,Stacey Augmon,SHOOTING GUARD,23,ATLANTA HAWKS,82,82,2505,440,899,1,6,213,320,191,229,201,124,27,181,161,1094
austiis01,Isaac Austin,CENTER,22,UTAH JAZZ,31,0,112,21,46,0,0,19,30,11,24,5,2,2,8,20,61
babicmi01,Miloš Babić,CENTER,23,MIAMI HEAT,9,0,35,6,13,0,0,6,8,2,9,6,1,0,5,0,18
baglejo01,John Bagley,POINT GUARD,31,BOSTON CELTICS,73,59,1742,223,506,10,42,68,95,38,123,480,57,4,148,123,524
baileth01,Thurl Bailey,POWER FORWARD,30,UTAH JAZZ,13,0,327,39,101,0,1,44,55,23,55,19,5,15,21,31,122
baileth01,Thurl Bailey,POWER FORWARD,30,MINNESOTA TIMBERWOLVES,71,18,1777,329,735,0,1,171,215,99,308,59,30,102,87,129,829
bardost01,Steve Bardo,SHOOTING GUARD,23,SAN ANTONIO SPURS,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
barklch01,Charles Barkley,SMALL FORWARD,28,PHILADELPHIA 76ERS,75,75,2881,622,1126,32,137,454,653,271,559,308,136,44,235,196,1730
barroda01,Dana Barros,POINT GUARD,24,SEATTLE SUPERSONICS,75,1,1331,238,493,83,186,60,79,17,64,125,51,4,56,84,619
battljo01,John Battle,SHOOTING GUARD,29,CLEVELAND CAVALIERS,76,2,1637,316,659,2,17,145,171,19,93,159,36,5,91,116,779
battlke01,Kenny Battle,SHOOTING GUARD,27,BOSTON CELTICS,8,0,46,3,4,0,0,8,8,3,6,0,1,0,2,4,14
battlke01,Kenny Battle,SHOOTING GUARD,27,GOLDEN STATE WARRIORS,8,0,46,8,13,0,1,2,4,1,6,4,1,2,2,6,18
bedfowi01,William Bedford,CENTER,28,DETROIT PISTONS,32,8,363,50,121,0,1,14,22,24,39,12,6,18,15,56,114
benjabe01,Benoit Benjamin,CENTER,27,SEATTLE SUPERSONICS,63,61,1941,354,740,0,2,171,249,130,383,76,39,118,175,185,879
bennewi01,Winston Bennett,SMALL FORWARD,26,CLEVELAND CAVALIERS,52,45,831,79,209,0,1,35,50,62,99,38,19,9,33,121,193
bennewi01,Winston Bennett,SMALL FORWARD,26,MIAMI HEAT,2,0,2,1,2,0,0,0,0,1,0,0,0,0,0,1,2
benoida01,David Benoit,SMALL FORWARD,23,UTAH JAZZ,77,2,1161,175,375,3,14,81,100,105,191,34,19,44,71,124,434
birdla01,Larry Bird,SMALL FORWARD,35,BOSTON CELTICS,45,45,1662,353,758,52,128,150,162,46,388,306,42,33,125,82,908
blackro01,Rolando Blackman,SHOOTING GUARD,32,DALLAS MAVERICKS,75,74,2527,535,1161,65,169,239,266,78,161,204,50,22,153,134,1374
blankla01,Lance Blanks,SHOOTING GUARD,25,DETROIT PISTONS,43,0,189,25,55,6,16,8,11,9,13,19,14,1,14,26,64
blaylmo01,Mookie Blaylock,POINT GUARD,24,NEW JERSEY NETS,72,67,2548,429,993,12,54,126,177,101,168,492,170,40,152,182,996
boguemu01,Muggsy Bogues,POINT GUARD,27,CHARLOTTE HORNETS,82,69,2790,317,671,2,27,94,120,58,177,743,170,6,156,156,730
bolma01,Manute Bol,CENTER,29,PHILADELPHIA 76ERS,71,2,1267,49,128,0,9,12,26,54,168,22,11,205,41,139,110
bonnean01,Anthony Bonner,POWER FORWARD,23,SACRAMENTO KINGS,79,18,2287,294,658,1,4,151,241,192,293,125,94,26,133,194,740
