slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
abdulka01,Kareem Abdul-Jabbar,CENTER,41,LOS ANGELES LAKERS,74,74,1695,313,659,0,3,122,165,103,231,74,38,85,95,196,748
acresma01,Mark Acres,CENTER,26,BOSTON CELTICS,62,0,632,55,114,1,1,26,48,59,87,19,19,6,23,94,137
adamsmi01,Michael Adams,POINT GUARD,26,DENVER NUGGETS,77,77,2787,468,1082,166,466,322,393,71,212,490,166,11,180,149,1424
aguirma01,Mark Aguirre,SMALL FORWARD,29,DALLAS MAVERICKS,44,44,1529,373,829,29,99,178,244,90,145,189,29,29,140,128,953
aguirma01,Mark Aguirre,SMALL FORWARD,29,DETROIT PISTONS,36,32,1068,213,441,22,75,110,149,56,95,89,16,7,68,101,558
aingeda01,Danny Ainge,POINT GUARD,29,BOSTON CELTICS,45,28,1349,271,589,58,155,114,128,37,117,215,52,1,82,108,714
aingeda01,Danny Ainge,POINT GUARD,29,SACRAMENTO KINGS,28,26,1028,209,462,58,150,91,112,34,67,187,41,7,63,78,567
alarima01,Mark Alarie,POWER FORWARD,25,WASHINGTON BULLETS,74,5,1141,206,431,13,38,73,87,103,152,63,25,22,62,160,498
alforst01,Steve Alford,POINT GUARD,24,DALLAS MAVERICKS,9,0,38,3,11,0,2,1,2,0,3,9,1,0,1,3,7
alforst01,Steve Alford,POINT GUARD,24,GOLDEN STATE WARRIORS,57,3,868,145,313,20,53,49,59,10,59,83,44,3,44,54,359
allenra01,Randy Allen,SHOOTING GUARD,24,SACRAMENTO KINGS,7,0,43,8,19,0,1,1,2,3,4,0,1,1,2,7,17
andergr01,Greg Anderson,POWER FORWARD,24,SAN ANTONIO SPURS,82,56,2401,460,914,0,3,207,403,255,421,61,102,103,180,221,1127
andermi01,Michael Anderson,POINT GUARD,22,SAN ANTONIO SPURS,36,12,730,73,175,1,7,57,82,44,45,153,44,3,84,64,204
anderri01,Richard Anderson,POWER FORWARD,28,PORTLAND TRAIL BLAZERS,72,3,1082,145,348,49,141,32,38,62,169,98,44,12,54,100,371
anderro01,Ron Anderson,SMALL FORWARD,30,PHILADELPHIA 76ERS,82,12,2618,566,1152,2,11,196,229,167,239,139,71,23,126,166,1330
anderwi01,Willie Anderson,SMALL FORWARD,22,SAN ANTONIO SPURS,81,79,2738,640,1285,4,21,224,289,152,265,372,150,62,261,295,1508
baglejo01,John Bagley,POINT GUARD,28,NEW JERSEY NETS,68,20,1642,200,481,11,54,89,123,36,108,391,72,5,159,117,500
baileth01,Thurl Bailey,SMALL FORWARD,27,UTAH JAZZ,82,3,2777,615,1272,2,5,363,440,115,332,138,48,91,208,185,1595
ballagr01,Greg Ballard,SMALL FORWARD,34,SEATTLE SUPERSONICS,2,0,15,1,8,0,1,4,4,2,5,0,0,0,0,3,6
bannike01,Ken Bannister,POWER FORWARD,28,LOS ANGELES CLIPPERS,9,2,130,22,36,0,1,30,53,6,27,3,7,2,8,17,74
barklch01,Charles Barkley,POWER FORWARD,25,PHILADELPHIA 76ERS,79,79,3088,700,1208,35,162,602,799,403,583,325,126,67,254,262,2037
battljo01,John Battle,SHOOTING GUARD,26,ATLANTA HAWKS,82,0,1672,287,628,11,34,194,238,30,110,197,42,9,104,125,779
benjabe01,Benoit Benjamin,CENTER,24,LOS ANGELES CLIPPERS,79,62,2585,491,907,0,2,317,426,164,532,157,57,221,237,221,1299
berryri01,Ricky Berry,SHOOTING GUARD,24,SACRAMENTO KINGS,64,21,1406,255,567,65,160,131,166,57,140,80,37,22,82,197,706
berrywa01,Walter Berry,POWER FORWARD,24,NEW JERSEY NETS,29,17,556,108,231,0,0,43,63,32,83,20,10,13,40,69,259
berrywa01,Walter Berry,POWER FORWARD,24,HOUSTON ROCKETS,40,14,799,146,270,1,2,57,80,54,98,57,19,35,49,114,350
birdla01,Larry Bird,SMALL FORWARD,32,BOSTON CELTICS,6,6,189,49,104,0,0,18,19,1,36,29,6,5,11,18,116
birdsot01,Otis Birdsong,SHOOTING GUARD,33,BOSTON CELTICS,13,0,108,18,36,1,3,0,2,4,9,9,3,1,12,10,37
blabuw01,Uwe Blab,CENTER,26,DALLAS MAVERICKS,37,0,208,24,52,0,0,20,25,11,33,12,3,13,14,36,68
blackro01,Rolando Blackman,SHOOTING GUARD,29,DALLAS MAVERICKS,78,78,2946,594,1249,30,85,316,370,70,203,288,65,20,165,137,1534
boguemu01,Muggsy Bogues,POINT GUARD,24,CHARLOTTE HORNETS,79,21,1755,178,418,1,13,66,88,53,112,620,111,7,124,141,423
bolma01,Manute Bol,CENTER,26,GOLDEN STATE WARRIORS,80,4,1769,127,344,20,91,40,66,116,346,27,11,345,79,226,314
bowiean01,Anthony Bowie,SHOOTING GUARD,25,SAN ANTONIO SPURS,18,5,438,72,144,1,5,10,15,25,31,29,18,4,22,43,155
bowiesa01,Sam Bowie,CENTER,27,PORTLAND TRAIL BLAZERS,20,0,412,69,153,5,7,28,49,36,70,36,7,33,33,43,171
bradldu01,Dudley Bradley,SHOOTING GUARD,31,ATLANTA HAWKS,38,0,267,28,86,8,31,8,16,7,25,24,16,2,14,41,72
brancad01,Adrian Branch,SMALL FORWARD,25,PORTLAND TRAIL BLAZERS,67,4,811,202,436,7,31,87,120,63,69,60,45,3,64,99,498
breuera01,Randy Breuer,CENTER,28,MILWAUKEE BUCKS,48,4,513,86,179,0,0,28,51,51,84,22,9,37,29,59,200
brickfr01,Frank Brickowski,CENTER,29,SAN ANTONIO SPURS,64,60,1822,337,654,0,2,201,281,148,258,131,102,35,165,252,875
brooksc01,Scott Brooks,POINT GUARD,23,PHILADELPHIA 76ERS,82,6,1372,156,371,55,153,61,69,19,75,306,69,3,65,116,428
brownmi01,Mike Brown,CENTER,25,UTAH JAZZ,66,16,1051,104,248,0,0,92,130,92,166,41,25,17,77,133,300
brownto01,Tony Brown,SHOOTING GUARD,28,HOUSTON ROCKETS,14,0,91,14,45,2,9,6,8,7,8,5,3,0,7,14,36
brownto01,Tony Brown,SMALL FORWARD,28,MILWAUKEE BUCKS,29,0,274,36,73,2,7,18,23,15,14,21,12,4,10,28,92
bryanma01,Mark Bryant,POWER FORWARD,23,PORTLAND TRAIL BLAZERS,56,32,803,120,247,0,0,40,69,65,114,33,20,7,41,144,280
butlegr01,Greg Butler,CENTER,22,NEW YORK KNICKS,33,0,140,20,48,0,3,16,20,9,19,2,1,2,17,28,56
cagemi01,Michael Cage,POWER FORWARD,27,SEATTLE SUPERSONICS,80,71,2536,314,630,0,4,197,265,276,489,126,92,52,124,184,825
campbto01,Tony Campbell,SMALL FORWARD,26,LOS ANGELES LAKERS,63,2,787,158,345,2,21,70,83,53,77,47,37,6,62,108,388
carran01,Antoine Carr,POWER FORWARD,27,ATLANTA HAWKS,78,12,1488,226,471,0,1,130,152,106,168,91,31,62,82,221,582
carrojo01,Joe Barry Carroll,CENTER,30,NEW JERSEY NETS,64,62,1996,363,810,0,0,176,220,118,355,105,71,81,143,193,902
cartwbi01,Bill Cartwright,CENTER,31,CHICAGO BULLS,78,76,2333,365,768,0,0,236,308,152,369,90,21,41,190,234,966
catlete01,Terry Catledge,POWER FORWARD,25,WASHINGTON BULLETS,79,77,2077,334,681,1,5,153,254,230,342,75,46,25,120,250,822
cavenro01,Ron Cavenall,CENTER,29,NEW JERSEY NETS,5,0,16,2,3,0,0,2,5,0,2,0,0,2,2,2,6
chambto01,Tom Chambers,POWER FORWARD,29,PHOENIX SUNS,81,81,3002,774,1643,28,86,509,598,143,541,231,87,55,231,271,2085
champmi01,Mike Champion,SMALL FORWARD,24,SEATTLE SUPERSONICS,2,0,4,0,3,0,1,0,0,0,0,0,0,0,1,2,0
chapmre01,Rex Chapman,SHOOTING GUARD,21,CHARLOTTE HORNETS,75,44,2219,526,1271,60,191,155,195,74,113,176,70,25,113,167,1267
cheekma01,Maurice Cheeks,POINT GUARD,32,PHILADELPHIA 76ERS,71,70,2298,336,696,1,13,151,195,39,144,554,105,17,116,114,824
chievde01,Derrick Chievous,SMALL FORWARD,21,HOUSTON ROCKETS,81,1,1539,277,634,5,24,191,244,114,142,77,48,11,136,161,750
colembe01,Ben Coleman,POWER FORWARD,27,PHILADELPHIA 76ERS,58,11,703,117,241,0,0,61,77,49,128,17,10,18,48,120,295
coltest01,Steve Colter,POINT GUARD,26,WASHINGTON BULLETS,80,5,1425,203,457,3,25,125,167,62,120,225,69,14,64,158,534
comegda01,Dallas Comegys,POWER FORWARD,24,SAN ANTONIO SPURS,67,10,1119,166,341,0,2,106,161,112,122,30,42,63,85,160,438
connele01,Lester Conner,POINT GUARD,29,NEW JERSEY NETS,82,63,2532,309,676,13,37,212,269,100,255,604,181,5,181,132,843
cookda01,Darwin Cook,SHOOTING GUARD,30,SAN ANTONIO SPURS,36,0,757,147,315,6,31,46,56,21,38,84,43,4,62,77,346
cookda01,Darwin Cook,SHOOTING GUARD,30,DENVER NUGGETS,30,4,386,71,163,2,10,17,22,13,35,43,28,6,26,44,161
coopemi01,Michael Cooper,SHOOTING GUARD,32,LOS ANGELES LAKERS,80,13,1943,213,494,80,210,81,93,33,158,314,72,32,94,186,587
coopewa01,Wayne Cooper,CENTER,32,DENVER NUGGETS,79,72,1864,220,444,1,4,79,106,212,407,78,36,211,73,302,520
