slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
achiupr01,Precious Achiuwa,CENTER,22,TORONTO RAPTORS,73,28,1725,265,603,56,156,78,131,146,327,82,37,41,84,151,664
adamsst01,Steven Adams,CENTER,28,MEMPHIS GRIZZLIES,76,75,1999,210,384,0,1,108,199,349,411,256,65,60,115,153,528
adebaba01,Bam Adebayo,CENTER,24,MIAMI HEAT,56,56,1825,406,729,0,6,256,340,137,427,190,80,44,148,171,1068
aldamsa01,Santi Aldama,POWER FORWARD,21,MEMPHIS GRIZZLIES,32,0,360,53,132,6,48,20,32,33,54,21,6,10,16,36,132
aldrila01,LaMarcus Aldridge,CENTER,36,BROOKLYN NETS,47,12,1050,252,458,14,46,89,102,73,185,42,14,47,44,78,607
alexani01,Nickeil Alexander-Walker,SHOOTING GUARD,23,NEW ORLEANS PELICANS,50,19,1317,237,632,95,305,70,97,36,128,139,41,19,85,88,639
alexani01,Nickeil Alexander-Walker,SHOOTING GUARD,23,UTAH JAZZ,15,2,149,16,48,10,33,11,12,1,22,17,5,4,8,15,53
allengr01,Grayson Allen,SHOOTING GUARD,26,MILWAUKEE BUCKS,66,61,1805,255,569,159,389,64,74,32,190,100,46,18,43,96,733
allenja01,Jarrett Allen,CENTER,23,CLEVELAND CAVALIERS,56,56,1810,369,545,1,10,165,233,192,410,92,44,75,94,97,904
alvarjo01,Jose Alvarado,POINT GUARD,23,NEW ORLEANS PELICANS,54,1,834,131,294,32,110,36,53,25,75,152,71,7,40,73,330
anderju01,Justin Anderson,SMALL FORWARD,28,CLEVELAND CAVALIERS,3,0,47,4,8,2,6,3,4,0,6,6,1,0,2,4,13
anderju01,Justin Anderson,SMALL FORWARD,28,INDIANA PACERS,13,6,269,32,87,13,53,12,15,4,36,27,7,6,6,18,89
anderky01,Kyle Anderson,POWER FORWARD,28,MEMPHIS GRIZZLIES,69,11,1484,209,469,36,109,67,105,69,299,183,77,45,71,108,521
antetgi01,Giannis Antetokounmpo,POWER FORWARD,27,MILWAUKEE BUCKS,67,67,2204,689,1245,71,242,553,766,134,644,388,72,91,219,212,2002
antetth01,Thanasis Antetokounmpo,SMALL FORWARD,29,MILWAUKEE BUCKS,48,6,473,70,128,2,14,29,46,40,61,22,16,12,26,68,171
anthoca01,Carmelo Anthony,POWER FORWARD,37,LOS ANGELES LAKERS,69,3,1793,319,723,149,397,132,159,62,226,68,47,52,59,166,919
anthoco01,Cole Anthony,POINT GUARD,21,ORLANDO MAGIC,65,65,2059,357,912,132,391,216,253,32,316,369,46,17,170,171,1062
anunoog01,OG Anunoby,SMALL FORWARD,24,TORONTO RAPTORS,48,48,1728,309,697,115,317,89,118,74,190,125,71,25,80,131,822
arcidry01,Ryan Arcidiacono,POINT GUARD,27,NEW YORK KNICKS,10,0,76,6,12,4,9,0,0,0,8,4,1,0,3,5,16
arizatr01,Trevor Ariza,SMALL FORWARD,36,LOS ANGELES LAKERS,24,11,462,33,99,20,74,10,18,10,72,27,13,6,11,20,96
augusdj01,D.J. Augustin,POINT GUARD,34,HOUSTON ROCKETS,34,2,510,55,136,39,96,33,38,7,34,74,10,0,45,17,182
augusdj01,D.J. Augustin,POINT GUARD,34,LOS ANGELES LAKERS,21,0,373,39,86,29,68,5,5,4,23,33,7,1,11,22,112
avdijde01,Deni Avdija,SMALL FORWARD,21,WASHINGTON WIZARDS,82,8,1984,250,579,82,259,103,136,52,373,167,59,44,87,190,685
ayayijo01,Joel Ayayi,SHOOTING GUARD,21,WASHINGTON WIZARDS,7,0,20,1,6,0,1,0,0,1,2,4,0,0,0,0,2
aytonde01,Deandre Ayton,CENTER,23,PHOENIX SUNS,58,58,1713,442,697,7,19,106,142,149,444,84,40,40,91,142,997
azubuud01,Udoka Azubuike,CENTER,22,UTAH JAZZ,17,6,195,37,49,0,0,6,11,18,53,0,1,11,12,25,80
baglema01,Marvin Bagley III,POWER FORWARD,22,SACRAMENTO KINGS,30,17,663,114,246,15,62,35,47,67,148,17,9,11,21,50,278
baglema01,Marvin Bagley III,POWER FORWARD,22,DETROIT PISTONS,18,8,490,111,200,8,35,32,54,38,85,19,13,7,18,43,262
ballla01,LaMelo Ball,POINT GUARD,20,CHARLOTTE HORNETS,75,75,2422,538,1254,220,565,212,243,108,393,571,119,30,245,237,1508
balllo01,Lonzo Ball,POINT GUARD,24,CHICAGO BULLS,35,35,1212,162,383,110,260,21,28,35,155,178,64,31,82,85,455
bambamo01,Mo Bamba,CENTER,23,ORLANDO MAGIC,71,69,1824,296,617,107,281,57,73,148,424,85,38,118,77,182,756
banede01,Desmond Bane,SHOOTING GUARD,23,MEMPHIS GRIZZLIES,76,76,2266,508,1101,228,523,140,155,46,288,208,92,29,111,196,1384
bantoda01,Dalano Banton,POINT GUARD,22,TORONTO RAPTORS,64,1,696,83,202,13,51,26,44,38,86,99,28,10,53,68,205
barbeca01,Cat Barber,POINT GUARD,27,ATLANTA HAWKS,3,0,13,0,4,0,0,0,4,1,2,3,0,0,1,1,0
barneha02,Harrison Barnes,POWER FORWARD,29,SACRAMENTO KINGS,77,77,2580,391,834,142,360,341,413,82,350,186,53,14,118,94,1265
barnesc01,Scottie Barnes,POWER FORWARD,20,TORONTO RAPTORS,74,74,2617,459,932,58,193,158,215,195,362,256,80,55,136,192,1134
barrerj01,RJ Barrett,SMALL FORWARD,21,NEW YORK KNICKS,70,70,2417,487,1194,138,404,290,406,66,342,208,43,16,151,142,1402
bartowi01,Will Barton,SHOOTING GUARD,31,DENVER NUGGETS,71,71,2277,392,896,157,430,102,127,44,296,276,55,31,127,114,1043
