slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
adamsst01,Steven Adams,CENTER,26,OKLAHOMA CITY THUNDER,63,63,1680,283,478,1,3,117,201,207,376,146,51,67,94,122,684
adebaba01,Bam Adebayo,POWER FORWARD,22,MIAMI HEAT,72,72,2417,440,790,2,14,264,382,176,559,368,82,93,204,182,1146
aldrila01,LaMarcus Aldridge,CENTER,34,SAN ANTONIO SPURS,53,53,1754,391,793,61,157,158,191,103,289,129,36,87,74,128,1001
alexaky01,Kyle Alexander,CENTER,23,MIAMI HEAT,2,0,13,1,2,0,0,0,0,2,1,0,0,0,1,1,2
alexani01,Nickeil Alexander-Walker,SHOOTING GUARD,21,NEW ORLEANS PELICANS,47,1,591,98,266,46,133,25,37,9,75,89,17,8,54,57,267
allengr01,Grayson Allen,SHOOTING GUARD,24,MEMPHIS GRIZZLIES,38,0,718,117,251,57,141,39,45,8,77,52,10,2,33,53,330
allenja01,Jarrett Allen,CENTER,21,BROOKLYN NETS,70,64,1852,302,465,0,6,171,270,216,455,110,40,92,77,162,775
allenka01,Kadeem Allen,POINT GUARD,27,NEW YORK KNICKS,10,0,117,19,44,5,16,7,11,2,7,21,5,2,8,7,50
aminual01,Al-Farouq Aminu,POWER FORWARD,29,ORLANDO MAGIC,18,2,380,25,86,9,36,19,29,24,63,21,18,8,17,27,78
anderju01,Justin Anderson,SHOOTING GUARD,26,BROOKLYN NETS,10,1,107,10,38,6,29,2,4,1,20,8,0,6,4,13,28
anderky01,Kyle Anderson,SMALL FORWARD,26,MEMPHIS GRIZZLIES,67,28,1330,157,331,24,85,52,78,58,227,162,54,37,66,111,390
anderry01,Ryan Anderson,CENTER,31,HOUSTON ROCKETS,2,0,14,2,7,1,5,0,0,0,7,2,1,0,1,1,5
antetgi01,Giannis Antetokounmpo,POWER FORWARD,25,MILWAUKEE BUCKS,63,63,1917,685,1238,89,293,398,629,140,716,354,61,66,230,195,1857
antetko01,Kostas Antetokounmpo,POWER FORWARD,22,LOS ANGELES LAKERS,5,0,20,3,3,0,0,1,2,2,1,2,0,0,1,2,7
antetth01,Thanasis Antetokounmpo,SMALL FORWARD,27,MILWAUKEE BUCKS,20,2,129,24,48,0,10,7,17,12,12,15,7,2,12,18,55
anthoca01,Carmelo Anthony,POWER FORWARD,35,PORTLAND TRAIL BLAZERS,58,58,1902,336,782,87,226,136,161,71,297,85,49,27,100,171,895
anunoog01,OG Anunoby,SMALL FORWARD,22,TORONTO RAPTORS,69,68,2066,286,566,89,228,72,102,80,284,108,96,45,79,167,733
arcidry01,Ryan Arcidiacono,POINT GUARD,25,CHICAGO BULLS,58,4,930,90,220,54,138,27,38,20,90,96,27,3,37,96,261
arizatr01,Trevor Ariza,SMALL FORWARD,34,SACRAMENTO KINGS,32,0,791,64,165,43,122,21,27,21,125,50,35,7,28,63,192
arizatr01,Trevor Ariza,SMALL FORWARD,34,PORTLAND TRAIL BLAZERS,21,21,702,78,159,34,85,41,47,13,87,41,34,8,28,48,231
augusdj01,D.J. Augustin,POINT GUARD,32,ORLANDO MAGIC,57,13,1420,184,461,70,201,161,181,22,100,262,34,1,86,72,599
aytonde01,Deandre Ayton,CENTER,21,PHOENIX SUNS,38,32,1236,310,568,3,13,67,89,147,289,72,26,58,80,117,690
bacondw01,Dwayne Bacon,SHOOTING GUARD,24,CHARLOTTE HORNETS,39,11,687,85,244,19,67,35,53,15,85,52,23,2,37,52,224
baglema01,Marvin Bagley III,CENTER,20,SACRAMENTO KINGS,13,6,334,78,167,4,22,25,31,29,68,10,6,12,18,43,185
balllo01,Lonzo Ball,POINT GUARD,22,NEW ORLEANS PELICANS,63,54,2025,277,687,148,395,43,76,71,312,438,88,38,193,128,745
bambamo01,Mo Bamba,CENTER,21,ORLANDO MAGIC,62,0,878,132,286,37,107,31,46,100,202,42,23,86,42,116,332
bareajo01,J.J. Barea,POINT GUARD,35,DALLAS MAVERICKS,29,6,450,85,207,32,85,20,22,10,43,112,5,2,38,27,222
barneha02,Harrison Barnes,POWER FORWARD,27,SACRAMENTO KINGS,72,72,2482,365,793,102,268,214,267,77,278,159,43,12,88,93,1046
barrerj01,RJ Barrett,SHOOTING GUARD,19,NEW YORK KNICKS,56,55,1704,292,727,63,197,156,254,50,229,143,55,17,124,122,803
bartowi01,Will Barton,SMALL FORWARD,29,DENVER NUGGETS,58,58,1916,332,738,108,288,102,133,76,289,212,61,29,88,121,874
bateske01,Keita Bates-Diop,POWER FORWARD,24,MINNESOTA TIMBERWOLVES,37,0,646,87,206,31,94,46,65,21,89,30,17,20,14,36,251
bateske01,Keita Bates-Diop,SMALL FORWARD,24,DENVER NUGGETS,7,0,98,13,28,3,9,8,10,4,13,0,2,4,3,7,37
batumni01,Nicolas Batum,SMALL FORWARD,31,CHARLOTTE HORNETS,22,3,505,28,81,14,49,9,10,25,75,66,17,8,22,41,79
baynear01,Aron Baynes,CENTER,33,PHOENIX SUNS,42,28,934,183,381,59,168,56,75,71,166,67,10,23,50,141,481
bazemke01,Kent Bazemore,SMALL FORWARD,30,PORTLAND TRAIL BLAZERS,43,21,1111,113,326,56,171,58,72,13,159,61,45,31,60,121,340
bazemke01,Kent Bazemore,SMALL FORWARD,30,SACRAMENTO KINGS,25,0,577,87,208,28,73,55,75,14,108,32,29,9,31,75,257
bazleda01,Darius Bazley,POWER FORWARD,19,OKLAHOMA CITY THUNDER,61,9,1130,125,317,49,141,43,62,30,216,41,23,41,45,55,342
bealbr01,Bradley Beal,SHOOTING GUARD,26,WASHINGTON WIZARDS,57,57,2053,593,1303,170,481,385,457,52,190,347,71,23,194,126,1741
beaslma01,Malik Beasley,SHOOTING GUARD,23,DENVER NUGGETS,41,0,746,117,301,58,161,33,38,9,68,48,31,6,36,50,325
beaslma01,Malik Beasley,SHOOTING GUARD,23,MINNESOTA TIMBERWOLVES,14,14,463,110,233,49,115,21,28,9,62,27,9,2,21,27,290
