slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
acresma01,Mark Acres,CENTER,27,ORLANDO MAGIC,80,50,1691,138,285,3,4,83,120,154,277,67,36,25,70,248,362
adamsmi01,Michael Adams,POINT GUARD,27,DENVER NUGGETS,79,74,2690,398,989,158,432,267,314,49,176,495,121,3,141,133,1221
aguirma01,Mark Aguirre,SMALL FORWARD,30,DETROIT PISTONS,78,40,2005,438,898,31,93,192,254,117,188,145,34,19,121,201,1099
aingeda01,Danny Ainge,POINT GUARD,30,SACRAMENTO KINGS,75,68,2727,506,1154,108,289,222,267,69,257,453,113,18,185,238,1342
alarima01,Mark Alarie,POWER FORWARD,26,WASHINGTON BULLETS,82,10,1893,371,785,10,49,108,133,151,223,142,60,39,101,219,860
alforst01,Steve Alford,POINT GUARD,25,DALLAS MAVERICKS,41,0,302,63,138,7,22,35,37,2,23,39,15,3,16,22,168
allenra01,Randy Allen,SHOOTING GUARD,25,SACRAMENTO KINGS,63,6,746,106,239,0,7,23,43,49,89,23,16,19,28,102,235
andergr01,Greg Anderson,POWER FORWARD,25,MILWAUKEE BUCKS,60,28,1291,219,432,0,0,91,170,112,261,24,32,54,80,176,529
anderni01,Nick Anderson,SHOOTING GUARD,22,ORLANDO MAGIC,81,9,1785,372,753,1,17,186,264,107,209,124,69,34,138,140,931
anderri01,Richard Anderson,POWER FORWARD,29,CHARLOTTE HORNETS,54,2,604,88,211,37,100,18,23,33,94,55,20,9,26,64,231
anderro01,Ron Anderson,SMALL FORWARD,31,PHILADELPHIA 76ERS,78,3,2089,379,841,3,21,165,197,81,214,143,72,13,78,143,926
anderwi01,Willie Anderson,SHOOTING GUARD,23,SAN ANTONIO SPURS,82,81,2788,532,1082,7,26,217,290,115,257,364,111,58,198,252,1288
anslemi01,Michael Ansley,SMALL FORWARD,22,ORLANDO MAGIC,72,5,1221,231,465,0,0,164,227,187,175,40,24,17,50,152,626
armstbj01,B.J. Armstrong,POINT GUARD,22,CHICAGO BULLS,81,0,1291,190,392,3,6,69,78,19,83,199,46,6,83,105,452
baglejo01,John Bagley,POINT GUARD,29,BOSTON CELTICS,54,17,1095,100,218,1,18,29,39,26,63,296,40,4,90,77,230
baileth01,Thurl Bailey,SMALL FORWARD,28,UTAH JAZZ,82,33,2583,470,977,0,8,222,285,116,294,137,32,100,139,175,1162
bannike01,Ken Bannister,POWER FORWARD,29,LOS ANGELES CLIPPERS,52,1,589,77,161,0,1,52,110,39,73,18,17,7,44,92,206
barklch01,Charles Barkley,SMALL FORWARD,26,PHILADELPHIA 76ERS,79,79,3085,706,1177,20,92,557,744,361,548,307,148,50,243,250,1989
barroda01,Dana Barros,POINT GUARD,22,SEATTLE SUPERSONICS,81,25,1630,299,738,95,238,89,110,35,97,205,53,1,123,97,782
battljo01,John Battle,SHOOTING GUARD,27,ATLANTA HAWKS,60,48,1477,275,544,2,13,102,135,27,72,154,28,3,89,115,654
battlke01,Kenny Battle,SHOOTING GUARD,25,PHOENIX SUNS,59,8,729,93,170,1,4,55,82,44,80,38,35,11,32,94,242
bedfowi01,William Bedford,CENTER,26,DETROIT PISTONS,42,0,246,54,125,1,6,9,22,15,43,4,3,17,21,39,118
