slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
abdulma02,Mahmoud Abdul-Rauf,POINT GUARD,28,SACRAMENTO KINGS,31,0,530,103,273,5,31,16,16,6,31,58,16,1,19,31,227
abdulta01,Tariq Abdul-Wahad,SHOOTING GUARD,23,SACRAMENTO KINGS,59,16,959,144,357,4,19,84,125,44,72,51,35,13,65,81,376
abdursh01,Shareef Abdur-Rahim,SMALL FORWARD,21,VANCOUVER GRIZZLIES,82,82,2950,653,1347,21,51,502,640,227,354,213,89,76,257,201,1829
alexaco01,Cory Alexander,POINT GUARD,24,SAN ANTONIO SPURS,37,3,501,60,145,20,64,25,37,7,40,71,25,5,47,53,165
alexaco01,Cory Alexander,POINT GUARD,24,DENVER NUGGETS,23,19,797,111,255,46,112,55,65,10,89,138,45,6,65,45,323
allenra02,Ray Allen,SHOOTING GUARD,22,MILWAUKEE BUCKS,82,82,3287,563,1315,134,368,342,391,127,278,356,111,12,263,244,1602
anderde01,Derek Anderson,SMALL FORWARD,23,CLEVELAND CAVALIERS,66,13,1839,239,586,17,84,275,315,55,132,227,86,13,128,136,770
andergr01,Greg Anderson,CENTER,33,ATLANTA HAWKS,50,0,398,36,81,0,5,16,41,39,79,15,19,10,17,85,88
anderke01,Kenny Anderson,POINT GUARD,27,PORTLAND TRAIL BLAZERS,45,40,1472,204,527,47,133,112,145,36,98,245,61,1,114,99,567
anderke01,Kenny Anderson,POINT GUARD,27,BOSTON CELTICS,16,16,386,64,147,10,27,41,49,3,36,100,26,0,29,36,179
anderni01,Nick Anderson,SMALL FORWARD,30,ORLANDO MAGIC,58,44,1701,343,754,77,214,127,199,98,199,119,72,23,85,98,890
andersh01,Shandon Anderson,SHOOTING GUARD,24,UTAH JAZZ,82,2,1602,269,500,7,32,136,185,86,141,89,66,18,91,145,681
anstech01,Chris Anstey,CENTER,23,DALLAS MAVERICKS,41,8,680,92,231,3,16,53,74,53,104,35,31,27,41,95,240
anthogr01,Greg Anthony,POINT GUARD,30,SEATTLE SUPERSONICS,80,0,1021,150,349,66,159,53,80,18,93,205,64,3,91,97,419
armstbj01,B.J. Armstrong,POINT GUARD,30,GOLDEN STATE WARRIORS,4,0,59,6,19,0,1,5,7,4,3,6,4,0,7,6,17
armstbj01,B.J. Armstrong,POINT GUARD,30,CHARLOTTE HORNETS,62,0,772,99,194,9,34,37,43,12,57,144,25,0,35,68,244
armstda01,Darrell Armstrong,POINT GUARD,29,ORLANDO MAGIC,48,17,1236,156,380,25,68,105,123,65,94,236,58,5,112,96,442
askewvi01,Vincent Askew,SHOOTING GUARD,31,PORTLAND TRAIL BLAZERS,30,5,443,19,54,0,2,28,39,21,47,38,19,5,35,39,66
askinke01,Keith Askins,SMALL FORWARD,30,MIAMI HEAT,46,12,681,39,122,21,74,12,19,28,73,29,27,12,26,107,111
augmost01,Stacey Augmon,SHOOTING GUARD,29,PORTLAND TRAIL BLAZERS,71,23,1445,154,372,1,7,94,156,104,131,88,57,32,81,144,403
austiis01,Isaac Austin,CENTER,28,MIAMI HEAT,52,25,1371,252,532,0,3,155,228,119,211,87,43,34,117,162,659
austiis01,Isaac Austin,CENTER,28,LOS ANGELES CLIPPERS,26,25,895,154,339,0,5,88,135,80,147,88,18,22,89,69,396
