slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
abdulka01,Kareem Abdul-Jabbar,CENTER,40,LOS ANGELES LAKERS,80,80,2308,480,903,0,1,205,269,118,360,135,48,92,159,216,1165
acresma01,Mark Acres,CENTER,25,BOSTON CELTICS,79,5,1151,108,203,0,0,71,111,105,165,42,29,27,54,198,287
adamsal01,Alvan Adams,CENTER,33,PHOENIX SUNS,82,25,1646,251,506,1,2,108,128,118,247,183,82,41,140,245,611
adamsmi01,Michael Adams,POINT GUARD,25,DENVER NUGGETS,82,75,2778,416,927,139,379,166,199,40,183,503,168,16,144,138,1137
aguirma01,Mark Aguirre,SMALL FORWARD,28,DALLAS MAVERICKS,77,77,2610,746,1571,52,172,388,504,182,252,278,70,57,203,223,1932
aingeda01,Danny Ainge,SHOOTING GUARD,28,BOSTON CELTICS,81,81,3018,482,982,148,357,158,180,59,190,503,115,17,153,203,1270
alarima01,Mark Alarie,POWER FORWARD,24,WASHINGTON BULLETS,63,0,769,144,300,4,18,35,49,70,90,39,10,12,50,107,327
alforst01,Steve Alford,POINT GUARD,23,DALLAS MAVERICKS,28,0,197,21,55,1,8,16,17,3,20,23,17,3,12,23,59
andergr01,Greg Anderson,POWER FORWARD,23,SAN ANTONIO SPURS,82,45,1984,379,756,1,5,198,328,161,352,79,54,122,143,228,957
anderri01,Richard Anderson,POWER FORWARD,27,HOUSTON ROCKETS,12,0,53,11,26,6,15,4,5,9,8,4,1,0,1,4,32
anderri01,Richard Anderson,POWER FORWARD,27,PORTLAND TRAIL BLAZERS,62,3,1297,160,413,42,135,54,72,82,204,108,50,16,60,133,416
anderro01,Ron Anderson,SMALL FORWARD,29,INDIANA PACERS,74,1,1097,217,436,0,2,108,141,89,127,78,41,6,73,98,542
arlaujo01,Joe Arlauckas,SMALL FORWARD,22,SACRAMENTO KINGS,9,0,85,14,43,0,0,6,8,6,7,8,3,4,4,16,34
askewvi01,Vincent Askew,SHOOTING GUARD,21,PHILADELPHIA 76ERS,14,2,234,22,74,0,0,8,11,6,16,33,10,6,12,12,52
baglejo01,John Bagley,POINT GUARD,27,NEW JERSEY NETS,82,74,2774,393,896,47,161,148,180,61,196,479,110,10,201,162,981
baileja01,James Bailey,POWER FORWARD,30,PHOENIX SUNS,65,0,869,109,241,0,4,70,89,73,137,42,17,28,70,180,288
baileth01,Thurl Bailey,SMALL FORWARD,26,UTAH JAZZ,82,10,2804,633,1286,1,3,337,408,134,397,158,49,125,190,186,1604
barklch01,Charles Barkley,POWER FORWARD,24,PHILADELPHIA 76ERS,80,80,3170,753,1283,44,157,714,951,385,566,254,100,103,304,278,2264
battljo01,John Battle,SHOOTING GUARD,25,ATLANTA HAWKS,67,1,1227,278,613,16,41,141,188,26,87,158,31,5,75,84,713
bedfowi01,William Bedford,CENTER,24,DETROIT PISTONS,38,0,298,44,101,0,0,13,23,27,38,4,8,17,19,47,101
benjabe01,Benoit Benjamin,CENTER,23,LOS ANGELES CLIPPERS,66,59,2171,340,693,0,8,180,255,112,418,172,50,225,223,203,860
bensoke01,Kent Benson,CENTER,33,CLEVELAND CAVALIERS,2,0,12,2,2,0,0,1,2,0,1,0,1,1,2,2,5
berrywa01,Walter Berry,SMALL FORWARD,23,SAN ANTONIO SPURS,73,56,1922,540,960,0,0,192,320,176,219,110,55,63,162,207,1272
birdla01,Larry Bird,SMALL FORWARD,31,BOSTON CELTICS,76,75,2965,881,1672,98,237,415,453,108,595,467,125,57,213,157,2275
