slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
reddica01,Cam Reddish,SMALL FORWARD,21,ATLANTA HAWKS,26,21,750,96,263,33,126,67,82,22,82,35,33,9,34,68,292
redicjj01,JJ Redick,SHOOTING GUARD,36,NEW ORLEANS PELICANS,31,0,576,87,214,51,140,45,47,3,49,40,9,2,25,37,270
redicjj01,JJ Redick,SHOOTING GUARD,36,DALLAS MAVERICKS,13,0,147,19,53,15,38,4,5,1,11,11,2,1,11,13,57
reedpa01,Paul Reed,POWER FORWARD,21,PHILADELPHIA 76ERS,26,0,177,42,78,0,6,4,8,30,31,12,10,13,12,29,88
reidna01,Naz Reid,CENTER,21,MINNESOTA TIMBERWOLVES,70,15,1347,304,581,61,174,115,166,82,240,72,34,76,69,179,784
reynoca01,Cameron Reynolds,SMALL FORWARD,25,SAN ANTONIO SPURS,3,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,2
reynoca01,Cameron Reynolds,SMALL FORWARD,25,HOUSTON ROCKETS,2,0,34,5,16,3,12,0,0,2,3,2,0,0,0,2,13
richani01,Nick Richards,POWER FORWARD,23,CHARLOTTE HORNETS,18,0,63,4,9,0,1,7,11,4,7,2,0,0,3,7,15
richajo01,Josh Richardson,SHOOTING GUARD,27,DALLAS MAVERICKS,59,56,1790,264,618,88,267,99,108,51,144,153,61,24,79,130,715
rillegr01,Grant Riller,POINT GUARD,23,CHARLOTTE HORNETS,7,0,27,8,12,2,4,0,0,0,1,3,1,0,1,0,18
riverau01,Austin Rivers,SHOOTING GUARD,28,NEW YORK KNICKS,21,2,442,58,135,28,77,10,14,5,42,42,12,0,22,32,154
riverau01,Austin Rivers,SHOOTING GUARD,28,DENVER NUGGETS,15,5,403,46,110,27,72,12,17,3,32,39,18,2,14,32,131
roberan03,Andre Roberson,SHOOTING GUARD,29,BROOKLYN NETS,5,0,63,2,14,1,8,1,2,7,8,4,3,1,2,4,6
robindu01,Duncan Robinson,SMALL FORWARD,26,MIAMI HEAT,72,72,2262,315,717,250,613,62,75,7,243,127,43,20,81,181,942
robingl02,Glenn Robinson III,SMALL FORWARD,27,SACRAMENTO KINGS,23,2,369,42,99,16,44,21,23,11,34,20,4,3,11,23,121
robinje01,Jerome Robinson,SHOOTING GUARD,23,WASHINGTON WIZARDS,17,6,305,28,95,11,42,16,20,4,34,25,12,6,19,31,83
robinju01,Justin Robinson,POINT GUARD,23,OKLAHOMA CITY THUNDER,9,0,88,7,21,4,14,3,5,1,6,9,3,0,2,10,21
robinmi01,Mitchell Robinson,CENTER,22,NEW YORK KNICKS,31,29,853,115,176,0,0,26,53,113,139,17,35,45,26,86,256
robyis01,Isaiah Roby,POWER FORWARD,22,OKLAHOMA CITY THUNDER,61,34,1425,207,429,32,109,87,117,89,252,107,52,37,113,162,533
rondora01,Rajon Rondo,POINT GUARD,34,ATLANTA HAWKS,27,2,402,44,110,17,45,1,2,4,51,95,19,2,39,25,106
