slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
abdelal01,Alaa Abdelnaby,POWER FORWARD,24,MILWAUKEE BUCKS,12,0,159,26,56,0,1,12,16,12,25,10,6,4,13,24,64
abdelal01,Alaa Abdelnaby,POWER FORWARD,24,BOSTON CELTICS,63,52,1152,219,417,0,0,76,100,114,186,17,19,22,84,165,514
abdulma02,Mahmoud Abdul-Rauf,POINT GUARD,23,DENVER NUGGETS,81,81,2710,633,1407,70,197,217,232,51,174,344,84,8,187,179,1553
acresma01,Mark Acres,CENTER,30,HOUSTON ROCKETS,6,0,23,2,9,1,2,1,2,2,4,0,0,0,2,2,6
acresma01,Mark Acres,CENTER,30,WASHINGTON BULLETS,12,7,246,24,40,0,0,10,14,24,37,5,3,6,11,32,58
adamsmi01,Michael Adams,POINT GUARD,30,WASHINGTON BULLETS,70,70,2499,365,831,68,212,237,277,52,188,526,100,4,175,146,1035
addisra01,Rafael Addison,SMALL FORWARD,28,NEW JERSEY NETS,68,15,1164,182,411,7,34,57,70,45,87,53,23,11,64,125,428
aguirma01,Mark Aguirre,SMALL FORWARD,33,DETROIT PISTONS,51,15,1056,187,422,30,83,99,129,43,109,105,16,7,68,101,503
aingeda01,Danny Ainge,SHOOTING GUARD,33,PHOENIX SUNS,80,0,2163,337,730,150,372,123,145,49,165,260,69,8,113,175,947
alexavi01,Victor Alexander,CENTER,23,GOLDEN STATE WARRIORS,72,59,1753,344,667,10,22,111,162,132,288,93,34,53,120,218,809
anderer01,Eric Anderson,POWER FORWARD,22,NEW YORK KNICKS,16,0,44,5,18,0,0,11,13,6,8,3,3,1,5,14,21
anderke01,Kenny Anderson,POINT GUARD,22,NEW JERSEY NETS,55,55,2010,370,850,7,25,180,232,51,175,449,96,11,153,140,927
anderni01,Nick Anderson,SHOOTING GUARD,25,ORLANDO MAGIC,79,76,2920,594,1324,88,249,298,402,122,355,265,128,56,164,200,1574
anderro01,Ron Anderson,SMALL FORWARD,34,PHILADELPHIA 76ERS,69,0,1263,225,544,39,120,72,89,62,122,93,31,5,63,75,561
anderwi01,Willie Anderson,SHOOTING GUARD,26,SAN ANTONIO SPURS,38,7,560,80,186,1,8,22,28,7,50,79,14,6,44,52,183
anthogr01,Greg Anthony,POINT GUARD,25,NEW YORK KNICKS,70,35,1699,174,419,4,30,107,159,42,128,398,113,12,104,141,459
armstbj01,B.J. Armstrong,POINT GUARD,25,CHICAGO BULLS,82,74,2492,408,818,63,139,130,151,27,122,330,66,6,83,169,1009
askewvi01,Vincent Askew,SHOOTING GUARD,26,SACRAMENTO KINGS,9,0,76,8,17,0,0,11,15,7,4,5,2,1,8,11,27
askewvi01,Vincent Askew,SHOOTING GUARD,26,SEATTLE SUPERSONICS,64,4,1053,144,292,2,6,94,134,55,95,117,38,18,61,124,384
askinke01,Keith Askins,SMALL FORWARD,25,MIAMI HEAT,69,1,935,88,213,22,65,29,40,74,124,31,31,29,37,141,227
augmost01,Stacey Augmon,SHOOTING GUARD,24,ATLANTA HAWKS,73,66,2112,397,792,0,4,227,307,141,146,170,91,18,157,141,1021
austiis01,Isaac Austin,CENTER,23,UTAH JAZZ,46,3,306,50,112,0,1,29,44,38,41,6,8,14,23,60,129
aventan01,Anthony Avent,POWER FORWARD,23,MILWAUKEE BUCKS,82,78,2285,347,802,0,2,112,172,180,332,91,57,73,140,237,806
baglejo01,John Bagley,POINT GUARD,32,BOSTON CELTICS,10,0,97,9,25,0,1,5,6,1,6,20,2,0,17,11,23
baileth01,Thurl Bailey,POWER FORWARD,31,MINNESOTA TIMBERWOLVES,70,3,1276,203,446,0,0,119,142,53,162,61,20,47,60,88,525
bardost01,Steve Bardo,SHOOTING GUARD,24,DALLAS MAVERICKS,23,0,175,19,62,1,6,12,17,10,27,29,8,3,17,28,51
barklch01,Charles Barkley,POWER FORWARD,29,PHOENIX SUNS,76,76,2859,716,1376,67,220,445,582,237,691,385,119,74,233,196,1944
barroda01,Dana Barros,POINT GUARD,25,SEATTLE SUPERSONICS,69,2,1243,214,474,64,169,49,59,18,89,151,63,3,58,78,541
barryjo01,Jon Barry,SHOOTING GUARD,23,MILWAUKEE BUCKS,47,0,552,76,206,21,63,33,49,10,33,68,35,3,42,57,206
battljo01,John Battle,SHOOTING GUARD,30,CLEVELAND CAVALIERS,41,0,497,83,200,1,6,56,72,4,25,54,9,5,22,39,223
battlke01,Kenny Battle,SHOOTING GUARD,28,BOSTON CELTICS,3,1,29,6,13,0,1,2,2,7,4,2,1,0,2,2,14
bedfowi01,William Bedford,CENTER,29,SAN ANTONIO SPURS,16,0,66,9,27,1,1,6,12,1,9,0,0,1,1,15,25
benjabe01,Benoit Benjamin,CENTER,28,SEATTLE SUPERSONICS,31,6,448,81,163,0,0,47,67,27,86,12,17,35,42,73,209
benjabe01,Benoit Benjamin,CENTER,28,LOS ANGELES LAKERS,28,0,306,52,108,0,0,22,37,24,72,10,14,13,36,61,126
benneto01,Tony Bennett,POINT GUARD,23,CHARLOTTE HORNETS,75,2,857,110,260,26,80,30,41,12,51,136,30,0,50,110,276
benoida01,David Benoit,SMALL FORWARD,24,UTAH JAZZ,82,27,1712,258,592,34,98,114,152,116,276,43,45,43,90,201,664
blackro01,Rolando Blackman,SHOOTING GUARD,33,NEW YORK KNICKS,60,33,1434,239,539,31,73,71,90,23,79,157,22,10,65,129,580
blackal01,Alex Blackwell,SMALL FORWARD,22,LOS ANGELES LAKERS,27,0,109,14,42,0,3,6,8,10,13,7,4,2,5,14,34
blankla01,Lance Blanks,SHOOTING GUARD,26,MINNESOTA TIMBERWOLVES,61,2,642,65,150,11,43,20,32,18,50,72,16,5,31,61,161
blantri01,Ricky Blanton,SMALL FORWARD,26,CHICAGO BULLS,2,0,13,3,7,0,0,0,0,2,1,1,2,0,1,1,6
blaylmo01,Mookie Blaylock,POINT GUARD,25,ATLANTA HAWKS,80,78,2820,414,964,118,315,123,169,89,191,671,203,23,187,156,1069
boguemu01,Muggsy Bogues,POINT GUARD,28,CHARLOTTE HORNETS,81,80,2833,331,730,6,26,140,168,51,247,711,161,5,154,179,808
bolma01,Manute Bol,CENTER,30,PHILADELPHIA 76ERS,58,23,855,52,127,10,32,12,19,44,149,18,14,119,50,87,126
bondwa01,Walter Bond,SHOOTING GUARD,23,DALLAS MAVERICKS,74,38,1578,227,565,7,42,129,167,52,144,122,75,18,112,223,590
bonnean01,Anthony Bonner,POWER FORWARD,24,SACRAMENTO KINGS,70,35,1764,229,497,0,7,143,241,188,267,96,86,17,105,183,601
bowiean01,Anthony Bowie,SHOOTING GUARD,29,ORLANDO MAGIC,77,45,1761,268,569,15,48,67,84,36,158,175,54,14,84,131,618
bowiesa01,Sam Bowie,CENTER,31,NEW JERSEY NETS,79,65,2092,287,638,2,6,141,181,158,398,127,32,128,120,226,717
brandte01,Terrell Brandon,POINT GUARD,22,CLEVELAND CAVALIERS,82,8,1622,297,621,13,42,118,143,37,142,302,79,27,107,122,725
breuera01,Randy Breuer,CENTER,32,ATLANTA HAWKS,12,0,107,15,31,0,0,2,5,10,18,6,2,3,5,12,32
brickfr01,Frank Brickowski,CENTER,33,MILWAUKEE BUCKS,66,64,2075,456,836,8,26,195,268,120,285,196,80,44,202,235,1115
brookke01,Kevin Brooks,SMALL FORWARD,23,DENVER NUGGETS,55,2,571,93,233,6,26,35,40,22,59,34,10,2,39,46,227
brooksc01,Scott Brooks,POINT GUARD,27,HOUSTON ROCKETS,82,0,1516,183,385,41,99,112,135,22,77,243,79,3,72,136,519
brownch01,Chucky Brown,SMALL FORWARD,24,NEW JERSEY NETS,77,20,1186,160,331,0,5,71,98,88,144,51,20,24,56,112,391
brownde01,Dee Brown,POINT GUARD,24,BOSTON CELTICS,80,48,2254,328,701,26,82,192,242,45,201,461,138,32,136,203,874
brownmi01,Mike Brown,CENTER,29,UTAH JAZZ,82,21,1551,176,409,0,1,113,164,147,244,64,32,23,95,190,465
brownra02,Randy Brown,POINT GUARD,24,SACRAMENTO KINGS,75,34,1726,225,486,2,6,115,157,75,137,196,108,34,120,206,567
bryanma01,Mark Bryant,CENTER,27,PORTLAND TRAIL BLAZERS,80,24,1396,186,370,0,1,104,148,132,192,41,37,23,65,226,476
buechju01,Jud Buechler,SMALL FORWARD,24,GOLDEN STATE WARRIORS,70,9,1287,176,403,20,59,65,87,81,114,94,47,19,55,98,437
bullama01,Matt Bullard,POWER FORWARD,25,HOUSTON ROCKETS,79,4,1356,213,494,91,243,58,74,66,156,110,30,11,57,129,575
burtowi01,Willie Burton,SMALL FORWARD,24,MIAMI HEAT,26,8,451,54,141,5,15,91,127,22,48,16,13,16,50,58,204
burttst01,Steve Burtt,SHOOTING GUARD,30,WASHINGTON BULLETS,4,0,35,10,26,1,3,8,10,2,1,6,2,0,4,5,29
cagemi01,Michael Cage,CENTER,31,SEATTLE SUPERSONICS,82,66,2156,219,416,0,1,61,130,268,391,69,76,46,59,183,499
cambrde01,Dexter Cambridge,SMALL FORWARD,23,DALLAS MAVERICKS,53,13,885,151,312,0,4,68,99,88,79,58,24,6,63,128,370
campbel01,Elden Campbell,POWER FORWARD,24,LOS ANGELES LAKERS,79,13,1551,238,520,0,3,130,204,127,205,48,59,100,69,165,606
campbto01,Tony Campbell,SMALL FORWARD,30,NEW YORK KNICKS,58,13,1062,194,396,2,5,59,87,59,96,62,34,5,51,150,449
carran01,Antoine Carr,POWER FORWARD,31,SAN ANTONIO SPURS,71,46,1947,379,705,0,5,174,224,107,281,97,35,87,96,264,932
cartwbi01,Bill Cartwright,CENTER,35,CHICAGO BULLS,63,63,1253,141,343,0,0,72,98,83,150,83,20,10,62,154,354
catlete01,Terry Catledge,POWER FORWARD,29,ORLANDO MAGIC,21,1,262,36,73,0,0,27,34,18,28,5,4,1,25,31,99
causwdu01,Duane Causwell,CENTER,24,SACRAMENTO KINGS,55,45,1211,175,321,0,1,103,165,112,191,35,32,87,58,192,453
cebalce01,Cedric Ceballos,SMALL FORWARD,23,PHOENIX SUNS,74,46,1607,381,662,0,2,187,258,172,236,77,54,28,106,103,949
chambto01,Tom Chambers,POWER FORWARD,33,PHOENIX SUNS,73,0,1723,320,716,11,28,241,288,96,249,101,43,23,92,212,892
chapmre01,Rex Chapman,SHOOTING GUARD,25,WASHINGTON BULLETS,60,23,1300,287,602,43,116,132,163,19,69,116,38,10,79,119,749
cheekma01,Maurice Cheeks,POINT GUARD,36,NEW JERSEY NETS,35,0,510,51,93,0,2,24,27,5,37,107,33,2,33,35,126
chilcpe01,Pete Chilcutt,POWER FORWARD,24,SACRAMENTO KINGS,59,9,834,165,340,0,0,32,46,80,114,64,22,21,54,102,362
chrisdo01,Doug Christie,SHOOTING GUARD,22,LOS ANGELES LAKERS,23,0,332,45,106,2,12,50,66,24,27,53,22,5,50,53,142
colemde01,Derrick Coleman,POWER FORWARD,25,NEW JERSEY NETS,76,73,2759,564,1226,23,99,421,521,247,605,276,92,126,243,210,1572
colesbi01,Bimbo Coles,POINT GUARD,24,MIAMI HEAT,81,37,2232,318,686,42,137,177,220,58,108,373,80,11,108,199,855
conloma01,Marty Conlon,CENTER,25,SACRAMENTO KINGS,46,0,467,81,171,0,4,57,81,48,75,37,13,5,28,43,219
connele01,Lester Conner,POINT GUARD,33,LOS ANGELES CLIPPERS,31,0,422,28,62,0,0,18,19,16,33,65,34,4,21,39,74
coopedu01,Duane Cooper,POINT GUARD,23,LOS ANGELES LAKERS,65,0,645,62,158,7,30,25,35,13,37,150,18,2,69,66,156
corbity01,Tyrone Corbin,SMALL FORWARD,30,UTAH JAZZ,82,58,2555,385,766,0,5,180,218,194,325,173,108,32,108,252,950
corchch01,Chris Corchiani,POINT GUARD,24,ORLANDO MAGIC,9,0,102,13,23,0,3,16,21,1,6,16,6,0,8,17,42
corchch01,Chris Corchiani,POINT GUARD,24,WASHINGTON BULLETS,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,2
courtjo01,Joe Courtney,POWER FORWARD,23,CHICAGO BULLS,5,0,34,4,9,0,0,3,4,2,0,1,2,1,3,9,11
courtjo01,Joe Courtney,POWER FORWARD,23,GOLDEN STATE WARRIORS,7,0,70,9,23,0,0,4,5,2,15,2,3,4,3,8,22
crottjo01,John Crotty,POINT GUARD,23,UTAH JAZZ,40,0,243,37,72,2,14,26,38,4,13,55,11,0,30,29,102
cummite01,Terry Cummings,POWER FORWARD,31,SAN ANTONIO SPURS,8,0,76,11,29,0,0,5,10,6,13,4,1,1,2,17,27
curcira01,Radisav Ćurčić,CENTER,27,DALLAS MAVERICKS,20,0,166,16,41,0,0,26,36,17,32,12,7,2,8,30,58
curryde01,Dell Curry,SHOOTING GUARD,28,CHARLOTTE HORNETS,80,0,2094,498,1102,95,237,136,157,51,235,180,87,23,129,150,1227
daniell01,Lloyd Daniels,SHOOTING GUARD,25,SAN ANTONIO SPURS,77,10,1573,285,644,59,177,72,99,86,130,148,38,30,102,144,701
daughbr01,Brad Daugherty,CENTER,27,CLEVELAND CAVALIERS,71,71,2691,520,911,1,2,391,492,164,562,312,53,56,150,174,1432
davisda01,Dale Davis,POWER FORWARD,23,INDIANA PACERS,82,82,2264,304,535,0,0,119,225,291,432,69,63,148,79,274,727
davishu01,Hubert Davis,SHOOTING GUARD,22,NEW YORK KNICKS,50,2,815,110,251,6,19,43,54,13,43,83,22,4,45,71,269
daviste01,Terry Davis,POWER FORWARD,25,DALLAS MAVERICKS,75,74,2462,393,863,2,8,167,281,259,442,68,36,28,160,199,955
dawkijo01,Johnny Dawkins,POINT GUARD,29,PHILADELPHIA 76ERS,74,10,1598,258,590,26,84,113,142,33,103,339,80,4,121,91,655
dayto01,Todd Day,SHOOTING GUARD,23,MILWAUKEE BUCKS,71,37,1931,358,828,54,184,213,297,144,147,117,75,48,118,222,983
delnevi01,Vinny Del Negro,POINT GUARD,26,SAN ANTONIO SPURS,73,31,1526,218,430,6,24,101,117,19,144,291,44,1,92,146,543
delebi01,Bison Dele,POWER FORWARD,23,ORLANDO MAGIC,21,0,240,40,78,0,1,16,20,24,32,5,14,17,25,48,96
divacvl01,Vlade Divac,CENTER,24,LOS ANGELES LAKERS,82,69,2525,397,819,21,75,235,341,220,509,232,128,140,214,311,1050
donalja01,James Donaldson,CENTER,35,UTAH JAZZ,6,1,94,8,14,0,0,5,9,6,23,1,1,7,4,13,21
douglsh01,Sherman Douglas,POINT GUARD,26,BOSTON CELTICS,79,36,1932,264,530,6,29,84,150,65,97,508,49,10,161,166,618
dreilgr01,Greg Dreiling,CENTER,30,INDIANA PACERS,43,0,239,19,58,0,4,8,15,26,40,8,5,8,9,60,46
drexlcl01,Clyde Drexler,SHOOTING GUARD,30,PORTLAND TRAIL BLAZERS,49,49,1671,350,816,31,133,245,292,126,183,278,95,37,115,159,976
duckwke01,Kevin Duckworth,CENTER,28,PORTLAND TRAIL BLAZERS,74,55,1762,301,688,0,2,127,174,118,269,70,45,39,87,222,729
dudlech02,Chris Dudley,CENTER,27,NEW JERSEY NETS,71,16,1398,94,266,0,0,57,110,215,298,16,17,103,54,195,245
dumarjo01,Joe Dumars,SHOOTING GUARD,29,DETROIT PISTONS,77,77,3094,677,1454,112,299,343,397,63,85,308,78,7,138,141,1809
dumasri02,Richard Dumas,SMALL FORWARD,23,PHOENIX SUNS,48,32,1320,302,576,1,3,152,215,100,123,60,85,39,92,127,757
durhapa01,Pat Durham,SMALL FORWARD,25,GOLDEN STATE WARRIORS,5,1,78,6,25,0,0,9,12,5,9,4,1,1,7,6,21
eatonma01,Mark Eaton,CENTER,36,UTAH JAZZ,64,57,1104,71,130,0,0,35,50,73,191,17,18,79,43,143,177
edwarbl01,Blue Edwards,SMALL FORWARD,27,MILWAUKEE BUCKS,82,81,2729,554,1083,37,106,237,300,123,259,214,129,45,175,242,1382
edwarja01,James Edwards,CENTER,37,LOS ANGELES LAKERS,52,0,617,122,270,0,0,84,118,30,70,41,10,7,51,122,328
edwarke01,Kevin Edwards,SHOOTING GUARD,27,MIAMI HEAT,40,30,1134,216,462,5,17,119,141,48,73,120,68,12,75,69,556
ehlocr01,Craig Ehlo,SHOOTING GUARD,31,CLEVELAND CAVALIERS,82,73,2559,385,785,93,244,86,120,113,290,254,104,22,124,170,949
eliema01,Mario Elie,SMALL FORWARD,29,PORTLAND TRAIL BLAZERS,82,7,1757,240,524,45,129,183,214,59,157,177,74,20,89,145,708
elliose01,Sean Elliott,SMALL FORWARD,24,SAN ANTONIO SPURS,70,70,2604,451,918,37,104,268,337,85,237,265,68,28,152,132,1207
ellisda01,Dale Ellis,SHOOTING GUARD,32,SAN ANTONIO SPURS,82,76,2731,545,1092,119,297,157,197,81,231,107,78,18,111,179,1366
ellisla01,LaPhonso Ellis,POWER FORWARD,22,DENVER NUGGETS,82,82,2749,483,958,2,13,237,317,274,470,151,72,111,153,293,1205
ellispe01,Pervis Ellison,CENTER,25,WASHINGTON BULLETS,49,48,1701,341,655,0,4,170,242,138,295,117,45,108,110,154,852
englijo01,Jo Jo English,SHOOTING GUARD,22,CHICAGO BULLS,6,0,31,3,10,0,3,0,2,2,4,1,3,2,4,5,6
ewingpa01,Patrick Ewing,CENTER,30,NEW YORK KNICKS,81,81,3003,779,1550,1,7,400,556,191,789,151,74,161,265,286,1959
ferredu01,Duane Ferrell,SMALL FORWARD,27,ATLANTA HAWKS,82,15,1736,327,696,9,36,176,226,97,94,132,59,17,103,160,839
ferryda01,Danny Ferry,POWER FORWARD,26,CLEVELAND CAVALIERS,76,1,1461,220,459,34,82,99,113,81,198,137,29,49,83,171,573
flemive01,Vern Fleming,POINT GUARD,30,INDIANA PACERS,75,8,1503,280,554,7,36,143,197,63,106,224,63,9,121,126,710
floydsl01,Sleepy Floyd,POINT GUARD,32,HOUSTON ROCKETS,52,10,867,124,305,16,56,81,102,14,72,132,32,6,68,59,345
fostegr01,Greg Foster,POWER FORWARD,24,WASHINGTON BULLETS,10,0,93,11,25,0,0,2,3,8,19,11,0,5,9,17,24
fostegr01,Greg Foster,POWER FORWARD,24,ATLANTA HAWKS,33,0,205,44,95,0,4,13,18,24,32,10,3,9,16,41,101
foxri01,Rick Fox,SMALL FORWARD,23,BOSTON CELTICS,71,14,1082,184,380,4,23,81,101,55,104,113,61,21,77,133,453
gamblke01,Kevin Gamble,SMALL FORWARD,27,BOSTON CELTICS,82,58,2541,459,906,52,139,123,149,46,200,226,86,37,81,185,1093
garlawi01,Winston Garland,POINT GUARD,28,HOUSTON ROCKETS,66,4,1004,152,343,6,13,81,89,32,76,138,39,4,67,116,391
gatlich01,Chris Gatling,POWER FORWARD,25,GOLDEN STATE WARRIORS,70,11,1248,249,462,0,6,150,207,129,191,40,44,53,102,197,648
gattike01,Kenny Gattison,POWER FORWARD,28,CHARLOTTE HORNETS,75,5,1475,203,384,0,3,102,169,108,245,68,48,55,64,237,508
geigema01,Matt Geiger,CENTER,23,MIAMI HEAT,48,2,554,76,145,0,4,62,92,46,74,14,15,18,36,123,214
georgta01,Tate George,POINT GUARD,24,NEW JERSEY NETS,48,1,380,51,135,0,5,20,24,9,18,59,10,3,31,25,122
gillke01,Kendall Gill,SHOOTING GUARD,24,CHARLOTTE HORNETS,69,67,2430,463,1032,17,62,224,290,120,220,268,98,36,174,191,1167
gilliar01,Armen Gilliam,POWER FORWARD,28,PHILADELPHIA 76ERS,80,26,1742,359,774,0,1,274,325,136,336,116,37,54,157,123,992
glassge01,Gerald Glass,SMALL FORWARD,25,MINNESOTA TIMBERWOLVES,4,0,71,8,27,0,2,4,6,1,2,9,3,0,5,6,20
