slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
abdulta01,Tariq Abdul-Wahad,SHOOTING GUARD,25,ORLANDO MAGIC,46,46,1205,223,515,2,21,115,151,77,162,72,53,16,87,116,563
abdulta01,Tariq Abdul-Wahad,SHOOTING GUARD,25,DENVER NUGGETS,15,10,373,51,131,1,2,31,42,24,28,26,6,12,19,31,134
abdursh01,Shareef Abdur-Rahim,SMALL FORWARD,23,VANCOUVER GRIZZLIES,82,82,3223,594,1277,29,96,446,551,218,607,271,89,87,249,244,1663
alexaco01,Cory Alexander,POINT GUARD,26,DENVER NUGGETS,29,2,329,28,98,9,35,17,22,8,34,58,24,2,28,39,82
allenra02,Ray Allen,SHOOTING GUARD,24,MILWAUKEE BUCKS,82,82,3070,642,1411,172,407,353,398,83,276,308,110,19,183,187,1809
alstora01,Rafer Alston,POINT GUARD,23,MILWAUKEE BUCKS,27,0,361,27,95,3,14,3,4,5,18,70,12,0,29,29,60
amaecjo01,John Amaechi,CENTER,29,ORLANDO MAGIC,80,53,1684,306,700,1,6,223,291,62,204,95,35,37,139,161,836
anderde01,Derek Anderson,SHOOTING GUARD,25,LOS ANGELES CLIPPERS,64,58,2201,377,860,55,178,271,309,80,178,220,90,11,167,149,1080
anderke01,Kenny Anderson,POINT GUARD,29,BOSTON CELTICS,82,82,2593,434,986,85,220,196,253,55,170,420,139,8,130,230,1149
anderni01,Nick Anderson,SHOOTING GUARD,32,SACRAMENTO KINGS,72,72,2094,306,782,132,397,37,76,83,256,123,94,16,95,118,781
andersh01,Shandon Anderson,SMALL FORWARD,26,HOUSTON ROCKETS,82,82,2700,368,778,79,225,194,253,91,293,239,96,32,194,182,1009
anstech01,Chris Anstey,CENTER,25,CHICAGO BULLS,73,11,1007,161,364,1,6,116,147,90,190,65,29,25,80,180,439
anthogr01,Greg Anthony,POINT GUARD,32,PORTLAND TRAIL BLAZERS,82,3,1548,169,416,88,233,88,114,17,116,208,59,9,85,143,514
armstbj01,B.J. Armstrong,POINT GUARD,32,CHICAGO BULLS,27,18,583,83,186,13,29,22,25,2,45,78,7,1,40,34,201
armstda01,Darrell Armstrong,POINT GUARD,31,ORLANDO MAGIC,82,82,2590,484,1119,137,403,225,247,65,205,501,169,9,248,137,1330
atkinch01,Chucky Atkins,POINT GUARD,25,ORLANDO MAGIC,82,0,1626,314,741,57,163,97,133,20,106,306,52,3,142,137,782
augmost01,Stacey Augmon,SHOOTING GUARD,31,PORTLAND TRAIL BLAZERS,59,0,692,83,175,0,2,37,55,42,74,53,27,11,38,69,203
austiis01,Isaac Austin,CENTER,30,WASHINGTON WIZARDS,59,23,1173,151,352,1,4,94,137,64,218,74,17,38,107,128,397
aventan01,Anthony Avent,POWER FORWARD,30,LOS ANGELES CLIPPERS,49,3,377,29,96,0,0,23,32,23,51,11,16,15,24,62,81
averywi01,William Avery,POINT GUARD,20,MINNESOTA TIMBERWOLVES,59,1,484,56,181,18,63,24,36,8,32,88,14,2,42,60,154
baileto01,Toby Bailey,SHOOTING GUARD,24,PHOENIX SUNS,46,2,449,58,140,2,10,45,65,26,46,30,13,4,24,55,163
bakervi01,Vin Baker,CENTER,28,SEATTLE SUPERSONICS,79,75,2849,514,1129,2,8,281,412,227,378,148,47,66,213,288,1311
barklch01,Charles Barkley,POWER FORWARD,36,HOUSTON ROCKETS,20,18,620,106,222,6,26,71,110,71,138,63,14,4,44,48,289
barroda01,Dana Barros,POINT GUARD,32,BOSTON CELTICS,72,0,1139,196,435,59,144,66,76,13,86,133,31,4,66,80,517
barrybr01,Brent Barry,SHOOTING GUARD,28,SEATTLE SUPERSONICS,80,74,2726,327,707,164,399,127,157,50,322,291,103,31,142,228,945
barrydr01,Drew Barry,POINT GUARD,26,GOLDEN STATE WARRIORS,8,0,85,9,18,3,9,1,2,0,8,17,2,0,6,14,22
barrydr01,Drew Barry,POINT GUARD,26,ATLANTA HAWKS,8,0,74,6,15,4,9,3,3,0,4,16,0,0,7,9,19
barryjo01,Jon Barry,SHOOTING GUARD,30,SACRAMENTO KINGS,62,1,1281,161,346,66,154,107,116,38,121,150,75,7,85,104,495
battito01,Tony Battie,CENTER,23,BOSTON CELTICS,82,4,1505,219,459,1,8,102,151,152,258,63,47,70,67,249,541
bendejo01,Jonathan Bender,SMALL FORWARD,19,INDIANA PACERS,24,1,130,23,70,2,12,16,24,4,17,3,1,5,7,18,64
benjabe01,Benoit Benjamin,CENTER,35,CLEVELAND CAVALIERS,3,0,8,1,3,0,0,0,0,0,1,0,0,1,0,1,2
benjaco01,Corey Benjamin,SHOOTING GUARD,21,CHICAGO BULLS,48,10,862,145,350,31,89,49,82,21,67,54,31,22,74,122,370
bennema01,Mario Bennett,POWER FORWARD,26,LOS ANGELES CLIPPERS,1,0,3,0,3,0,0,0,0,1,1,0,0,0,0,1,0
besttr01,Travis Best,POINT GUARD,27,INDIANA PACERS,82,0,1691,271,561,35,93,156,190,16,126,272,76,5,107,204,733
bibbymi01,Mike Bibby,POINT GUARD,21,VANCOUVER GRIZZLIES,82,82,3155,459,1031,77,212,195,250,73,233,665,132,15,247,171,1190
billuch01,Chauncey Billups,SHOOTING GUARD,23,DENVER NUGGETS,13,5,305,34,101,7,41,37,44,8,26,39,10,2,24,27,112
blaylmo01,Mookie Blaylock,POINT GUARD,32,GOLDEN STATE WARRIORS,73,72,2459,327,837,101,301,67,95,55,215,489,146,22,143,122,822
blounco01,Corie Blount,POWER FORWARD,31,PHOENIX SUNS,38,1,446,44,89,0,2,19,33,52,61,10,15,7,28,78,107
boguemu01,Muggsy Bogues,POINT GUARD,35,TORONTO RAPTORS,80,5,1731,157,358,17,51,79,87,25,110,299,65,4,59,119,410
bohanet01,Etdrick Bohannon,POWER FORWARD,26,NEW YORK KNICKS,2,0,5,0,0,0,0,3,4,1,0,0,0,0,2,1,3
bohanet01,Etdrick Bohannon,POWER FORWARD,26,LOS ANGELES CLIPPERS,11,0,113,7,13,0,0,12,20,12,18,5,2,6,8,24,26
boothca01,Calvin Booth,CENTER,23,WASHINGTON WIZARDS,11,0,143,16,46,0,0,10,14,15,17,7,3,14,6,23,42
borrela01,Lazaro Borrell,SMALL FORWARD,27,SEATTLE SUPERSONICS,17,6,167,28,63,0,3,6,11,14,26,10,6,3,6,9,62
bowdlca01,Cal Bowdler,SMALL FORWARD,22,ATLANTA HAWKS,46,0,423,49,115,0,1,24,38,22,63,14,14,9,21,46,122
bowenbr01,Bruce Bowen,SMALL FORWARD,28,PHILADELPHIA 76ERS,42,0,311,26,73,1,2,6,12,14,22,16,9,5,5,37,59
bowenbr01,Bruce Bowen,SMALL FORWARD,28,MIAMI HEAT,27,2,567,46,121,26,56,19,31,13,47,18,14,10,14,81,137
bowenry01,Ryan Bowen,SMALL FORWARD,24,DENVER NUGGETS,52,0,589,46,117,1,9,38,53,75,39,20,39,13,14,95,131
bowmair01,Ira Bowman,SHOOTING GUARD,26,PHILADELPHIA 76ERS,11,0,20,2,2,0,0,1,2,0,2,1,1,0,1,0,5
boykiea01,Earl Boykins,POINT GUARD,23,ORLANDO MAGIC,1,0,8,3,4,0,0,0,0,1,0,3,0,0,0,0,6
boykiea01,Earl Boykins,POINT GUARD,23,CLEVELAND CAVALIERS,25,0,253,53,112,8,20,18,23,11,14,45,12,1,17,23,132
bradlsh01,Shawn Bradley,CENTER,27,DALLAS MAVERICKS,77,54,1901,266,555,1,5,114,149,160,337,60,71,190,74,260,647
bramlaj01,A.J. Bramlett,CENTER,23,CLEVELAND CAVALIERS,8,0,61,4,21,0,0,0,0,12,10,0,1,0,3,13,8
brandel01,Elton Brand,POWER FORWARD,20,CHICAGO BULLS,81,80,2999,630,1306,0,2,367,536,348,462,155,66,132,228,259,1627
brandte01,Terrell Brandon,POINT GUARD,29,MINNESOTA TIMBERWOLVES,71,71,2587,486,1042,53,132,187,208,44,194,629,134,30,184,158,1212
brownch01,Chucky Brown,POWER FORWARD,31,SAN ANTONIO SPURS,30,27,602,82,176,1,3,25,31,11,66,41,8,10,28,53,190
brownch01,Chucky Brown,POWER FORWARD,31,CHARLOTTE HORNETS,33,2,494,66,152,1,7,11,21,24,66,25,12,8,17,61,144
