slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
abdulta01,Tariq Abdul-Wahad,SHOOTING GUARD,24,SACRAMENTO KINGS,49,49,1205,177,407,6,21,94,136,72,114,50,50,16,70,121,454
abdursh01,Shareef Abdur-Rahim,SMALL FORWARD,22,VANCOUVER GRIZZLIES,50,50,2021,386,893,11,36,369,439,114,260,172,69,55,186,137,1152
alexaco01,Cory Alexander,POINT GUARD,25,DENVER NUGGETS,36,4,778,97,260,30,105,37,44,7,67,119,35,5,69,77,261
allenra02,Ray Allen,SHOOTING GUARD,23,MILWAUKEE BUCKS,50,50,1719,303,673,74,208,176,195,57,155,178,53,7,122,117,856
alumape01,Peter Aluma,CENTER,25,SACRAMENTO KINGS,2,0,5,1,2,0,0,0,0,1,1,0,1,1,2,4,2
anderde01,Derek Anderson,SHOOTING GUARD,24,CLEVELAND CAVALIERS,38,13,978,125,314,21,69,138,165,20,89,145,48,4,82,73,409
anderke01,Kenny Anderson,POINT GUARD,28,BOSTON CELTICS,34,33,1010,161,357,6,24,84,101,24,79,193,33,2,71,78,412
anderni01,Nick Anderson,SMALL FORWARD,31,ORLANDO MAGIC,47,39,1581,253,640,96,277,99,162,51,226,91,64,15,83,72,701
andersh01,Shandon Anderson,SHOOTING GUARD,25,UTAH JAZZ,50,2,1072,162,363,14,41,89,125,49,83,56,39,10,66,89,427
anstech01,Chris Anstey,CENTER,24,DALLAS MAVERICKS,41,4,470,50,139,0,7,34,48,35,62,27,18,13,26,98,134
anthogr01,Greg Anthony,POINT GUARD,31,PORTLAND TRAIL BLAZERS,50,0,806,104,251,49,125,62,89,14,49,100,66,3,55,75,319
armstbj01,B.J. Armstrong,POINT GUARD,31,CHARLOTTE HORNETS,10,1,178,21,43,6,8,9,10,1,15,27,3,0,10,16,57
armstbj01,B.J. Armstrong,POINT GUARD,31,ORLANDO MAGIC,22,0,180,19,45,1,7,9,11,1,22,34,9,0,15,15,48
armstda01,Darrell Armstrong,POINT GUARD,30,ORLANDO MAGIC,50,15,1502,230,522,69,189,161,178,53,127,335,108,4,158,90,690
askinke01,Keith Askins,SMALL FORWARD,31,MIAMI HEAT,33,13,415,20,62,8,29,5,8,10,34,10,17,3,13,58,53
augmost01,Stacey Augmon,SMALL FORWARD,30,PORTLAND TRAIL BLAZERS,48,21,874,78,174,0,2,52,76,47,78,58,57,18,30,81,208
austiis01,Isaac Austin,CENTER,29,ORLANDO MAGIC,49,49,1259,185,453,2,7,105,157,83,154,89,47,35,114,125,477
aventan01,Anthony Avent,POWER FORWARD,29,UTAH JAZZ,5,0,44,4,13,0,0,1,2,8,4,1,2,0,7,6,9
baileth01,Thurl Bailey,POWER FORWARD,37,UTAH JAZZ,43,0,543,78,175,0,2,25,34,36,58,26,9,28,27,78,181
baileto01,Toby Bailey,SHOOTING GUARD,23,PHOENIX SUNS,27,10,249,34,86,1,5,9,13,24,30,13,9,2,11,24,78
bakerla01,Mark Baker,POINT GUARD,29,TORONTO RAPTORS,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0
bakervi01,Vin Baker,POWER FORWARD,27,SEATTLE SUPERSONICS,34,31,1162,198,437,0,3,72,160,86,125,56,32,34,76,121,468
barklch01,Charles Barkley,POWER FORWARD,35,HOUSTON ROCKETS,42,40,1526,240,502,4,25,192,267,167,349,192,43,13,100,89,676
barroda01,Dana Barros,POINT GUARD,31,BOSTON CELTICS,50,16,1156,168,371,64,160,64,73,16,89,208,52,5,88,64,464
barrybr01,Brent Barry,SHOOTING GUARD,27,CHICAGO BULLS,37,30,1181,141,356,52,172,78,101,39,105,116,42,11,72,98,412
barrydr01,Drew Barry,SHOOTING GUARD,25,SEATTLE SUPERSONICS,17,0,183,10,32,8,24,9,13,3,17,29,7,1,12,24,37
barryjo01,Jon Barry,SHOOTING GUARD,29,SACRAMENTO KINGS,43,0,736,59,138,24,79,71,84,25,71,112,53,5,47,61,213
battito01,Tony Battie,CENTER,22,BOSTON CELTICS,50,15,1121,147,283,0,3,41,61,96,204,53,29,71,45,159,335
beckco01,Corey Beck,POINT GUARD,27,DETROIT PISTONS,8,0,30,4,8,0,0,2,2,3,2,0,2,0,2,5,10
beckco01,Corey Beck,POINT GUARD,27,CHARLOTTE HORNETS,16,0,150,14,31,1,1,6,13,3,20,20,7,2,11,21,35
benjabe01,Benoit Benjamin,CENTER,34,PHILADELPHIA 76ERS,6,0,33,2,7,0,0,0,0,3,5,1,0,0,3,6,4
benjaco01,Corey Benjamin,POINT GUARD,20,CHICAGO BULLS,31,1,320,44,117,3,14,27,40,15,25,10,11,8,21,46,118
bennema01,Mario Bennett,POWER FORWARD,25,CHICAGO BULLS,3,0,19,2,6,0,0,3,4,2,3,0,1,0,1,4,7
besttr01,Travis Best,POINT GUARD,26,INDIANA PACERS,49,0,1043,127,305,22,59,70,83,19,61,169,42,4,62,111,346
bibbymi01,Mike Bibby,POINT GUARD,20,VANCOUVER GRIZZLIES,50,50,1758,260,605,15,74,127,169,30,106,325,78,5,146,122,662
billuch01,Chauncey Billups,SHOOTING GUARD,22,DENVER NUGGETS,45,41,1488,191,495,85,235,157,172,24,72,173,58,14,98,115,624
blaylmo01,Mookie Blaylock,POINT GUARD,31,ATLANTA HAWKS,48,48,1763,247,651,77,251,69,91,45,179,278,99,9,115,61,640
blounco01,Corie Blount,POWER FORWARD,30,LOS ANGELES LAKERS,14,3,162,13,33,0,1,6,12,24,22,2,1,4,6,27,32
blounco01,Corie Blount,POWER FORWARD,30,CLEVELAND CAVALIERS,20,0,368,23,67,0,0,22,42,34,71,10,18,12,15,47,68
boguemu01,Muggsy Bogues,POINT GUARD,34,GOLDEN STATE WARRIORS,36,5,714,76,154,0,6,31,36,16,57,134,43,1,47,44,183
bohanet01,Etdrick Bohannon,SMALL FORWARD,25,WASHINGTON WIZARDS,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boothke01,Keith Booth,SMALL FORWARD,24,CHICAGO BULLS,39,4,432,49,151,1,10,21,42,25,68,38,22,11,39,60,120
bowenbr01,Bruce Bowen,SMALL FORWARD,27,BOSTON CELTICS,30,1,494,26,93,7,26,11,24,15,37,28,21,9,13,51,70
boykiea01,Earl Boykins,POINT GUARD,22,NEW JERSEY NETS,5,0,51,10,21,1,5,0,0,1,3,6,1,0,7,3,21
boykiea01,Earl Boykins,POINT GUARD,22,CLEVELAND CAVALIERS,17,0,170,20,58,2,13,2,3,6,7,27,5,0,13,17,44
bradlsh01,Shawn Bradley,CENTER,26,DALLAS MAVERICKS,49,33,1294,167,348,0,4,86,115,130,262,40,35,159,56,153,420
brandte01,Terrell Brandon,POINT GUARD,28,MILWAUKEE BUCKS,15,14,505,85,208,7,28,26,31,11,42,104,24,3,36,25,203
brandte01,Terrell Brandon,POINT GUARD,28,MINNESOTA TIMBERWOLVES,21,20,712,127,299,5,19,39,47,16,65,205,39,7,38,57,298
brownch01,Chucky Brown,POWER FORWARD,30,CHARLOTTE HORNETS,48,21,1192,176,373,15,40,40,59,36,138,57,16,19,38,106,407
brownde01,Dee Brown,POINT GUARD,30,TORONTO RAPTORS,49,0,1377,187,495,135,349,40,55,15,88,143,56,8,80,75,549
brownge02,Gerald Brown,SHOOTING GUARD,23,PHOENIX SUNS,33,0,236,33,89,3,10,11,14,5,17,31,5,1,22,21,80
brownpj01,P.J. Brown,POWER FORWARD,29,MIAMI HEAT,50,50,1611,229,477,0,0,113,146,115,231,66,46,48,69,166,571
brownra02,Randy Brown,POINT GUARD,30,CHICAGO BULLS,39,32,1139,132,319,0,10,78,103,27,105,149,68,8,80,93,342
brunsri01,Rick Brunson,POINT GUARD,26,NEW YORK KNICKS,17,0,95,6,21,0,5,5,18,3,7,19,9,0,12,8,17
bryanko01,Kobe Bryant,SHOOTING GUARD,20,LOS ANGELES LAKERS,50,50,1896,362,779,27,101,245,292,53,211,190,72,50,157,153,996
bryanma01,Mark Bryant,POWER FORWARD,33,CHICAGO BULLS,45,29,1204,168,348,0,1,71,110,92,140,48,34,16,68,149,407
buechju01,Jud Buechler,SMALL FORWARD,30,DETROIT PISTONS,50,0,1056,100,240,61,148,13,18,29,104,57,37,13,21,83,274
bullama01,Matt Bullard,POWER FORWARD,31,HOUSTON ROCKETS,41,0,413,43,114,24,62,7,10,9,33,18,13,4,14,28,117
burresc01,Scott Burrell,SMALL FORWARD,28,NEW JERSEY NETS,32,10,706,75,208,28,72,34,42,32,87,45,40,11,23,82,212
burtowi01,Willie Burton,SMALL FORWARD,30,CHARLOTTE HORNETS,3,0,18,1,7,0,1,2,4,4,2,0,0,0,1,2,4
butlemi02,Mitchell Butler,SHOOTING GUARD,28,CLEVELAND CAVALIERS,31,1,418,67,139,11,29,23,32,13,31,22,15,4,29,41,168
caffeja01,Jason Caffey,POWER FORWARD,25,GOLDEN STATE WARRIORS,35,32,876,123,277,0,1,62,98,79,126,18,24,9,75,113,308
cambyma01,Marcus Camby,CENTER,24,NEW YORK KNICKS,46,0,945,136,261,0,0,57,103,102,151,12,29,74,39,131,329
campbel01,Elden Campbell,CENTER,30,LOS ANGELES LAKERS,17,1,325,44,101,0,0,38,62,38,58,8,1,16,22,51,126
campbel01,Elden Campbell,CENTER,30,CHARLOTTE HORNETS,32,32,1134,178,364,0,1,134,207,88,213,61,38,57,58,108,490
carran01,Antoine Carr,POWER FORWARD,37,HOUSTON ROCKETS,18,0,152,21,52,0,1,5,7,9,22,9,1,10,9,31,47
carrch01,Chris Carr,SHOOTING GUARD,24,MINNESOTA TIMBERWOLVES,11,2,81,9,26,3,9,2,4,0,12,7,1,1,4,9,23
carrch01,Chris Carr,SHOOTING GUARD,24,NEW JERSEY NETS,28,2,364,67,179,25,66,25,36,23,36,16,7,1,24,36,184
carrco01,Cory Carr,SHOOTING GUARD,23,CHICAGO BULLS,42,7,624,71,216,5,30,24,32,8,41,66,21,7,46,66,171
cartevi01,Vince Carter,SMALL FORWARD,22,TORONTO RAPTORS,50,49,1760,345,766,19,66,204,268,94,189,149,55,77,110,140,913
cassesa01,Sam Cassell,POINT GUARD,29,NEW JERSEY NETS,4,3,100,21,49,1,7,29,31,1,5,19,3,0,12,13,72
cassesa01,Sam Cassell,POINT GUARD,29,MILWAUKEE BUCKS,4,0,99,18,44,1,3,18,19,4,5,17,6,0,8,9,55
catoke01,Kelvin Cato,CENTER,24,PORTLAND TRAIL BLAZERS,43,0,545,58,129,1,1,34,67,49,101,19,23,56,27,100,151
causwdu01,Duane Causwell,CENTER,30,MIAMI HEAT,19,1,137,20,35,0,0,4,12,14,21,2,0,11,18,32,44
cebalce01,Cedric Ceballos,SMALL FORWARD,29,DALLAS MAVERICKS,13,5,352,59,140,11,28,34,49,23,62,12,7,5,28,23,163
chapmre01,Rex Chapman,SHOOTING GUARD,31,PHOENIX SUNS,38,35,1183,165,459,53,151,76,91,12,92,109,34,9,54,46,459
cheanca01,Calbert Cheaney,SHOOTING GUARD,27,WASHINGTON WIZARDS,50,18,1266,172,415,8,37,33,67,33,108,73,39,16,42,146,385
chilcpe01,Pete Chilcutt,POWER FORWARD,30,VANCOUVER GRIZZLIES,46,0,697,63,172,26,68,14,17,29,88,30,22,12,28,52,166
childch01,Chris Childs,POINT GUARD,31,NEW YORK KNICKS,48,0,1297,114,267,36,94,64,78,18,115,193,44,1,85,156,328
chrisdo01,Doug Christie,SHOOTING GUARD,28,TORONTO RAPTORS,50,50,1768,252,650,49,161,207,246,59,148,187,113,26,119,111,760
clarkke01,Keon Clark,CENTER,23,DENVER NUGGETS,28,0,409,36,80,0,1,21,37,36,60,10,10,31,21,52,93
closske01,Keith Closs,CENTER,22,LOS ANGELES CLIPPERS,15,0,87,12,23,0,1,8,10,5,20,0,3,9,6,14,32
cokerjo01,John Coker,CENTER,27,WASHINGTON WIZARDS,14,0,98,13,31,0,0,5,6,7,15,0,1,2,2,17,31
colemde01,Derrick Coleman,POWER FORWARD,31,CHARLOTTE HORNETS,37,29,1178,168,406,7,33,143,190,76,252,78,24,42,90,96,486
