slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
abdulma02,Mahmoud Abdul-Rauf,POINT GUARD,26,DENVER NUGGETS,57,53,2029,414,955,121,309,146,157,26,112,389,64,3,115,117,1095
adamsmi01,Michael Adams,POINT GUARD,33,CHARLOTTE HORNETS,21,3,329,37,83,14,41,26,35,5,17,67,21,4,25,25,114
addisra01,Rafael Addison,SMALL FORWARD,31,CHARLOTTE HORNETS,53,0,516,77,165,0,9,17,22,25,65,30,9,9,27,74,171
alexaco01,Cory Alexander,POINT GUARD,22,SAN ANTONIO SPURS,60,0,560,63,155,26,66,16,25,9,33,121,27,2,68,94,168
allenje01,Jerome Allen,SHOOTING GUARD,23,MINNESOTA TIMBERWOLVES,41,0,362,36,105,10,33,26,36,5,20,49,21,5,34,42,108
alstode01,Derrick Alston,CENTER,23,PHILADELPHIA 76ERS,73,41,1614,198,387,1,3,55,112,127,175,61,56,52,59,191,452
amaecjo01,John Amaechi,POWER FORWARD,25,CLEVELAND CAVALIERS,28,3,357,29,70,0,0,19,33,13,39,9,6,11,34,49,77
amayaas01,Ashraf Amaya,POWER FORWARD,24,VANCOUVER GRIZZLIES,54,34,1104,121,252,0,1,97,149,114,189,33,22,10,57,151,339
andergr01,Greg Anderson,POWER FORWARD,31,SAN ANTONIO SPURS,46,7,344,24,47,0,1,6,25,29,71,10,9,24,22,66,54
anderke01,Kenny Anderson,POINT GUARD,25,NEW JERSEY NETS,31,28,1042,143,380,36,99,151,188,37,64,247,52,8,58,73,473
anderke01,Kenny Anderson,POINT GUARD,25,CHARLOTTE HORNETS,38,36,1302,206,454,56,157,109,150,26,76,328,59,6,88,105,577
anderni01,Nick Anderson,SHOOTING GUARD,28,ORLANDO MAGIC,77,77,2717,400,904,168,430,166,240,92,323,279,121,46,141,135,1134
anderwi01,Willie Anderson,SHOOTING GUARD,29,TORONTO RAPTORS,49,42,1564,232,527,29,95,113,132,35,151,149,58,51,119,171,606
anderwi01,Willie Anderson,SHOOTING GUARD,29,NEW YORK KNICKS,27,2,496,56,133,5,25,19,31,13,47,48,17,8,24,59,136
anthogr01,Greg Anthony,POINT GUARD,28,VANCOUVER GRIZZLIES,69,68,2096,324,781,90,271,229,297,29,145,476,116,11,160,137,967
armstbj01,B.J. Armstrong,POINT GUARD,28,GOLDEN STATE WARRIORS,82,64,2262,340,727,98,207,234,279,22,162,401,68,6,128,147,1012
armstda01,Darrell Armstrong,POINT GUARD,27,ORLANDO MAGIC,13,0,41,16,32,6,12,4,4,0,2,5,6,0,6,4,42
askewvi01,Vincent Askew,SHOOTING GUARD,29,SEATTLE SUPERSONICS,69,2,1725,215,436,29,86,123,161,65,153,163,47,15,96,178,582
askinke01,Keith Askins,SMALL FORWARD,28,MIAMI HEAT,75,14,1897,157,391,99,237,45,57,113,211,121,48,61,82,271,458
augmost01,Stacey Augmon,SMALL FORWARD,27,ATLANTA HAWKS,77,49,2294,362,738,1,4,251,317,137,167,137,106,31,138,188,976
aventan01,Anthony Avent,POWER FORWARD,26,VANCOUVER GRIZZLIES,71,32,1586,179,466,0,0,57,77,108,247,69,30,42,107,202,415
bakervi01,Vin Baker,POWER FORWARD,24,MILWAUKEE BUCKS,82,82,3319,699,1429,10,48,321,479,263,545,212,68,91,216,272,1729
bardost01,Steve Bardo,SHOOTING GUARD,27,DETROIT PISTONS,9,0,123,9,23,0,4,4,6,2,20,15,4,1,5,17,22
barklch01,Charles Barkley,POWER FORWARD,32,PHOENIX SUNS,71,71,2632,580,1160,49,175,440,566,243,578,262,114,56,218,208,1649
barroda01,Dana Barros,POINT GUARD,28,BOSTON CELTICS,80,25,2328,379,806,150,368,130,147,21,171,306,58,3,120,116,1038
barrybr01,Brent Barry,SHOOTING GUARD,24,LOS ANGELES CLIPPERS,79,44,1898,283,597,123,296,111,137,38,130,230,95,22,120,196,800
barryjo01,Jon Barry,SHOOTING GUARD,26,GOLDEN STATE WARRIORS,68,0,712,91,185,44,93,31,37,17,46,85,33,11,42,51,257
beckco01,Corey Beck,POINT GUARD,24,CHARLOTTE HORNETS,5,0,33,2,8,0,0,1,2,3,4,5,1,0,4,8,5
benjabe01,Benoit Benjamin,CENTER,31,VANCOUVER GRIZZLIES,13,13,404,71,161,0,0,39,56,31,72,16,10,15,34,40,181
benjabe01,Benoit Benjamin,CENTER,31,MILWAUKEE BUCKS,70,58,1492,223,429,0,3,101,138,110,326,48,35,70,110,184,547
benneel01,Elmer Bennett,POINT GUARD,25,PHILADELPHIA 76ERS,8,0,66,4,17,0,0,3,4,1,4,8,1,1,7,6,11
bennema01,Mario Bennett,SMALL FORWARD,22,PHOENIX SUNS,19,14,230,29,64,0,1,27,42,21,28,6,11,11,11,46,85
benoida01,David Benoit,SMALL FORWARD,27,UTAH JAZZ,81,63,1961,255,581,64,192,87,112,90,293,82,43,49,71,166,661
besttr01,Travis Best,POINT GUARD,23,INDIANA PACERS,59,1,571,69,163,8,25,75,90,11,33,97,20,3,63,80,221
blaylmo01,Mookie Blaylock,POINT GUARD,28,ATLANTA HAWKS,81,81,2893,455,1123,231,623,127,170,110,222,478,212,17,188,151,1268
blounco01,Corie Blount,POWER FORWARD,27,LOS ANGELES LAKERS,57,2,715,79,167,0,2,25,44,69,101,42,25,35,47,109,183
boguemu01,Muggsy Bogues,POINT GUARD,31,CHARLOTTE HORNETS,6,0,77,6,16,0,1,2,2,6,1,19,2,0,6,4,14
bonnean01,Anthony Bonner,POWER FORWARD,27,ORLANDO MAGIC,4,0,43,5,15,0,0,3,7,6,13,4,3,0,3,11,13
