slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
achiupr01,Precious Achiuwa,CENTER,23,TORONTO RAPTORS,55,12,1140,196,404,29,108,87,124,100,228,50,31,30,59,102,508
adamsst01,Steven Adams,CENTER,29,MEMPHIS GRIZZLIES,42,42,1133,157,263,0,1,47,129,214,271,97,36,46,79,98,361
adebaba01,Bam Adebayo,CENTER,25,MIAMI HEAT,75,75,2598,602,1114,1,12,324,402,184,504,240,88,61,187,208,1529
agbajoc01,Ochai Agbaji,SHOOTING GUARD,22,UTAH JAZZ,59,22,1209,165,386,81,228,56,69,43,78,67,16,15,41,99,467
aldamsa01,Santi Aldama,POWER FORWARD,22,MEMPHIS GRIZZLIES,77,20,1682,247,525,94,266,108,144,85,286,97,45,48,60,143,696
alexani01,Nickeil Alexander-Walker,SHOOTING GUARD,24,UTAH JAZZ,36,3,528,83,170,35,87,27,39,8,51,76,24,14,45,58,228
alexani01,Nickeil Alexander-Walker,SHOOTING GUARD,24,MINNESOTA TIMBERWOLVES,23,0,356,48,125,26,72,13,21,7,35,32,8,7,10,30,135
allengr01,Grayson Allen,SHOOTING GUARD,27,MILWAUKEE BUCKS,72,70,1972,245,557,146,366,114,126,61,176,163,62,14,72,117,750
allenja01,Jarrett Allen,CENTER,24,CLEVELAND CAVALIERS,68,68,2220,403,626,1,10,162,221,221,445,113,54,84,93,153,969
alvarjo01,Jose Alvarado,POINT GUARD,24,NEW ORLEANS PELICANS,61,10,1310,201,489,83,247,65,80,28,113,186,67,10,81,125,550
anderky01,Kyle Anderson,POWER FORWARD,29,MINNESOTA TIMBERWOLVES,69,46,1957,252,495,43,105,100,136,66,302,335,78,63,103,146,647
antetgi01,Giannis Antetokounmpo,POWER FORWARD,28,MILWAUKEE BUCKS,63,63,2024,707,1278,47,171,498,772,137,605,359,52,51,246,197,1959
antetth01,Thanasis Antetokounmpo,POWER FORWARD,30,MILWAUKEE BUCKS,37,0,206,20,46,0,8,11,22,15,29,15,3,3,12,22,51
anthoco01,Cole Anthony,POINT GUARD,22,ORLANDO MAGIC,60,4,1552,277,610,75,206,152,170,47,241,235,37,31,91,158,781
anunoog01,OG Anunoby,SMALL FORWARD,25,TORONTO RAPTORS,67,67,2386,421,885,142,367,140,167,95,237,131,128,50,132,200,1124
arcidry01,Ryan Arcidiacono,POINT GUARD,28,NEW YORK KNICKS,11,0,26,1,5,1,3,0,0,0,4,2,2,0,1,3,3
arcidry01,Ryan Arcidiacono,POINT GUARD,28,PORTLAND TRAIL BLAZERS,9,4,146,8,32,7,20,0,0,0,11,21,3,0,6,14,23
avdijde01,Deni Avdija,SMALL FORWARD,22,WASHINGTON WIZARDS,76,40,2020,253,579,69,232,122,165,74,413,211,65,29,123,209,697
aytonde01,Deandre Ayton,CENTER,24,PHOENIX SUNS,67,67,2035,522,887,7,24,152,200,172,495,115,37,53,120,190,1203
azubuud01,Udoka Azubuike,CENTER,23,UTAH JAZZ,36,4,359,59,72,0,0,7,20,31,88,11,6,15,18,34,125
baglema01,Marvin Bagley III,CENTER,23,DETROIT PISTONS,42,25,990,202,382,19,66,81,108,94,175,36,19,30,46,81,504
baldwpa01,Patrick Baldwin Jr.,SMALL FORWARD,20,GOLDEN STATE WARRIORS,31,0,226,43,109,32,84,4,6,1,39,11,6,4,11,14,122
ballla01,LaMelo Ball,POINT GUARD,21,CHARLOTTE HORNETS,36,36,1268,296,721,144,383,102,122,42,189,304,46,11,129,118,838
bambamo01,Mo Bamba,CENTER,24,ORLANDO MAGIC,40,6,681,106,214,43,108,35,51,47,137,42,12,38,22,86,290
bambamo01,Mo Bamba,CENTER,24,LOS ANGELES LAKERS,9,1,88,11,27,5,16,6,11,11,30,4,1,5,8,19,33
banchpa01,Paolo Banchero,POWER FORWARD,20,ORLANDO MAGIC,72,72,2430,479,1122,85,285,394,534,84,413,269,60,39,200,160,1437
banede01,Desmond Bane,SHOOTING GUARD,24,MEMPHIS GRIZZLIES,58,58,1841,450,939,166,407,181,205,43,248,254,56,22,126,150,1247
bantoda01,Dalano Banton,POINT GUARD,23,TORONTO RAPTORS,31,2,279,55,130,15,51,17,24,11,34,36,13,13,18,34,142
barlodo01,Dominick Barlow,POWER FORWARD,19,SAN ANTONIO SPURS,28,0,408,46,86,0,4,18,25,46,56,24,10,19,15,56,110
barneha02,Harrison Barnes,POWER FORWARD,30,SACRAMENTO KINGS,82,82,2662,374,791,132,353,350,413,87,279,128,57,10,86,103,1230
barnesc01,Scottie Barnes,SMALL FORWARD,21,TORONTO RAPTORS,77,76,2678,463,1016,63,224,190,246,179,333,371,83,61,154,170,1179
barrerj01,RJ Barrett,SHOOTING GUARD,22,NEW YORK KNICKS,73,73,2475,510,1176,121,390,290,392,60,308,201,31,15,164,179,1431
bartowi01,Will Barton,SHOOTING GUARD,32,WASHINGTON WIZARDS,40,0,782,110,285,52,138,35,45,10,101,95,17,10,45,39,307
bartowi01,Will Barton,SHOOTING GUARD,32,TORONTO RAPTORS,16,2,211,28,79,14,42,2,2,5,21,17,11,3,3,17,72
bassech01,Charles Bassey,CENTER,22,SAN ANTONIO SPURS,35,2,508,87,135,3,8,22,37,75,118,47,16,33,41,74,199
bateske01,Keita Bates-Diop,POWER FORWARD,27,SAN ANTONIO SPURS,67,42,1452,236,465,56,142,119,150,65,183,103,46,20,56,63,647
batumni01,Nicolas Batum,POWER FORWARD,34,LOS ANGELES CLIPPERS,78,19,1709,160,381,124,317,34,48,62,237,121,54,44,50,149,478
bazleda01,Darius Bazley,CENTER,22,OKLAHOMA CITY THUNDER,36,1,555,71,158,18,45,36,65,29,93,32,19,29,22,35,196
bazleda01,Darius Bazley,CENTER,22,PHOENIX SUNS,7,0,61,12,25,2,8,2,5,5,11,6,3,5,5,9,28
bealbr01,Bradley Beal,SHOOTING GUARD,29,WASHINGTON WIZARDS,50,50,1673,444,878,80,219,192,228,41,155,271,45,33,145,107,1160
beaslma01,Malik Beasley,SHOOTING GUARD,26,UTAH JAZZ,55,13,1472,265,669,169,471,37,44,27,170,93,44,8,60,75,736
beaslma01,Malik Beasley,SHOOTING GUARD,26,LOS ANGELES LAKERS,26,14,621,105,268,66,187,13,21,8,78,31,21,1,30,32,289
beaucma01,MarJon Beauchamp,SMALL FORWARD,22,MILWAUKEE BUCKS,52,11,701,96,243,47,142,27,37,38,77,35,21,7,45,71,266
bertada01,Dāvis Bertāns,POWER FORWARD,30,DALLAS MAVERICKS,45,1,492,69,160,55,141,13,15,10,43,21,11,8,10,53,206
beverpa01,Patrick Beverley,SHOOTING GUARD,34,LOS ANGELES LAKERS,45,45,1211,97,241,55,158,39,50,24,116,118,40,25,42,124,288
beverpa01,Patrick Beverley,POINT GUARD,34,CHICAGO BULLS,22,22,605,47,119,25,81,8,15,20,87,76,23,16,18,63,127
beysa01,Saddiq Bey,SMALL FORWARD,23,DETROIT PISTONS,52,30,1500,245,606,101,293,180,209,59,183,84,50,12,54,86,771
