slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
abdulma02,Mahmoud Abdul-Rauf,POINT GUARD,27,SACRAMENTO KINGS,75,51,2131,411,924,94,246,115,136,16,106,189,56,6,119,174,1031
abdursh01,Shareef Abdur-Rahim,POWER FORWARD,20,VANCOUVER GRIZZLIES,80,71,2802,550,1214,7,27,387,519,216,339,175,79,79,225,199,1494
addisra01,Rafael Addison,SMALL FORWARD,32,CHARLOTTE HORNETS,41,3,355,49,122,8,20,22,28,19,26,34,8,3,17,52,128
alexaco01,Cory Alexander,POINT GUARD,23,SAN ANTONIO SPURS,80,6,1454,194,490,94,252,95,129,29,94,254,82,16,146,148,577
allenje01,Jerome Allen,SHOOTING GUARD,24,INDIANA PACERS,51,1,692,57,147,23,59,27,47,13,52,109,27,0,56,67,164
allenje01,Jerome Allen,SHOOTING GUARD,24,DENVER NUGGETS,25,0,251,21,74,7,34,15,25,12,21,43,4,4,13,17,64
allenra02,Ray Allen,SHOOTING GUARD,21,MILWAUKEE BUCKS,82,81,2532,390,908,117,298,205,249,97,229,210,75,10,149,218,1102
alstode01,Derrick Alston,CENTER,24,ATLANTA HAWKS,2,0,11,0,5,0,0,0,2,3,1,0,0,0,0,0,0
amayaas01,Ashraf Amaya,POWER FORWARD,25,WASHINGTON BULLETS,31,0,144,12,40,1,1,15,28,19,33,3,7,3,10,29,40
andergr01,Greg Anderson,CENTER,32,SAN ANTONIO SPURS,82,48,1659,130,262,0,1,62,93,157,291,34,63,67,73,225,322
anderke01,Kenny Anderson,POINT GUARD,26,PORTLAND TRAIL BLAZERS,82,81,3081,485,1137,132,366,334,435,91,272,584,162,15,193,222,1436
anderni01,Nick Anderson,SHOOTING GUARD,29,ORLANDO MAGIC,63,61,2163,288,725,143,405,38,94,66,238,182,120,32,86,160,757
andersh01,Shandon Anderson,SHOOTING GUARD,23,UTAH JAZZ,65,0,1066,147,318,24,47,68,99,52,127,49,27,8,73,113,386
anderwi01,Willie Anderson,SHOOTING GUARD,30,MIAMI HEAT,28,1,303,29,64,8,19,17,20,15,27,34,14,4,19,36,83
anthogr01,Greg Anthony,POINT GUARD,29,VANCOUVER GRIZZLIES,65,44,1863,199,507,88,238,130,178,25,159,407,129,4,129,122,616
armstbj01,B.J. Armstrong,POINT GUARD,29,GOLDEN STATE WARRIORS,49,17,1020,148,327,25,90,68,79,7,67,126,25,2,53,56,389
armstda01,Darrell Armstrong,POINT GUARD,28,ORLANDO MAGIC,67,0,1010,132,345,55,181,92,106,35,41,175,61,9,99,114,411
askewvi01,Vincent Askew,SHOOTING GUARD,30,NEW JERSEY NETS,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0
askewvi01,Vincent Askew,SHOOTING GUARD,30,INDIANA PACERS,41,0,822,79,183,7,24,68,86,25,73,90,17,6,42,122,233
askewvi01,Vincent Askew,SHOOTING GUARD,30,DENVER NUGGETS,1,0,9,2,3,0,0,2,2,0,0,0,0,0,4,0,6
askinke01,Keith Askins,SMALL FORWARD,29,MIAMI HEAT,78,30,1773,138,319,69,172,39,58,86,185,75,53,19,59,196,384
augmost01,Stacey Augmon,SHOOTING GUARD,28,DETROIT PISTONS,20,3,292,31,77,0,0,28,41,14,35,15,10,10,27,29,90
