slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
abdelal01,Alaa Abdelnaby,POWER FORWARD,25,BOSTON CELTICS,13,0,159,24,55,0,0,16,25,12,34,3,2,3,17,20,64
abdulma02,Mahmoud Abdul-Rauf,POINT GUARD,24,DENVER NUGGETS,80,78,2617,588,1279,42,133,219,229,27,141,362,82,10,151,150,1437
adamsmi01,Michael Adams,POINT GUARD,31,WASHINGTON BULLETS,70,67,2337,285,698,55,191,224,270,37,146,480,96,6,167,140,849
aguirma01,Mark Aguirre,SMALL FORWARD,34,LOS ANGELES CLIPPERS,39,0,859,163,348,37,93,50,72,28,88,104,21,8,70,98,413
aingeda01,Danny Ainge,SHOOTING GUARD,34,PHOENIX SUNS,68,1,1555,224,537,80,244,78,94,28,103,180,57,8,81,140,606
alexaga01,Gary Alexander,POWER FORWARD,24,MIAMI HEAT,4,0,12,1,2,0,0,0,2,1,2,1,0,0,1,3,2
alexaga01,Gary Alexander,POWER FORWARD,24,CLEVELAND CAVALIERS,7,0,43,7,12,0,0,3,7,6,6,1,3,0,7,7,17
alexavi01,Victor Alexander,CENTER,24,GOLDEN STATE WARRIORS,69,39,1318,266,502,2,13,68,129,114,194,66,28,32,86,168,602
anderer01,Eric Anderson,POWER FORWARD,23,NEW YORK KNICKS,11,0,39,7,17,2,2,5,14,6,11,2,0,1,2,9,21
andergr01,Greg Anderson,POWER FORWARD,29,DETROIT PISTONS,77,47,1624,201,370,1,3,88,154,183,388,51,55,68,94,234,491
anderke01,Kenny Anderson,POINT GUARD,23,NEW JERSEY NETS,82,82,3135,576,1381,40,132,346,423,89,233,784,158,15,266,201,1538
anderni01,Nick Anderson,SHOOTING GUARD,26,ORLANDO MAGIC,81,81,2811,504,1054,101,314,168,250,113,363,294,134,33,165,148,1277
anderro01,Ron Anderson,SMALL FORWARD,35,NEW JERSEY NETS,11,2,176,15,43,4,12,10,12,8,18,6,5,2,1,9,44
anderro01,Ron Anderson,SMALL FORWARD,35,WASHINGTON BULLETS,10,0,180,20,43,3,14,9,11,8,19,11,3,1,9,7,52
anderwi01,Willie Anderson,SHOOTING GUARD,27,SAN ANTONIO SPURS,80,79,2488,394,837,22,68,145,171,68,174,347,71,46,153,187,955
anthogr01,Greg Anthony,POINT GUARD,26,NEW YORK KNICKS,80,36,1994,225,571,48,160,130,168,43,146,365,114,13,127,163,628
armstbj01,B.J. Armstrong,POINT GUARD,26,CHICAGO BULLS,82,82,2770,479,1007,60,135,194,227,28,142,323,80,9,131,147,1212
askewvi01,Vincent Askew,SHOOTING GUARD,27,SEATTLE SUPERSONICS,80,3,1690,273,567,6,31,175,211,60,124,194,73,19,70,145,727
askinke01,Keith Askins,SMALL FORWARD,26,MIAMI HEAT,37,0,319,36,88,4,21,9,10,33,49,13,11,1,21,57,85
augmost01,Stacey Augmon,SHOOTING GUARD,25,ATLANTA HAWKS,82,82,2605,439,861,1,7,333,436,178,216,187,149,45,147,179,1212
austiis01,Isaac Austin,CENTER,24,PHILADELPHIA 76ERS,14,0,201,29,66,0,1,14,23,25,44,17,5,10,17,29,72
aventan01,Anthony Avent,POWER FORWARD,24,MILWAUKEE BUCKS,33,20,695,92,228,0,0,61,79,60,94,33,16,20,43,60,245
aventan01,Anthony Avent,POWER FORWARD,24,ORLANDO MAGIC,41,20,676,58,170,0,0,28,44,84,100,32,17,11,42,87,144
baglejo01,John Bagley,POINT GUARD,33,ATLANTA HAWKS,3,0,13,0,2,0,0,2,2,0,1,3,0,0,0,2,2
baileth01,Thurl Bailey,POWER FORWARD,32,MINNESOTA TIMBERWOLVES,79,3,1297,232,455,0,2,119,149,66,149,54,20,58,58,93,583
bakervi01,Vin Baker,CENTER,22,MILWAUKEE BUCKS,82,63,2560,435,869,1,5,234,411,277,344,163,60,114,162,231,1105
barklch01,Charles Barkley,POWER FORWARD,30,PHOENIX SUNS,65,65,2298,518,1046,48,178,318,452,198,529,296,101,37,206,160,1402
barroda01,Dana Barros,POINT GUARD,26,PHILADELPHIA 76ERS,81,70,2519,412,878,135,354,116,145,28,168,424,107,5,167,96,1075
barryjo01,Jon Barry,SHOOTING GUARD,24,MILWAUKEE BUCKS,72,7,1242,158,382,32,115,97,122,36,110,168,102,17,83,110,445
battljo01,John Battle,SHOOTING GUARD,31,CLEVELAND CAVALIERS,51,1,814,130,273,5,19,73,97,7,32,83,22,1,41,66,338
benjabe01,Benoit Benjamin,CENTER,29,NEW JERSEY NETS,77,74,1817,283,589,0,0,152,214,135,364,44,35,90,97,198,718
benneto01,Tony Bennett,POINT GUARD,24,CHARLOTTE HORNETS,74,5,983,105,263,27,75,11,15,16,74,163,39,1,40,84,248
benoida01,David Benoit,SMALL FORWARD,25,UTAH JAZZ,55,18,1070,139,361,12,59,68,88,89,171,23,23,37,37,115,358
blackro01,Rolando Blackman,SHOOTING GUARD,34,NEW YORK KNICKS,55,1,969,161,369,30,84,48,53,23,70,76,25,6,44,100,400
blaylmo01,Mookie Blaylock,POINT GUARD,26,ATLANTA HAWKS,81,81,2915,444,1079,114,341,116,159,117,307,789,212,44,196,144,1118
blounco01,Corie Blount,POWER FORWARD,25,CHICAGO BULLS,67,8,690,76,174,0,0,46,75,76,118,56,19,33,52,93,198
boguemu01,Muggsy Bogues,POINT GUARD,29,CHARLOTTE HORNETS,77,77,2746,354,751,2,12,125,155,78,235,780,133,2,171,147,835
bolma01,Manute Bol,CENTER,31,MIAMI HEAT,8,0,61,1,12,0,3,0,0,1,10,0,0,6,5,4,2
bolma01,Manute Bol,CENTER,31,WASHINGTON BULLETS,2,0,6,0,0,0,0,0,0,0,1,1,0,1,0,1,0
bolma01,Manute Bol,CENTER,31,PHILADELPHIA 76ERS,4,0,49,3,7,0,0,0,0,2,4,0,2,9,0,8,6
bondwa01,Walter Bond,SHOOTING GUARD,24,UTAH JAZZ,56,4,559,63,156,19,54,31,40,20,41,31,16,12,17,90,176
bonnean01,Anthony Bonner,SMALL FORWARD,25,NEW YORK KNICKS,73,38,1402,162,288,0,0,50,105,150,194,88,76,13,89,175,374
bowiean01,Anthony Bowie,SHOOTING GUARD,30,ORLANDO MAGIC,70,0,948,139,289,1,18,41,49,29,91,102,32,12,58,81,320
bowiesa01,Sam Bowie,CENTER,32,LOS ANGELES LAKERS,25,7,556,75,172,1,4,72,83,27,104,47,4,28,43,65,223
bradlsh01,Shawn Bradley,CENTER,21,PHILADELPHIA 76ERS,49,45,1385,201,491,0,3,102,168,98,208,98,45,147,148,170,504
brandte01,Terrell Brandon,POINT GUARD,23,CLEVELAND CAVALIERS,73,10,1548,230,548,7,32,139,162,38,121,277,84,16,111,108,606
breuera01,Randy Breuer,CENTER,33,SACRAMENTO KINGS,26,3,247,8,26,0,1,3,14,15,41,8,6,19,9,30,19
brickfr01,Frank Brickowski,CENTER,34,MILWAUKEE BUCKS,43,40,1441,251,521,3,18,148,191,53,226,165,52,16,125,165,653
brickfr01,Frank Brickowski,CENTER,34,CHARLOTTE HORNETS,28,6,653,117,233,1,2,47,63,32,93,57,28,11,56,77,282
brookke01,Kevin Brooks,SMALL FORWARD,24,DENVER NUGGETS,34,0,190,36,99,4,23,9,10,5,16,3,0,2,12,19,85
brooksc01,Scott Brooks,POINT GUARD,28,HOUSTON ROCKETS,73,0,1225,142,289,23,61,74,85,10,92,149,51,2,55,98,381
brownch01,Chucky Brown,SMALL FORWARD,25,DALLAS MAVERICKS,1,0,10,1,1,0,0,1,1,0,1,0,0,0,0,2,3
brownde01,Dee Brown,SHOOTING GUARD,25,BOSTON CELTICS,77,76,2867,490,1021,30,96,182,219,63,237,347,156,47,126,207,1192
brownmi01,Mike Brown,CENTER,30,MINNESOTA TIMBERWOLVES,82,40,1921,111,260,0,2,77,118,119,328,72,51,29,75,218,299
brownpj01,P.J. Brown,CENTER,24,NEW JERSEY NETS,79,54,1950,167,402,1,6,115,152,188,305,93,71,93,72,177,450
brownra02,Randy Brown,POINT GUARD,25,SACRAMENTO KINGS,61,2,1041,110,251,0,4,53,87,40,72,133,63,14,75,132,273
bryanma01,Mark Bryant,CENTER,28,PORTLAND TRAIL BLAZERS,79,10,1441,185,384,0,1,72,104,117,198,37,32,29,66,187,442
buechju01,Jud Buechler,SMALL FORWARD,25,GOLDEN STATE WARRIORS,36,0,218,42,84,12,29,10,20,13,19,16,8,1,12,24,106
bullama01,Matt Bullard,POWER FORWARD,26,HOUSTON ROCKETS,65,0,725,78,226,50,154,20,26,23,61,64,14,6,28,67,226
burnsev01,Evers Burns,POWER FORWARD,22,SACRAMENTO KINGS,23,0,143,22,55,0,0,12,23,13,17,9,6,3,7,33,56
burresc01,Scott Burrell,SMALL FORWARD,23,CHARLOTTE HORNETS,51,16,767,98,234,2,6,46,70,46,86,62,37,16,45,88,244
burtowi01,Willie Burton,SMALL FORWARD,25,MIAMI HEAT,53,1,697,124,283,3,15,120,158,50,86,39,18,20,54,96,371
butlemi02,Mitchell Butler,SHOOTING GUARD,23,WASHINGTON BULLETS,75,19,1321,207,418,0,5,104,180,106,119,77,54,20,87,131,518
cagemi01,Michael Cage,CENTER,32,SEATTLE SUPERSONICS,82,42,1708,171,314,0,1,36,74,164,280,45,77,38,51,179,378
campbel01,Elden Campbell,POWER FORWARD,25,LOS ANGELES LAKERS,76,74,2253,373,808,0,2,188,273,167,352,86,64,146,98,241,934
campbto01,Tony Campbell,SMALL FORWARD,31,NEW YORK KNICKS,22,11,379,63,128,1,3,30,37,28,32,31,20,1,29,59,157
campbto01,Tony Campbell,SMALL FORWARD,31,DALLAS MAVERICKS,41,3,835,164,384,6,25,64,83,48,78,51,30,14,55,75,398
carran01,Antoine Carr,POWER FORWARD,32,SAN ANTONIO SPURS,34,0,465,78,160,0,1,42,58,12,39,15,9,22,15,75,198
cartwbi01,Bill Cartwright,CENTER,36,CHICAGO BULLS,42,41,780,98,191,0,0,39,57,43,109,57,8,8,50,83,235
cassesa01,Sam Cassell,POINT GUARD,24,HOUSTON ROCKETS,66,6,1122,162,388,26,88,90,107,25,109,192,59,7,94,136,440
causwdu01,Duane Causwell,CENTER,25,SACRAMENTO KINGS,41,8,674,71,137,0,0,40,68,68,118,11,19,49,33,109,182
cebalce01,Cedric Ceballos,SMALL FORWARD,24,PHOENIX SUNS,53,43,1602,425,795,0,9,160,221,153,191,91,59,23,93,124,1010
