slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
achiupr01,Precious Achiuwa,CENTER,24,TORONTO RAPTORS,25,0,437,78,170,13,47,24,42,50,86,44,16,12,29,40,193
achiupr01,Precious Achiuwa,POWER FORWARD,24,NEW YORK KNICKS,49,18,1187,157,299,13,50,45,70,141,210,53,30,56,54,103,372
adebaba01,Bam Adebayo,CENTER,26,MIAMI HEAT,71,71,2416,530,1017,15,42,292,387,159,578,278,81,66,162,159,1367
agbajoc01,Ochai Agbaji,SHOOTING GUARD,23,UTAH JAZZ,51,10,1003,106,249,47,142,15,20,35,91,47,27,29,34,66,274
agbajoc01,Ochai Agbaji,SHOOTING GUARD,23,TORONTO RAPTORS,27,18,638,72,184,15,69,22,36,39,51,36,20,15,30,51,181
aldamsa01,Santi Aldama,POWER FORWARD,23,MEMPHIS GRIZZLIES,61,35,1618,247,568,106,304,54,87,72,280,138,43,54,69,89,654
alexani01,Nickeil Alexander-Walker,SHOOTING GUARD,25,MINNESOTA TIMBERWOLVES,82,20,1921,236,538,131,335,52,65,35,132,204,64,42,76,143,655
allengr01,Grayson Allen,SHOOTING GUARD,28,PHOENIX SUNS,75,74,2513,340,682,205,445,129,147,48,247,227,69,45,95,157,1014
allenja01,Jarrett Allen,CENTER,25,CLEVELAND CAVALIERS,77,77,2442,519,819,0,6,233,314,243,568,210,53,81,121,147,1271
allenti01,Timmy Allen,SMALL FORWARD,24,MEMPHIS GRIZZLIES,5,0,125,6,23,0,7,1,2,4,13,5,4,0,2,18,13
alvarjo01,Jose Alvarado,POINT GUARD,25,NEW ORLEANS PELICANS,56,0,1028,142,345,78,207,35,52,25,103,117,59,15,40,89,397
anderky01,Kyle Anderson,POWER FORWARD,30,MINNESOTA TIMBERWOLVES,79,10,1782,199,433,11,48,97,137,60,213,331,71,47,91,128,506
antetgi01,Giannis Antetokounmpo,POWER FORWARD,29,MILWAUKEE BUCKS,73,73,2567,837,1369,34,124,514,782,196,645,476,87,79,250,210,2222
antetth01,Thanasis Antetokounmpo,POWER FORWARD,31,MILWAUKEE BUCKS,34,0,155,16,30,0,1,0,2,7,6,17,7,4,14,24,32
anthoco01,Cole Anthony,POINT GUARD,23,ORLANDO MAGIC,81,0,1817,332,763,93,275,180,218,64,247,236,64,37,126,175,937
anunoog01,OG Anunoby,SMALL FORWARD,26,TORONTO RAPTORS,27,27,900,157,321,61,163,33,46,24,82,72,28,13,43,62,408
anunoog01,OG Anunoby,SMALL FORWARD,26,NEW YORK KNICKS,23,23,802,125,256,41,104,34,43,23,79,35,40,23,38,57,325
arcidry01,Ryan Arcidiacono,POINT GUARD,29,NEW YORK KNICKS,20,0,45,0,6,0,6,0,0,0,8,4,2,0,2,5,0
avdijde01,Deni Avdija,SMALL FORWARD,23,WASHINGTON WIZARDS,75,75,2257,406,803,88,235,202,273,84,456,286,60,36,160,185,1102
aytonde01,Deandre Ayton,CENTER,25,PORTLAND TRAIL BLAZERS,55,55,1784,427,749,1,10,65,79,176,433,90,56,42,99,109,920
azubuud01,Udoka Azubuike,CENTER,24,PHOENIX SUNS,16,0,113,16,23,0,0,3,13,11,21,3,1,6,4,17,35
badjiib01,Ibou Badji,CENTER,21,PORTLAND TRAIL BLAZERS,22,1,226,14,22,0,0,6,12,20,31,13,3,20,15,46,34
baglema01,Marvin Bagley III,CENTER,24,DETROIT PISTONS,26,10,478,107,181,1,6,50,61,46,72,27,5,14,29,40,265
baglema01,Marvin Bagley III,CENTER,24,WASHINGTON WIZARDS,24,15,575,132,227,8,17,46,65,84,110,28,15,19,30,41,318
baileam01,Amari Bailey,POINT GUARD,19,CHARLOTTE HORNETS,10,0,65,8,24,1,8,6,7,6,3,7,3,0,4,2,23
baldwpa01,Patrick Baldwin Jr.,SMALL FORWARD,21,WASHINGTON WIZARDS,38,7,493,59,155,31,97,19,28,17,106,29,18,15,19,56,168
ballla01,LaMelo Ball,POINT GUARD,22,CHARLOTTE HORNETS,22,22,711,183,423,70,197,90,104,29,84,176,40,4,83,79,526
bambamo01,Mo Bamba,CENTER,25,PHILADELPHIA 76ERS,57,17,740,97,198,25,64,34,50,77,161,41,22,60,39,101,253
banchpa01,Paolo Banchero,POWER FORWARD,21,ORLANDO MAGIC,80,80,2799,640,1407,119,351,405,559,82,472,431,71,47,247,153,1804
banede01,Desmond Bane,SHOOTING GUARD,25,MEMPHIS GRIZZLIES,42,42,1443,360,776,137,360,140,161,36,149,230,43,22,112,120,997
bantoda01,Dalano Banton,POINT GUARD,24,BOSTON CELTICS,24,1,171,19,51,2,16,16,20,12,23,19,5,3,10,20,56
bantoda01,Dalano Banton,POINT GUARD,24,PORTLAND TRAIL BLAZERS,30,8,876,183,449,57,183,78,100,29,114,108,28,17,67,44,501
barlodo01,Dominick Barlow,POWER FORWARD,20,SAN ANTONIO SPURS,33,1,420,56,113,3,9,29,42,45,68,36,12,14,9,47,144
barneha02,Harrison Barnes,POWER FORWARD,31,SACRAMENTO KINGS,82,82,2381,347,732,149,385,157,196,67,182,99,54,12,58,98,1000
barnesc01,Scottie Barnes,SHOOTING GUARD,22,TORONTO RAPTORS,60,60,2094,447,942,101,296,196,251,141,353,363,75,88,165,118,1191
barrerj01,RJ Barrett,SHOOTING GUARD,23,NEW YORK KNICKS,26,26,766,164,388,43,130,103,124,19,92,63,12,9,47,45,474
barrerj01,RJ Barrett,SHOOTING GUARD,23,TORONTO RAPTORS,32,32,1072,272,492,47,120,105,167,34,170,130,19,13,79,84,696
bassech01,Charles Bassey,CENTER,23,SAN ANTONIO SPURS,19,0,205,29,40,0,1,5,6,23,53,21,8,17,15,31,63
batesem01,Emoni Bates,SMALL FORWARD,20,CLEVELAND CAVALIERS,15,0,133,15,49,10,33,1,4,1,13,10,1,2,8,5,41
bateske01,Keita Bates-Diop,SMALL FORWARD,28,PHOENIX SUNS,39,8,597,64,150,20,64,26,36,30,71,34,22,20,13,33,174
bateske01,Keita Bates-Diop,SMALL FORWARD,28,BROOKLYN NETS,14,0,68,8,16,1,5,6,6,1,8,4,3,2,2,2,23
batumni01,Nicolas Batum,POWER FORWARD,35,LOS ANGELES CLIPPERS,3,0,54,3,8,2,7,0,0,0,7,5,3,4,1,5,8
batumni01,Nicolas Batum,POWER FORWARD,35,PHILADELPHIA 76ERS,57,38,1475,113,248,71,178,15,21,70,171,123,45,34,39,104,312
bazleda01,Darius Bazley,POWER FORWARD,23,PHILADELPHIA 76ERS,3,0,10,0,1,0,0,0,0,0,1,2,0,0,1,0,0
bazleda01,Darius Bazley,POWER FORWARD,23,UTAH JAZZ,6,0,142,18,29,2,8,10,12,8,19,5,6,7,7,3,48
bealbr01,Bradley Beal,SHOOTING GUARD,30,PHOENIX SUNS,53,53,1767,377,735,101,235,109,134,54,178,265,52,27,131,127,964
beaslma01,Malik Beasley,SHOOTING GUARD,27,MILWAUKEE BUCKS,79,77,2337,320,722,224,542,25,35,41,249,108,59,9,54,158,889
beaucma01,MarJon Beauchamp,SMALL FORWARD,23,MILWAUKEE BUCKS,48,1,608,81,166,30,75,19,28,22,77,31,13,7,27,54,211
bernaju01,Jules Bernard,SHOOTING GUARD,24,WASHINGTON WIZARDS,19,0,149,29,64,11,29,5,9,10,16,16,3,1,8,14,74
bertada01,Dāvis Bertāns,POWER FORWARD,31,OKLAHOMA CITY THUNDER,15,0,91,10,26,10,24,14,15,2,8,9,3,3,1,10,44
bertada01,Dāvis Bertāns,POWER FORWARD,31,CHARLOTTE HORNETS,28,1,583,82,208,66,176,16,18,7,44,26,23,9,17,46,246
beverpa01,Patrick Beverley,POINT GUARD,35,PHILADELPHIA 76ERS,47,5,919,104,241,35,109,51,63,30,115,144,24,18,49,83,294
beverpa01,Patrick Beverley,POINT GUARD,35,MILWAUKEE BUCKS,26,8,543,54,138,26,72,23,27,19,75,68,19,13,16,45,157
beysa01,Saddiq Bey,SMALL FORWARD,24,ATLANTA HAWKS,63,51,2062,290,697,113,358,170,203,167,244,92,51,11,54,88,863
bitadgo01,Goga Bitadze,CENTER,24,ORLANDO MAGIC,62,33,957,126,209,2,14,57,87,109,177,79,32,72,44,107,311
bitimon01,Onuralp Bitim,SHOOTING GUARD,24,CHICAGO BULLS,23,1,268,32,84,12,44,4,5,6,26,13,3,2,10,24,80
biyombi01,Bismack Biyombo,CENTER,31,MEMPHIS GRIZZLIES,30,27,718,67,119,0,0,22,46,57,134,51,10,34,38,82,156
biyombi01,Bismack Biyombo,CENTER,31,OKLAHOMA CITY THUNDER,10,0,73,7,12,0,0,4,8,5,13,2,1,3,4,7,18
blackan01,Anthony Black,POINT GUARD,20,ORLANDO MAGIC,69,33,1164,115,247,37,94,49,80,33,106,91,35,21,56,110,316
blackle01,Leaky Black,SMALL FORWARD,24,CHARLOTTE HORNETS,26,3,284,25,52,9,20,10,15,9,39,24,8,11,6,19,69
boehebu01,Buddy Boeheim,SMALL FORWARD,24,DETROIT PISTONS,10,0,84,9,29,8,25,8,10,3,7,3,0,1,0,5,34
bogdabo01,Bogdan Bogdanović,SHOOTING GUARD,31,ATLANTA HAWKS,79,33,2401,471,1100,240,641,151,164,53,219,247,96,26,112,179,1333
bogdabo02,Bojan Bogdanović,POWER FORWARD,34,DETROIT PISTONS,28,27,921,199,425,86,207,81,104,13,81,71,23,4,63,57,565
bogdabo02,Bojan Bogdanović,SMALL FORWARD,34,NEW YORK KNICKS,29,0,557,110,256,47,127,36,45,9,49,26,7,1,38,38,303
bolbo01,Bol Bol,POWER FORWARD,24,PHOENIX SUNS,43,0,469,93,151,22,52,15,19,32,105,17,10,25,19,42,223
boldema01,Marques Bolden,CENTER,25,MILWAUKEE BUCKS,2,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0
boldema01,Marques Bolden,CENTER,25,CHARLOTTE HORNETS,9,2,118,17,25,0,1,3,4,10,22,4,3,7,3,9,37
bookede01,Devin Booker,POINT GUARD,27,PHOENIX SUNS,68,68,2447,642,1305,152,418,405,457,56,252,472,61,28,178,206,1841
bostobr01,Brandon Boston Jr.,SMALL FORWARD,22,LOS ANGELES CLIPPERS,32,0,345,65,161,14,52,23,33,19,33,13,11,8,24,40,167
bouchch01,Chris Boucher,POWER FORWARD,31,TORONTO RAPTORS,50,0,705,110,217,31,94,71,92,62,145,23,14,24,28,68,322
bouknja01,James Bouknight,SHOOTING GUARD,23,CHARLOTTE HORNETS,14,0,81,18,41,13,30,1,2,1,8,6,1,1,2,3,50
bouyeja01,Jamaree Bouyea,POINT GUARD,24,PORTLAND TRAIL BLAZERS,6,0,57,5,21,0,8,0,0,2,8,8,0,0,8,3,10
bouyeja01,Jamaree Bouyea,POINT GUARD,24,SAN ANTONIO SPURS,3,0,38,5,7,1,1,0,0,1,8,3,1,0,1,7,11
branhma01,Malaki Branham,POINT GUARD,20,SAN ANTONIO SPURS,75,29,1594,271,628,93,268,55,63,28,120,156,27,8,91,94,690
braunch01,Christian Braun,SHOOTING GUARD,22,DENVER NUGGETS,82,4,1655,222,483,63,164,93,134,79,227,132,42,35,55,137,600
bridgmi01,Mikal Bridges,SMALL FORWARD,27,BROOKLYN NETS,82,82,2854,564,1294,220,592,258,317,68,304,299,81,30,164,116,1606
bridgmi02,Miles Bridges,SMALL FORWARD,25,CHARLOTTE HORNETS,69,67,2581,559,1210,157,450,174,211,71,434,231,65,33,138,118,1449
brissos01,Oshae Brissett,SMALL FORWARD,25,BOSTON CELTICS,55,1,630,68,153,15,55,50,83,61,99,44,19,8,20,54,201
