slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
abdelal01,Alaa Abdelnaby,POWER FORWARD,26,SACRAMENTO KINGS,51,0,476,117,220,0,2,20,35,34,72,13,15,12,40,102,254
abdelal01,Alaa Abdelnaby,POWER FORWARD,26,PHILADELPHIA 76ERS,3,0,30,1,11,0,0,0,0,3,5,0,0,0,5,2,2
abdulma02,Mahmoud Abdul-Rauf,POINT GUARD,25,DENVER NUGGETS,73,43,2082,472,1005,83,215,138,156,32,105,263,77,9,119,126,1165
adamsmi01,Michael Adams,POINT GUARD,32,CHARLOTTE HORNETS,29,0,443,67,148,29,81,25,30,6,23,95,23,1,26,41,188
addisra01,Rafael Addison,SMALL FORWARD,30,DETROIT PISTONS,79,16,1776,279,586,24,83,74,99,67,175,109,53,25,76,236,656
aingeda01,Danny Ainge,SHOOTING GUARD,35,PHOENIX SUNS,74,1,1374,194,422,78,214,105,130,25,84,210,46,7,79,155,571
alexavi01,Victor Alexander,CENTER,25,GOLDEN STATE WARRIORS,50,29,1237,230,447,6,25,36,60,87,204,60,28,29,76,145,502
alstode01,Derrick Alston,CENTER,22,PHILADELPHIA 76ERS,64,1,1032,120,258,0,4,59,120,98,121,33,39,35,53,107,299
andergr01,Greg Anderson,POWER FORWARD,30,ATLANTA HAWKS,51,0,622,57,104,0,0,34,71,62,126,17,23,32,32,103,148
anderke01,Kenny Anderson,POINT GUARD,24,NEW JERSEY NETS,72,70,2689,411,1031,97,294,348,414,73,177,680,103,14,225,184,1267
anderni01,Nick Anderson,SHOOTING GUARD,27,ORLANDO MAGIC,76,76,2588,439,923,179,431,143,203,85,250,314,125,22,141,124,1200
anderwi01,Willie Anderson,SHOOTING GUARD,28,SAN ANTONIO SPURS,38,11,556,76,162,3,19,30,41,15,40,52,26,10,38,71,185
anthogr01,Greg Anthony,POINT GUARD,27,NEW YORK KNICKS,61,2,943,128,293,56,155,60,76,7,57,160,50,7,57,99,372
armstbj01,B.J. Armstrong,POINT GUARD,27,CHICAGO BULLS,82,82,2577,418,894,108,253,206,233,25,161,244,84,8,103,159,1150
armstda01,Darrell Armstrong,POINT GUARD,26,ORLANDO MAGIC,3,0,8,3,8,2,6,2,2,1,0,3,1,0,1,3,10
askewvi01,Vincent Askew,SHOOTING GUARD,28,SEATTLE SUPERSONICS,71,1,1721,248,504,31,94,176,238,65,116,176,49,13,85,191,703
askinke01,Keith Askins,SMALL FORWARD,27,MIAMI HEAT,50,5,854,81,207,21,78,46,57,86,112,39,35,17,25,109,229
augmost01,Stacey Augmon,SHOOTING GUARD,26,ATLANTA HAWKS,76,76,2362,397,876,7,26,252,346,157,211,197,100,47,152,163,1053
aventan01,Anthony Avent,POWER FORWARD,25,ORLANDO MAGIC,71,3,1066,105,244,0,0,48,75,97,196,41,28,50,53,170,258
bakervi01,Vin Baker,POWER FORWARD,23,MILWAUKEE BUCKS,82,82,3361,594,1229,7,24,256,432,289,557,296,86,116,221,277,1451
barklch01,Charles Barkley,POWER FORWARD,31,PHOENIX SUNS,68,66,2382,554,1141,74,219,379,507,203,553,276,110,45,150,201,1561
barroda01,Dana Barros,POINT GUARD,27,PHILADELPHIA 76ERS,82,82,3318,571,1165,197,425,347,386,27,247,619,149,4,242,159,1686
barryjo01,Jon Barry,SHOOTING GUARD,25,MILWAUKEE BUCKS,52,0,602,57,134,16,48,61,80,15,34,85,30,4,41,54,191
battljo01,John Battle,SHOOTING GUARD,32,CLEVELAND CAVALIERS,28,0,280,43,114,11,31,19,26,3,8,37,8,1,17,28,116
bazarse01,Sergei Bazarevich,POINT GUARD,29,ATLANTA HAWKS,10,0,74,11,22,1,6,7,9,1,6,14,1,1,7,10,30
benjabe01,Benoit Benjamin,CENTER,30,NEW JERSEY NETS,61,57,1598,271,531,0,0,133,175,94,346,38,23,64,125,151,675
benneel01,Elmer Bennett,POINT GUARD,24,CLEVELAND CAVALIERS,4,0,18,6,11,0,2,3,4,0,1,3,4,0,3,3,15
benneto01,Tony Bennett,POINT GUARD,25,CHARLOTTE HORNETS,3,0,46,6,13,2,9,0,0,0,2,4,0,0,3,6,14
benoida01,David Benoit,SMALL FORWARD,26,UTAH JAZZ,71,67,1841,285,587,38,115,132,157,96,272,58,45,47,75,183,740
blackja01,James Blackwell,POINT GUARD,26,CHARLOTTE HORNETS,4,0,19,2,3,0,0,0,0,0,3,5,1,0,2,1,4
blackja01,James Blackwell,POINT GUARD,26,BOSTON CELTICS,9,0,61,6,10,0,0,2,3,2,6,6,3,0,3,7,14
blaylmo01,Mookie Blaylock,POINT GUARD,27,ATLANTA HAWKS,80,80,3069,509,1198,199,555,156,214,117,276,616,200,26,242,164,1373
blounco01,Corie Blount,POWER FORWARD,26,CHICAGO BULLS,68,9,889,100,210,0,2,38,67,107,133,60,26,33,59,146,238
boguemu01,Muggsy Bogues,POINT GUARD,30,CHARLOTTE HORNETS,78,78,2629,348,730,6,30,160,180,51,206,675,103,0,132,151,862
bolma01,Manute Bol,CENTER,32,GOLDEN STATE WARRIORS,5,2,81,6,10,3,5,0,0,1,11,0,0,9,1,10,15
bondwa01,Walter Bond,SHOOTING GUARD,25,DETROIT PISTONS,5,0,51,3,12,1,4,3,4,1,4,7,1,0,3,10,10
bondwa01,Walter Bond,SHOOTING GUARD,25,UTAH JAZZ,18,0,239,36,72,14,37,11,16,7,20,17,5,4,14,37,97
bonnean01,Anthony Bonner,POWER FORWARD,26,NEW YORK KNICKS,58,23,1126,88,193,1,5,44,67,113,149,80,48,23,79,159,221
bowiean01,Anthony Bowie,SHOOTING GUARD,31,ORLANDO MAGIC,77,4,1261,177,369,12,40,61,73,54,85,159,47,21,86,138,427
bowiesa01,Sam Bowie,CENTER,33,LOS ANGELES LAKERS,67,10,1225,118,267,2,11,68,89,72,216,118,21,80,91,182,306
bradlsh01,Shawn Bradley,CENTER,22,PHILADELPHIA 76ERS,82,59,2365,315,693,0,3,148,232,243,416,53,54,274,142,338,778
brandte01,Terrell Brandon,POINT GUARD,24,CLEVELAND CAVALIERS,67,41,1961,341,762,48,121,159,186,35,151,363,107,14,144,118,889
breauti01,Tim Breaux,SMALL FORWARD,24,HOUSTON ROCKETS,42,2,340,45,121,6,25,32,49,16,18,15,11,4,16,25,128
brooksc01,Scott Brooks,POINT GUARD,29,HOUSTON ROCKETS,28,0,186,35,65,8,17,18,21,1,12,22,8,1,14,14,96
brooksc01,Scott Brooks,POINT GUARD,29,DALLAS MAVERICKS,31,0,622,91,210,17,52,46,58,13,40,94,26,3,33,42,245
brownch01,Chucky Brown,SMALL FORWARD,26,HOUSTON ROCKETS,41,14,814,105,174,1,3,38,62,64,125,30,11,14,29,105,249
brownde01,Dee Brown,SHOOTING GUARD,26,BOSTON CELTICS,79,69,2792,437,977,126,327,236,277,63,186,301,110,49,146,181,1236
brownmi01,Mike Brown,CENTER,31,MINNESOTA TIMBERWOLVES,27,0,213,10,40,0,1,15,27,9,36,10,7,0,16,35,35
brownpj01,P.J. Brown,CENTER,25,NEW JERSEY NETS,80,63,2466,254,570,4,24,139,207,178,309,135,69,135,80,262,651
brownra02,Randy Brown,POINT GUARD,26,SACRAMENTO KINGS,67,2,1086,124,287,14,47,55,82,24,84,133,99,19,78,153,317
bryanma01,Mark Bryant,POWER FORWARD,29,PORTLAND TRAIL BLAZERS,49,0,658,101,192,1,2,41,63,55,106,28,19,16,39,109,244
buechju01,Jud Buechler,SMALL FORWARD,26,CHICAGO BULLS,57,0,605,90,183,15,48,22,39,36,62,50,24,12,30,64,217
burresc01,Scott Burrell,SMALL FORWARD,24,CHARLOTTE HORNETS,65,62,2014,277,593,96,235,100,144,96,272,161,75,40,85,187,750
burtowi01,Willie Burton,SMALL FORWARD,26,PHILADELPHIA 76ERS,53,31,1564,243,606,106,275,220,267,49,115,96,32,19,122,167,812
butlemi02,Mitchell Butler,SHOOTING GUARD,24,WASHINGTON BULLETS,76,5,1554,214,508,46,141,123,185,43,127,91,61,10,106,155,597
